state,nces_original_name,gov_unit_original_name,name,ncesid,censusid,student,acfrs_original_name
CA,Alexander Valley Union Elementary,alexander val union elem sch dist,alexander,0601890,05504900100000,112.00000,alexander valley union school district
CA,Alview-Dairyland Union Elementary,alview dairyland union elementary,alview dairyland entary,0602360,05502000200000,385.00000,NA
CA,Amador County Office of Education,amador co spl schs oper by co supt,amador,0691001,05100300330100,208.00000,NA
CA,San Francisco Unified,san francisco unif sch dist,an francisco,0634410,05503800100000,52811.00000,NA
CA,Arena Union Elementary,arena union elementary,arena entary,0603090,05606030900000,232.00000,NA
CA,Ballico-Cressey Elementary,ballico cressey elem sch dist,ballico cressey,0603750,05502400200000,383.00000,NA
CA,Bolinas-Stinson Union,bolinas stinson un school dist,bolinas stinson,0605520,05502100100000,90.00000,bolinas-stinson union elementary school district
CA,Bonny Doon Union Elementary,bonny doon union elementary,bonny doon entary,0605640,05504400300000,142.00000,NA
CA,Bret Harte Union High,bret harte union high sch dist,bret harte,0605940,05500500100000,642.00000,bret harte union high school district
CA,Buena Vista Elementary,buena vista ele sch dist,buena vista ele,0606420,05505400400000,208.00000,NA
CA,Butte County Office of Education,butte co spl schs oper by co supt,butte,0691002,05100400430100,416.00000,butte county office of education
CA,Butteville Union Elementary,butteville elem sch dist,butteville,0606690,05504700300000,182.00000,NA
CA,CA Sch for the Deaf-Riverside (State Special Schl),ca sch for the deaf-riverside (state special schl),ca for the deaf riverside (state speciall),0600007,05606000070000,337.00000,NA
CA,Calaveras County Office of Education,calaveras co spl schs oper by co supt,calaveras,0691003,05100500530100,430.00000,calaveras county office of education
CA,Calexico Unified,calexico unif sch dist,calexico,0606900,05501300400000,8972.00000,calexico unified school district
CA,California Education Authority (CEA) Headquarters,california education authority (cea) headquarters,california education authority (cea) headquarters,0601422,05606014220000,305.00000,NA
CA,California School for the Blind (State Special Schl),california school for the blind (state special schl),californiaool for the blind (state speciall),0600002,05606000020000,64.00000,NA
CA,California School for the Deaf-Fremont (State Special Schl),california school for the deaf-fremont (state special schl),californiaool for the deaf fremont (state speciall),0600003,05606000030000,350.00000,NA
CA,Calistoga Joint Unified,calistoga jt uni sch dist,calistoga,0607020,05502800300000,860.00000,calistoga joint unified school district
CA,Camino Union Elementary,camino union elem,camino,0607170,05500900400000,389.00000,camino union elementary school district
