state,nces_original_name,gov_unit_original_name,name,ncesid,censusid,student,acfrs_original_name
IN,Barr-Reeve Community Schools Inc,barr-reeve community school inc,barr reeve,1800330,1.55014E+13,966, barr-reeve community schools inc 
IN,Batesville Community School Corp,batesville community school corporation,batesville,1800390,1.55069E+13,2215,NA
IN,Benton Community School Corp,benton community school corporation,benton,1800480,1.55005E+13,1731,NA
IN,Blue River Valley Schools,blue river valley schools,blue river valley schools,1800660,1.55033E+13,655,NA
IN,MSD BOONE TOWNSHIP,boone township schools metropolitan school district,boone township schools,1800750,1.55064E+13,1139,NA
IN,Brown County School Corporation,brown county consolidated school corporation,brown,1800960,1.55007E+13,1858, brown county schools 
IN,Burris Laboratory School,burris laboratory school,burris laboratory school,1800038,1.5618E+13,670,NA
IN,C A Beard Memorial School Corp,c a beard memorial school corporation,c a beard memorial,1801060,1.55034E+13,1063,NA
IN,Cannelton City Schools,cannelton city schools,cannelton city schools,1801170,1.55062E+13,269,NA
IN,Center Grove Community School Corp,center grove community school corporation,center grove,1801440,1.55042E+13,8876,NA
IN,Clinton Central School Corporation,clinton central school corporation,clinton central,1802130,1.55013E+13,864,NA
IN,Cloverdale Community Schools,cloverdale community schools,cloverdale,1802220,1.55067E+13,1101,NA
IN,Crothersville Community Schools,crothersville community schools,crothersville,1812060,1.55036E+13,439,NA
IN,Crown Point Community School Corp,crown point community school corporation,crown point,1802490,1.55045E+13,8795,NA
IN,Culver Community Schools Corp,culver community school corporation,culver,1802520,1.55051E+13,829,NA
IN,MSD DECATUR TOWNSHIP,decatur township metropolitan school district,decatur township,1802640,1.55049E+13,6825,NA
IN,Delphi Community School Corp,delphi community school corporation,delphi,1802700,1.55008E+13,1390,NA
IN,East Porter County School Corp,east porter county school corporation,east porter,1809000,1.55064E+13,2467,NA
IN,Eastern Hancock Co Com Sch Corp,eastern hancock county community school corporation,eastern hancock,1803120,1.55031E+13,1195, eastern hancock cnty cmnty school corporation 
