state,nces_original_name,gov_unit_original_name,name,ncesid,censusid,student,acfrs_original_name
OR,Union SD 5,union sch dist 5,union 5,4112690,38503101700000,373.00000,union county school district 5
OR,Adel SD 21,adel sch dist 21,adel 21,4100990,38501900100000,12.00000,NA
OR,Ashland SD 5,ashland sch dist 5,ashland 5,4101560,38501500200000,2842.00000,NA
OR,Ashwood SD 8,ashwood sch dist 8,ashwood,4101590,38501600100000,7.00000,NA
OR,Astoria SD 1,astoria sch dist ic,astoria 1,4101620,38500400100000,1894.00000,NA
OR,Athena-Weston SD 29RJ,athena weston sch dist 29j,athena weston 29r,4101660,38503000200000,584.00000,NA
OR,Bandon SD 54,bandon sch dist 54,bandon 54,4101800,38500600200000,676.00000,NA
OR,Beaverton SD 48J,beaverton sch dist 48j,beaverton 48,4101920,38503400500000,41291.00000,NA
OR,Bend-LaPine Administrative SD 1,bend-la pine admin sch dist 1,bend lapine administrative 1,4101980,38500900200000,18651.00000,NA
OR,Centennial SD 28J,centennial sch dist 28 joint,centennial 28,4102800,38502601100000,6095.00000,centennial school district no. 28jt
OR,Central Curry SD 1,central curry school district #1,central curry 1,4105760,38500830100000,483.00000,NA
OR,Central Linn SD 552,central linn sch dist 552,central linn 552,4102910,38502200400000,642.00000,NA
OR,Central Point SD 6,central point sch dist 6,central point 6,4102940,38501500400000,4863.00000,NA
OR,Condon SD 25J,condon sch dist 25,condon 25,4103330,38501100200000,138.00000,condon school district no. 25 j
OR,Coos Bay SD 9,coos bay sch dist 9,coos 9,4103660,38500600600000,3265.00000,coos county school district no. 9
OR,Corvallis SD 509J,corvallis sch dist 509-j,corvallis 509,4103480,38500200600000,6748.00000,corvallis school district 509j
OR,Creswell SD 40,creswell sch dist 40,creswell,4103690,38502000900000,1298.00000,creswell school district
OR,Crook County SD,crook co unit sch dist,crook,4103720,38500700100000,3071.00000,crook county school district
OR,Crow-Applegate-Lorane SD 66,crow-apple gate-lorane school dist 66,crow applegate lorane 66,4103780,38502001100000,260.00000,crow-applegate-lorane school district no. 66
OR,Dallas SD 2,dallas sch dist 2,dallas 2,4103860,38502700800000,3222.00000,NA
OR,David Douglas SD 40,david douglas sch dist 40,david douglas,4103940,38502600100000,9818.00000,david douglas school district
