state,nces_original_name,gov_unit_original_name,name,ncesid,censusid,student,acfrs_original_name
NJ,Alexandria Township School District,alexandria twp sch dist,alexandria,3400690,31501000100000,479.00000,NA
NJ,Allamuchy Township School District,allamuchy twp sch dist,allamuchy,3400720,31502100100000,426.00000,NA
NJ,Allendale Public School District,allendale public sch dist,allendale,3400750,31500200100000,872.00000,NA
NJ,Alloway Twp School District,alloway twp sch dist,alloway twp,3400810,31501700100000,326.00000,NA
NJ,Alpha Borough School District,alpha boro sch dist,alpha,3400840,31502100200000,211.00000,NA
NJ,Alpine School District,alpine public sch dist,alpine,3400870,31500200200000,157.00000,NA
NJ,Andover Regional School District,andover reg sch dist,andover regional,3400900,31501900100000,452.00000,NA
NJ,Asbury Park School District,asbury park school district,asbury park,3400930,31501360100000,1951.00000,city of asbury park board of education
NJ,Atlantic Highlands School District,atlantic highlands school dist,atlantic highlands,3401020,31501300300000,302.00000,NA
NJ,Atlantic City School District,atlantic city sch district,atlantic,3400960,31500140200000,6921.00000,NA
NJ,Avalon School District,avalon stone harbor sch dist,avalon,3401110,31500500100000,86.00000,NA
NJ,Avon Boro School District,avon boro sch dist,avon,3401140,31501300400000,127.00000,NA
NJ,Barrington School District,barrington sch dist,barrington,3401170,31500400300000,598.00000,NA
NJ,Bay Head Borough School District,bay head boro sch dist,bay head,3401230,31501500100000,122.00000,NA
NJ,Bayonne School District,bayonne school district,bayonne,3401260,31200900130100,9987.00000,city of bayonne board of education
NJ,Beach Haven School District,beach haven sch dist,beach haven,3401290,31501500200000,60.00000,NA
NJ,Bedminster Township Public School District,bedminster twp sch dist,bedminster,3401320,31501800100000,522.00000,NA
NJ,Bellmawr Public School District,bellmawr public sch dist,bellmawr,3401380,31500400400000,1225.00000,borough of bellmawr school district
NJ,Belvidere School District,belvidere sch dist,belvidere,3401440,31502100300000,657.00000,NA
NJ,Bergenfield Borough School District,bergenfield boro sch dist,bergenfield,3401500,31500200300000,3655.00000,bergenfield board of education
NJ,Berkeley Heights School District,berkeley heights sch dist,berkeley heights,3401530,31502000100000,2559.00000,NA
NJ,Berlin Borough School District,berlin borough board of educatn,berlin,3401590,31500400500000,812.00000,NA
NJ,Berlin Township School District,berlin twp sch dist,berlin,3401620,31500400600000,651.00000,NA
NJ,Bethlehem Township School District,bethlehem twp sch dist,bethlehem,3401710,31501000200000,347.00000,NA
NJ,BEVERLY CITY SCHOOL DISTRICT,beverly city school district,beverly,3401740,31200300130100,318.00000,NA
NJ,Black Horse Pike Regional School District,black horse pike reg sch dist,black horse pike regional,3401770,31500400700000,3663.00000,black horse pike regional school district
NJ,Blairstown Elementary Township School District,blairstown twp sch dist,blairstown elementary,3401800,31502100400000,467.00000,NA
NJ,Bloomfield Township School District,bloomfield town sch dist,bloomfield,3401830,31500780100000,6589.00000,bloomfield township school district
NJ,Bloomingdale School District,bloomingdale school dist,bloomingdale,3401860,31501600100000,564.00000,NA
NJ,Bloomsbury Borough School District,bloomsbury boro sch dist,bloomsbury,3401890,31501000300000,91.00000,NA
NJ,Boonton Town School District,boonton town sch dist,boonton town,3401950,31501400100000,1482.00000,NA
NJ,Boonton Township School District,boonton twp sch dist,boonton,3401980,31501400200000,405.00000,town of boonton school district
NJ,Bound Brook School District,bound brook sch dist,bound brook,3402100,31501800400000,2037.00000,borough of bound brook school district
NJ,Bradley Beach School District,bradley beach elem sch dist,bradley beach,3402130,31501300600000,274.00000,NA
NJ,Branchburg Township School District,branchburg twp sch dist,branchburg,3402160,31501800500000,1394.00000,NA
NJ,Bridgewater-Raritan Regional School District,bridgewater-raritan reg sch dt,bridgewater raritan regional,3402280,31501800600000,8542.00000,bridgewater-raritan regional school district
NJ,Brielle Boro School District,brielle boro sch dist,brielle,3402310,31501300700000,521.00000,NA
NJ,Brigantine Public School District,brigantine city school system,brigantine,3402340,31200100330100,524.00000,NA
NJ,Brooklawn Public School District,brooklawn boro sch dist,brooklawn,3402370,31500400800000,290.00000,NA
NJ,Burlington City Public School District,burlington city school district,burlington,3402430,31500320100000,1783.00000,NA
NJ,Butler Public School District,butler public sch dist,butler,3402520,31501400300000,1202.00000,NA
NJ,Byram Township School District,byram twp sch dist,byram,3402550,31501900300000,820.00000,NA
NJ,CALDWELL-WEST SCHOOL DISTRICT,caldwell-w caldwell sch dist,caldwell west,3402580,31500700200000,2710.00000,caldwell-west caldwell school district
NJ,Califon Borough School District,califon boro sch dist,califon,3402610,31501000400000,80.00000,NA
NJ,Camden City School District,camden city sch dist,camden,3402640,31500403800000,7167.00000,city of camden board of education
NJ,Camden Prep Inc.,camden prep inc.,camden prep inc,3400776,31634007760000,897.00000,NA
NJ,Carlstadt-East Rutherford Regional High School District,carlstadt-east rutherford regional high school district,carlstadt east rutherford regional,3402800,31500280100000,544.00000,NA
NJ,Carlstadt PublicSchool District,carlstadt public sch dist,carlstadt public,3402790,31500200500000,553.00000,NA
NJ,Cedar Grove Township School District,cedar grove twp sch dist,cedar grove,3402850,31500700400000,1613.00000,NA
NJ,Central Regional School District,central reg high school dist,central regional,3402910,31501500500000,2377.00000,central regional school district
NJ,School District of the Chathams,chathams school district,the chathams,3400004,31501440100000,4075.00000,NA
NJ,CHESTER TOWNSHIP SCHOOL DISTRICT,chester sch dist,chester,3403060,31501400600000,1080.00000,NA
NJ,Chesterfield Township School District,chesterfield twp sch dist,chesterfield,3403090,31500300200000,766.00000,NA
NJ,Clayton Public School District,clayton boro sch dist,clayton,3403180,31500800100000,1505.00000,borough of clayton school district
NJ,Clearview Regional High School District,clearview reg high school dist,clearview regional,3403210,31500850100000,2268.00000,clearview regional high school district
NJ,Cliffside Park School District,cliffside pk sch dist,cliffside park,3403270,31500200600000,3255.00000,school district of the borough of cliffside park
NJ,Clinton-Glen Gardner School District,clinton-glen gardner sch dist,clinton glen gardner,3403330,31501000500000,440.00000,NA
NJ,Clinton Township School District,clinton twp sch dist,clinton,3403360,31501000600000,1224.00000,NA
NJ,Closter Public School District,closter public sch dist,closter,3403390,31500200700000,1213.00000,NA
NJ,Colts Neck Township School District,colts neck twp sch dist,colts neck,3403450,31501300200000,993.00000,township of colts neck school district
NJ,Cranbury Township School District,cranbury twp sch dist,cranbury,3403540,31501200200000,484.00000,NA
NJ,Cresskill Public School District,cresskill public sch dist,cresskill,3403600,31500200800000,1812.00000,NA
NJ,CUMBERLAND REGIONAL SCHOOL DISTRICT,cumberland reg sch dist,cumberland regional,3403620,31500660100000,1024.00000,cumberland regional school district
NJ,Deal Boro School District,deal boro sch dist,deal,3403630,31501300800000,162.00000,NA
NJ,Deerfield Township School District,deerfield twp sch dist,deerfield,3403660,31500600200000,273.00000,NA
NJ,Delanco Township School District,delanco twp sch dist,delanco,3403690,31500300400000,426.00000,NA
NJ,Delaware Township School District,delaware twp sch dist,delaware,3403720,31501000700000,382.00000,NA
NJ,Delaware Valley Regional High School District,delaware valley reg high school dist,delaware valley regional,3403750,31501050100000,728.00000,NA
NJ,DELSEA REGIONAL HIGH SCHOOL DISTRICT,delsea regional high school district,delsea regional,3415450,31500850200000,1675.00000,NA
NJ,Demarest School District,demarest sch dist,demarest,3403810,31500200900000,711.00000,NA
NJ,Dennis Township School District,dennis twp sch dist,dennis,3403840,31500500300000,596.00000,NA
NJ,Denville Township K-8 School District,denville twp sch dist,denville k 8,3403870,31501400700000,1670.00000,NA
NJ,Dover Public School District,dover public sch dist,dover,3403930,31501400800000,3389.00000,town of dover board of education
NJ,Downe Township School District,downe twp sch dist,downe,3403960,31500600300000,178.00000,NA
NJ,Dumont Public School District,dumont public sch dist,dumont,3403990,31500201000000,2587.00000,borough of dumont school district
NJ,Dunellen Public School District,dunellen public sch dist,dunellen,3404020,31501200300000,1270.00000,NA
NJ,Eagleswood Township School District,eagleswood twp sch dist,eagleswood,3404050,31501500600000,130.00000,NA
NJ,East Amwell Township School District,east amwell twp sch dist,east amwell,3404080,31501000800000,353.00000,NA
NJ,East Greenwich Township School District,east greenwich twp sch dist,east greenwich,3404140,31500800300000,1323.00000,NA
NJ,East Hanover Township School District,east hanover twp sch dist,east hanover,3404170,31501400900000,929.00000,NA
NJ,East Newark School District,east newark sch dist,east newark,3404200,31500900100000,238.00000,NA
NJ,East Rutherford School District,east rutherford sch dist,east rutherford,3404290,31500201200000,788.00000,NA
