state,acfrs_original_name,id,year,category,total_liabilities,bonds_outstanding,current_liabilities,leases,loans_outstanding,notes_outstanding,net_pension_liability,net_pension_assets,net_opeb_liability,net_opeb_assets,compensated_absences,charges_for_services,operating_grants,capital_grants,general_revenue,change_in_net_position,expenses,total_operating_revenues,non_operating_revenues,capital_contributions,revenues,name
PA,Spring Cove School District,37892,2020,School District,55911990,13235000,3855393,0,0,0,34619000,0,3500000,0,702597,382225,7404077,211457,20905635,1609454,27293940,0,0,0,28903394,spring cove
OH,Cleveland Heights-University Heights City School District,48653,2020,School District,317944926,0,16142567,0,0,0,115543284,0,11079440,0,10826877,4472096,13264441,0,110862355,-19451735,148050627,0,0,0,128598892,cleveland heights university heights
OH,Butler Technology and Career Development Schools,46507,2020,School District,67989725,7797375,5312120,0,0,0,48993109,0,3417476,3013584,2469645,4928275,2819502,0,50814209,3570718,54991268,0,0,0,58561986,butler technology and career development schools
AK,Delta-Greely School District,93562,2020,School District,8306697,0,579058,0,0,0,7335004,0,103394,381933,289241,57527,1720494,0,10860332,1079456,11558897,0,0,0,12638353,delta greely
AZ,Fort Huachuca Accommodation School District No. 00,44601,2020,School District,9057920,0,563808,0,0,0,8269426,0,0,0,224686,117584,496485,197163,13527401,2841476,11497157,0,0,0,14338633,fort huachuca accommodation 00
AR,Cross County School District No.7,98665,2020,School District,158715,7380000,158715,603663,0,0,5141687,0,0,0,0,0,0,0,8676850,525157,8151693,0,0,0,8676850,cross 7
AR,Great Rivers Educational Service Cooperative,98693,2020,School District,133643,0,133643,0,0,0,3913175,0,0,0,0,0,0,0,6257018,118298,6138720,0,0,0,6257018,great rivers educational service cooperative
AR,Smackover-Norphlet School District No. 39,145859,2020,School District,36287,8435000,36287,0,0,0,9356506,0,0,0,0,0,0,0,12641009,290,12640719,0,0,0,12641009,smackover norphlet 39
AR,Conway School District No.1,108515,2020,School District,1784161,149065000,1784161,76703,0,0,80196980,0,0,0,0,0,0,0,217447720,3381498,214066222,0,0,0,217447720,conway 1
CA,Coalinga Huron Unified School District,98845,2020,School District,133888000,58203000,7596000,20000,0,0,52250000,0,9341000,0,238000,289000,9951000,37000,54999000,-367000,65643000,0,0,0,65276000,coalinga huron
CA,Greater Anaheim Special Education Local Plan Area,47326,2020,School District,17410853,0,14697341,0,0,0,1653334,0,1060178,0,0,0,16993833,0,52127,-103755,17149715,0,0,0,17045960,greater anaheim special education local plan area
AR,Emerson-Taylor-Bradley School District,51739,2020,School District,13229,8885000,13229,0,0,0,9099474,0,0,0,0,0,0,0,19745947,2787010,16958937,0,0,0,19745947,emerson taylor bradley
CA,Cotati-Rohnert Park Unified School District,31506,2020,School District,272735499,189724747,12845511,0,0,0,57661236,0,12296027,0,204978,2170483,11086778,0,77088770,-1247974,91594005,0,0,0,90346031,cotati rohnert park
CO,Centennial Board of Cooperative Educational Services,45625,2020,School District,14238770,0,1165083,36324,0,0,12065002,0,593189,0,351615,4674909,8630076,0,214685,1786334,11733336,0,0,0,13519670,centennial board of cooperative educational services
CO,Arapahoe County School District Number Six,41980,2020,School District,791502218,479499666,28491196,0,0,0,267994602,0,13176536,0,2340218,9057663,24765813,0,205393258,68243102,170973632,0,0,0,239216734,arapahoe number six
MI,Public Schools of Calumet Laurium & Keweenaw,80357,2020,School District,48485947,15294171,2198141,0,0,1134137,24473904,0,5225386,0,160208,612928,3713236,13924,13827762,-96466,18264316,0,0,0,18167850,of calumet laurium & keweenaw
CA,Placentia-Yorba Linda Unified School District,146507,2020,School District,769123429,302166968,21670498,0,0,0,280314281,0,54611063,0,3481085,8583040,49270943,78148,270766302,-6162561,334860994,0,0,0,328698433,placentia yorba linda
LA,Southeastern Louisiana Area Health Education Center,76783,2020,School District,4431887,0,951110,0,112127,3368650,0,0,0,0,0,0,23224924,0,2429144,584246,25069822,0,0,0,25654068,southeastern louisiana area health education center
NE,Overton Public Schools District No. 4,108817,2020,School District,0,0,0,0,0,0,0,0,0,0,0,70215,444142,0,4248232,245394,4517195,0,0,0,4762589,overton 4
NE,Roseland School District No. 1,108710,2020,School District,0,3655000,0,223220,0,0,1154785,0,0,0,0,168376,650027,0,5012114,-2092079,7922596,0,0,0,5830517,roseland 1
LA,St. Martin Parish School Board,33857,2020,School District,322529336,115163951,12391623,0,0,0,87786720,0,103288550,0,3898492,136915,12767390,0,74510758,-3572060,90987123,0,0,0,87415063,st martin parish school board
NE,Cedar Bluffs Public Schools District No. 107,108904,2020,School District,0,265000,0,0,0,0,0,0,0,0,0,65087,860149,0,6699641,706392,6918485,0,0,0,7624877,cedar bluffs 107
MO,Lafayette County C-1 School District,42839,2020,School District,0,14495000,0,0,0,0,0,0,0,0,0,430875,1728120,0,9997056,-1462518,13618569,0,0,0,12156051,lafayette county c 1
MO,Morgan County R-I School District,35273,2020,School District,0,0,0,2473599,0,0,0,0,0,0,0,127373,1931988,48845,6469162,413931,8163437,0,0,0,8577368,morgan county r i
MA,Upper Cape Cod Regional Vocational-Technical School District,44923,2020,School District,34497054,180000,1085813,0,0,0,5110323,0,27520915,0,0,2050077,4028552,0,16068657,3077728,19069558,0,0,0,22147286,upper cape cod regional vocational technical
MA,Greater New Bedford Regional Vocational Technical High School,34197,2020,School District,122667004,2810000,2385642,0,0,0,17947233,0,97138289,0,2385840,651648,12420236,0,39717512,-7563398,60352794,0,0,0,52789396,greater new bedford regional vocational technical high school
ME,Maine School Administrative District No. 58,33930,2020,School District,3785818,0,870126,0,0,321809,252380,0,1988511,0,129810,1592142,1815030,0,7757261,190005,10974428,0,0,0,11164433,maine school administrative district 58
ME,Pleasant Point Passamaquoddy School Committee of Maine Indian Education,33932,2020,School District,2039862,0,1844149,0,0,127601,0,0,0,0,68112,0,4208194,13809671,2475859,14392175,6101549,0,0,0,20493724,pleasant point passamaquoddy school committee of maine indian education
MA,Ashburnham-Westminster Regional School District,34223,2020,School District,49245135,3325000,2640176,3190000,0,0,9627000,0,30085000,0,378000,1060527,9786275,0,30732992,-1023851,42603645,0,0,0,41579794,ashburnham westminster regional
ME,Regional School Unit No. 10,54125,2020,School District,14557264,0,2936750,0,0,682922,2392982,0,8000774,0,303145,1787726,6419605,0,26757567,561571,34403327,0,0,0,34964898,regional school unit 10
MT,Missoula County Public School District No.1,35413,2020,School District,255146429,152278852,7097040,14441,0,0,82041471,0,3036332,0,10676793,2017865,18947963,0,106863731,4561827,123267732,0,0,0,127829559,missoula county 1
NE,Creighton Public Schools District No. 13,108928,2020,School District,0,0,0,0,0,0,0,0,0,0,0,61339,636741,0,4281153,-288952,5268185,0,0,0,4979233,creighton 13
MO,Knob Noster R-VIII School District,35250,2020,School District,0,0,230000,0,0,0,0,0,0,0,0,445292,7370457,2346185,11089864,2634312,18617486,0,0,0,21251798,knob noster r viii
NY,Phelps-Clifton Springs Central School District,36316,2020,School District,126944755,17720000,2430143,0,0,0,2552280,1748896,102021708,0,2220624,197950,1983065,14718,36838024,-8360882,47394639,0,0,0,39033757,phelps clifton springs central
NY,Cleveland Hill Union Free School District,36174,2020,School District,17211420,9675000,2008837,0,0,0,1549612,1789208,1124065,0,2853906,126232,1387312,44296,31914578,1807591,31664827,0,0,0,33472418,cleveland hill union free
AK,Lower Kuskokwim School District,223683,2020,School District,111797422,0,47744313,0,0,0,61409143,0,1137147,2704239,1506819,1791796,10791995,35585493,131776116,42342817,137602583,0,0,0,179945400,lower kuskokwim
NY,Wappingers Central School District,36167,2020,School District,1174909526,45282697,15747858,0,0,52621418,19662583,15179543,1040605552,0,989418,1891666,7001445,0,234790661,-82001499,325685271,0,0,0,243683772,wappingers central
OH,New Albany Plain Local School District,51585,2020,School District,180517539,87192884,9172919,358200,0,0,72947372,0,6234000,4344284,4612164,5070915,2985843,0,56343280,-14764397,79164435,0,0,0,64400038,new albany plain
OH,Life Skills - Lake Erie International High School,83539,2020,School District,1976663,0,154874,9696,0,0,1639274,0,172819,0,0,0,0,0,2699704,76656,2623048,0,0,0,2699704,life skills lake erie international high school
OH,Auglaize County Educational Service Center,52127,2020,School District,0,0,0,4413,0,0,8814944,0,1472852,404657,0,6890934,1535670,0,397163,-305099,9128866,0,0,0,8823767,auglaize county educational service center
