state,nces_original_name,gov_unit_original_name,name,ncesid,censusid,student,acfrs_original_name
OH,Antwerp Local,antwerp local sch dist,antwerp,3904899,36506300100000,728.00000,NA
OH,Arcadia Local,arcadia local sch dist,arcadia,3910002,36503200100000,597.00000,NA
OH,Arlington Local,arlington local sch dist,arlington,3904742,36503200200000,575.00000,NA
OH,Bethel Local,bethel local sch dist,bethel,3904861,36505500100000,1576.00000,NA
OH,Bio-Med Science Academy STEM School,bio-med science academy stem school,bio med science academy stem school,3901512,36639015120000,821.00000,NA
OH,Botkins Local,botkins local sch dist,botkins,3904976,36507500200000,633.00000,NA
OH,Bradford Exempted Village,bradford ex vlg sch dist,bradford,3904522,36505500200000,460.00000,NA
OH,Buckeye Central Local,buckeye cent loc sch dist,buckeye,3904650,36501750100000,594.00000, buckeye central local school district 
OH,Buckeye United School District,buckeye united school district,buckeye united,3900237,36639002370000,256.00000,NA
OH,Canal Winchester Local,canal winchester lo sch dist,canal winchester,3904694,36502500200000,3916.00000, canal winchester local school district 
OH,Cedar Cliff Local,cedar cliff local sch dist,cedar cliff,3904725,36502900300000,618.00000,NA
OH,Cleveland Heights-University Heights City,cleveland hgts-univ hgts city sch dist,cleveland,3904379,36501801000000,5169.00000, cleveland heights-university heights city school district 
OH,Clyde-Green Springs Exempted Village,clyde-green springs exmpt villge schl dist,clyde green springs exmpt villge schl dist,3910020,36507200100000,2173.00000,NA
OH,Coldwater Exempted Village,coldwater ex vlg sch dist,coldwater,3904531,36505400500000,1347.00000,NA
OH,Columbus Grove Local,columbus grove local school dist,columbus grove,3904931,36506900300000,832.00000,NA
OH,Conotton Valley Union Local,conotton valley union local sch dist,conotton valley union,3904754,36503400500000,471.00000,NA
OH,Continental Local,continental local school dist,continental,3904932,36506900400000,439.00000,NA
OH,Covington Exempted Village,covington ex vlg sch dist,covington,3904533,36505500400000,772.00000,NA
OH,Cuyahoga Heights Local,cuyahoga hgts local sch dist,cuyahoga heights,3904655,36501801100000,862.00000,NA
OH,Dayton Regional STEM School,dayton regional stem school,dayton regional stem school,3901374,36639013740000,728.00000,NA
OH,Edgewood City,edgewood city schools,edgewood,3904609,36500901200000,3816.00000, edgewood city school district 
OH,Fairport Harbor Exempted Village,fairport harbor exem sch dist,fairport harbor,3904536,36504300100000,674.00000, fairport harbor exempted village school district 
OH,Fort Recovery Local,fort recovery local sch dist,fort recovery,3904859,36505400700000,1028.00000,NA
OH,Frontier Local,frontier local sch dist,frontier,3905049,36508401400000,536.00000,NA
OH,Gahanna-Jefferson City,gahanna jefferson city sch dis t,gahanna jefferson,3904696,36502500600000,7825.00000, gahanna-jefferson public school district 
OH,Garfield Heights City Schools,garfield hgts city school dist,garfield heights,3904404,36501801500000,3604.00000, garfield heights city school district 
OH,Global Impact STEM Academy,global impact stem academy,global impact stem academy,3901535,36639015350000,665.00000,NA
OH,Fayette Local,gorham fayette local sch dist,gorham fayette,3904706,36502600700000,386.00000,NA
OH,Grandview Heights Schools,grandview hgts city sch dist,grandview heights,3904407,36502500400000,1133.00000, grandview heights city school district 
OH,Greenfield Exempted Village,greenfield exempted vlg sch dist,greenfieldpted vlg,3904540,36503600500000,1941.00000,NA
