state,nces_original_name,gov_unit_original_name,name,ncesid,censusid,student,acfrs_original_name
OK,UNION,union sch dist 9,union,4030600,37507202000000,15815.00000,union public schools
OK,ALBION,albion sch dist 2,albion,4002580,37506400100000,61.00000,albion public schools
OK,ALINE-CLEO,aline-cleo sch dist 4,aline cleo,4002720,37504700500000,128.00000,aline-cleo school district i-4
OK,ARAPAHO-BUTLER,arapaho sch dist 5,arapaho butler,4003120,37502000100000,480.00000,NA
OK,ARKOMA,arkoma sch dist 91,arkoma,4003210,37504000100000,383.00000,arkoma school district
OK,AVANT,avant sch dist 35,avant,4003450,37505700100000,84.00000,NA
OK,BOWLEGS,bowlegs sch dist 3,bowlegs,4005130,37506700100000,212.00000,bowlegs public schools
OK,BRIDGE CREEK,bridge creek sch dist 95,bridge creek,4005400,37502600500000,1674.00000,bridge creek public schools i-95
OK,BUFFALO,buffalo sch dist 4,buffalo,4005760,37503000100000,295.00000,NA
OK,BUFFALO VALLEY,buffalo valley sch dist 3,buffalo valley,4005820,37503900300000,134.00000,buffalo valley public school district
OK,CALUMET,calumet sch dist 76,calumet,4006240,37500900200000,288.00000,calumet public schools
OK,CENTRAL HIGH,central high sch dist 34,central high,4007170,37506900300000,409.00000,NA
OK,CIMARRON,cimmaron school district 92,cimarron,4007710,37502401400000,262.00000,NA
OK,CLAREMORE,claremore sch dist 1,claremore,4007740,37506600500000,3746.00000,claremore public schools
OK,COLCORD,colcord sch dist 4,colcord,4008250,37502100800000,607.00000,NA
OK,DAVIDSON,davidson public sch district,davidson,4000798,37507100100000,37.00000,davidson school district no. c-9
OK,DAVIS,davis sch dist 10,davis,4009510,37505000300000,962.00000,davis public schools
OK,DEER CREEK,deer creek sch dist 6,deer creek,4009570,37505500900000,6872.00000,deer creek public schools
OK,DEER CREEK-LAMONT,deer creek-lamont sch dist 95,deer creek lamont,4017020,37502700700000,141.00000,deer creek-lamont public schools i-95
OK,ELMORE CITY-PERNELL,elmore city-pernell sch dist 72,elmore city pernell,4010860,37502500600000,512.00000,NA
OK,ERICK,erick sch dist 51,erick,4011040,37500500600000,226.00000,erick independent school district
OK,EUFAULA,eufaula sch dist 1,eufaula,4011160,37504650100000,1181.00000,NA
OK,FANSHAWE,fanshawe sch dist 39,fanshawe,4011400,37504001200000,102.00000,fanshawe public schools
OK,FARGO,fargo sch dist 2,fargo,4011430,37502300300000,253.00000,NA
OK,FORT COBB-BROXTON,fort cobb-broxton sch district 167,fort cobb broxton,4033602,37500801500000,337.00000,NA
OK,FORT TOWSON,fort towson public school dist,fort towson,4012300,37501201000000,343.00000,fort towson school district no. i-2
OK,FRINK-CHAMBERS,frink-chambers school dist 29,frink chambers,4012240,37506102300000,437.00000,NA
OK,FRONTIER,frontier school district,frontier,4000020,37505240100000,368.00000,frontier school district i-4
OK,GRAHAM-DUSTIN,graham - dustin school district,graham dustin,4000782,37505410100000,169.00000,NA
OK,GRAND VIEW,grand view sch dist 34,grand view,4013230,37501102000000,593.00000,NA
OK,GRANDVIEW,grandview sch dist 82,grandview,4013260,37506901000000,128.00000,NA
OK,GROVE,grove sch dist 27,grove,4013500,37506301600000,522.00000,NA
OK,GYPSY,gypsy school dist 12,gypsy,4013600,37501980100000,47.00000,gypsy public schools
OK,HOLLY CREEK,holly creek sch dist 72,holly creek,4014890,37504580100000,241.00000,holly creek public schools
OK,HYDRO-EAKLY,hydro-eakly school district,hydro eakly,4000032,37500830100000,468.00000,hydro-eakly school district i-11
OK,IDABEL,idabel sch dist 5,idabel,4015370,37504502300000,1258.00000,idabel public schools
OK,JENNINGS,jennings sch dist 2,jennings,4015750,37505900500000,224.00000,jennings public schools
OK,JUSTUS-TIAWAH,justus-tiawah school dist,justus tiawah,4015930,37506601200000,565.00000,NA
OK,LAKESIDE SCHOOL,lakeside school,lakeside school,4000063,37640000630000,69.00000,NA
OK,LATTA,latta sch dist 24,latta,4017190,37506201500000,911.00000,latta public schools
OK,LIBERTY,liberty sch dist 14,liberty,4017760,37507201000000,504.00000,NA
OK,LOWREY,lowrey sch dist 10,lowrey,4018480,37501102800000,127.00000,lowrey school district
OK,MARLOW,marlow sch dist 3,marlow,4019080,37506901400000,1358.00000,marlow school district
OK,MASON,mason sch dist 2,mason,4019260,37505401300000,256.00000,NA
OK,MIDWAY,midway sch dist 127,midway,4014670,37504600900000,224.00000,midway school district no. i-27
OK,MILL CREEK,mill creek sch dist 2,mill creek,4020040,37503500800000,172.00000,mill creek school district i-2
OK,MOUNTAIN VIEW-GOTEBO,mt view-gotebo sch dist i-3,mountain view gotebo,4029886,37503820100000,247.00000,NA
OK,MULHALL-ORLANDO,mulhali-orlando sch dist 3,mulhall orlando,4020910,37504201200000,228.00000,NA
OK,NEW LIMA,new lima sch dist 6,new lima,4021360,37506701000000,260.00000,new lima public schools
OK,NORTH ROCK CREEK,north rock creek school district,north rock creek,4000802,37506360200000,908.00000,north rock creek school district no. i-10
OK,OAKDALE,oakdale sch dist 29,oakdale,4022350,37505502200000,684.00000,oakdale public school district 55-c029
OK,OKLAHOMA SCHOOL FOR THE BLIND,oklahoma school for the blind,oklahoma school for the blind,4000076,37640000760000,80.00000,NA
OK,OKLAHOMA SCHOOL FOR THE DEAF,oklahoma school for the deaf,oklahoma school for the deaf,4000075,37640000750000,114.00000,NA
OK,OLUSTEE-ELDORADO,olustee-eldorado sch dist,olustee eldorado,4000797,37503300900000,204.00000,NA
OK,PANOLA,panola sch dist 4,panola,4023400,37503901000000,92.00000,NA
OK,PEAVINE,peavine sch dist 19,peavine,4010560,37500102300000,110.00000,peavine public schools
OK,PLEASANT GROVE,pleasant grove sch dist 29,pleasant grove,4024330,37506302900000,247.00000,pleasant grove school district c-29 pottawatomie
OK,POND CREEK-HUNTER,pond creek-hunter sch dist 90,pond creek hunter,4024720,37502701200000,340.00000,pond creek-hunter public schools i-90
OK,PORTER CONSOLIDATED,porter cons sch district,porter consolidated,4030197,37507340100000,587.00000,porter consolidated school district no i-365
OK,RED OAK,red oak sch dist 2,red oak,4025590,37503901300000,329.00000,red oak public schools
OK,RIVERSIDE,riverside rich val sch dist 29,riverside,4026010,37500901800000,161.00000,riverside public schools d-29
OK,ROCK CREEK,rock creek school dist 2,rock creek,4033601,37500700800000,463.00000,rock creek school district i-2
OK,ROCKY MOUNTAIN,rocky mountain sch dist 24,rocky mountain,4026250,37500102700000,173.00000,rocky mountain school district
OK,SHAWNEE,shawnee sch dist 93,shawnee,4027570,37506303300000,3642.00000,shawnee public schools
OK,SOUTH COFFEYVILLE,south coffeyville school dist 51,south coffeyville,4026640,37505301200000,220.00000,south coffeyville public school district i-51
OK,SOUTH ROCK CREEK,south rock creek sch dist 32,south rock creek,4027990,37506303400000,416.00000,south rock creek school district c-32
OK,STIDHAM,stidham sch dist 16,stidham,4028620,37504602900000,87.00000,stidham public schools
OK,STRAIGHT,straight sch dist 80,straight,4028920,37507000800000,40.00000,straight public schools
OK,TENKILLER,tenkiller dist 66,tenkiller,4029670,37501100900000,256.00000,tenkiller school district
OK,THOMAS-FAY-CUSTER UNIFIED DIST,thomas-fay-custer unified school district,thomas fay custer unified dist,4000015,37502001200000,482.00000,NA
OK,TIMBERLAKE,timberlake school district,timberlake,4000013,37500220100000,292.00000,NA
OK,TULSA,tulsa sch dist 1,tulsa,4030240,37507201900000,35675.00000,tulsa public schools
OK,TURPIN,turpin sch dist 28,turpin,4030330,37500401400000,446.00000,turpin public schools
OK,WAINWRIGHT,wainright sch dist 9,wainwright,4031380,37505105300000,93.00000,NA
OK,WAPANUCKA,wapanucka sch dist 37,wapanucka,4031590,37503501600000,242.00000,wapanucka public schools
OK,WESTERN HEIGHTS,western hts sch dist 1-41,western heights,4032370,37505550100000,3419.00000,western heights public school
