state,nces_original_name,gov_unit_original_name,name,ncesid,censusid,student,acfrs_original_name
TX,AXTELL ISD,axtell rural ind sch dist 918,axtell,4809150,44515500100000,791.00000, axtell independent school district 
TX,BEN BOLT-PALITO BLANCO ISD,ben bolt-palito blanco ind sch dist 902,ben bolt palito blanco,4809870,44512500200000,521.00000, ben bolt-palito blanco independent school district 
TX,BLANCO ISD,blanco ind sch dist 902,blanco,4810320,44501600100000,1036.00000, blanco independent school district 
TX,BRIDGEPORT ISD,bridgeport ind sch dist 903,bridgeport,4811340,44524900400000,2077.00000,NA
TX,BROOKESMITH ISD,brookesmith rural ind sch dist 908,brookesmith,4811550,44502500300000,155.00000, brookesmith independent school district 
TX,BURKBURNETT ISD,burkburnet ind sch dist 901,burkburnett,4812120,44524300100000,3263.00000, burkburnett independent school district 
TX,CARROLLTON-FARMERS BRANCH ISD,carrollton-farmers br school dist 903,carrollton farmers branch,4813050,44505700200000,25611.00000, carrollton-farmers branch independent school district 
TX,CENTRAL HEIGHTS ISD,central hghts ind sch dist 908,central heights,4813440,44517400300000,1176.00000, central heights independent school district 
TX,CHICO ISD,chico ind sch dist 904,chico,4813800,44524900500000,596.00000, chico independent school district 
TX,CISCO ISD,cisco ind sch dist 902,cisco,4814070,44506700200000,845.00000, cisco independent school district 
TX,CROCKETT COUNTY CONSOLIDATED CSD,crockett co cons ind sch district 901,crockett,4815690,44505300100000,811.00000, crockett county consolidated common school district 
TX,D'HANIS ISD,d hanis ind sch dist 902,dhanis,4816140,44516300300000,353.00000, dhanis independent school district 
TX,DEKALB ISD,de kalb ind sch dist 901,dekalb,4816570,44501900100000,810.00000, dekalb independent school district 
TX,DESOTO ISD,de soto ind sch dist 906,desoto,4816860,44505700600000,8633.00000, desoto independent school district 
TX,DOUGLASS ISD,douglas ind sch dist 911,douglass,4817460,44517400600000,460.00000, douglass independent school district 
TX,DRIPPING SPRINGS ISD,dripping spgs ind sch dist 904,dripping springs,4800008,44510500200000,7210.00000, dripping springs independent school district 
TX,EAGLE MT-SAGINAW ISD,eagle mt saginaw ind sch dist 918,eagle mt saginaw,4817700,44522002500000,21024.00000, eagle mountain-saginaw independent school district 
TX,ECTOR COUNTY ISD,ector co ind school district 901,ector county,4818000,44506800100000,33822.00000,NA
TX,ERA ISD,era indep sch district 906,era,4818600,44504900400000,479.00000, era independent school district 
TX,FT HANCOCK ISD,fort hancock ind sch dist 901,ft hancock,4820130,44511500300000,404.00000, ft hancock independent school district 
TX,FRISCO ISD,frisco indep sch district 905,frisco,4820010,44504301200000,62705.00000, frisco independent school district 
TX,FT DAVIS ISD,ft davis ind sch dist 901,ft davis,4820100,44512200100000,224.00000,NA
TX,FT SAM HOUSTON ISD,ft sam houston independent sch dist 914,ft sam houston,4820160,44501500500000,1543.00000,NA
TX,GRAPE CREEK ISD,grape creek pulliam ind sch dist 907,grape creek,4821600,44522600400000,1188.00000, grape creek independent school district 
TX,GRAPEVINE-COLLEYVILLE ISD,grapevine-colleyvlle isd ind schl dist 906,grapevine colleyville,4821660,44522001400000,14234.00000, grapevine-colleyville independent school district 
TX,HICO ISD,hico ind sch dist 903,hico,4823070,44509700500000,568.00000, hico independent school district 
TX,HILLSBORO ISD,hillsboro ind sch dist 904,hillsboro,4823280,44510900700000,1975.00000,NA
TX,HOWE ISD,howe ond sch dist 905,howe,4823670,44509101000000,1267.00000, howe independent school district 
TX,HUGHES SPRINGS ISD,hughes spgs ind sch dist 903,hughes springs,4823850,44503401200000,1218.00000, hughes springs independent school district 
TX,IREDELL ISD,iredell independent school dist,iredell,4824360,44501800300000,151.00000, iredell independent school district 
TX,JONESBORO ISD,jonesboro independent school dist 909,jonesboro,4824900,44505000600000,349.00000, jonesboro independent school district 
TX,KENEDY COUNTY WIDE CSD,kenedy county wide common school district 901,kenedy county wide,4825410,44513100100000,73.00000, kenedy county wide community school district 
TX,KNOX CITY-O'BRIEN CISD,knox city-o'brien cnsldtd ind sch dist 902,knox city obrien,4825870,44513800400000,251.00000, knox city-obrien consolidated independent school district 
TX,KOPPERL ISD,kopperl independent school dist 907,kopperl,4825890,44501800400000,183.00000, kopperl independent school district 
TX,LAPOYNOR ISD,la poynor ind sch dist 910,lapoynor,4826220,44510700800000,469.00000, lapoynor independent school district 
TX,LITTLE CYPRESS-MAURICEVILLE CISD,little cyprss mauricevlle ind sch dist 908,little cypress mauriceville,4827690,44518100400000,3217.00000, little cypress-mauriceville consolidated independent school district 
TX,LOHN ISD,lohn rural ind sch dist 905,lohn,4827930,44515400200000,74.00000, lohn independent school district 
TX,LORAINE ISD,loraine ind sch dist 902,loraine,4828170,44516800200000,158.00000,NA
TX,MCDADE ISD,mc dade rural ind sch dist 905,mcdade,4829760,44501101100000,366.00000, mcdade independent school district 
TX,MCLEAN ISD,mc lean ind sch dist 903,mclean,4829880,44509000500000,218.00000, mclean independent school district 
TX,MCLEOD ISD,mc leod ind sch dist 906,mcleod,4829910,44503401700000,391.00000, mcleod independent school district 
TX,MCMULLEN COUNTY ISD,mcmullen county ind school dist,mcmullen county,4829940,44515600200000,288.00000,NA
TX,MERKEL ISD,merkel ind sch dist 904,merkel,4830340,44522100600000,1108.00000,NA
TX,MOUNT CALM ISD,mt calm ind sch dist 910,mount calm,4831620,44510901300000,203.00000, mount calm independent school district 
TX,MOUNT ENTERPRISE ISD,mt enterprise ind sch dist 907,mount enterprise,4831650,44520101300000,425.00000, mount enterprise independent school district 
TX,MOUNT PLEASANT ISD,mt pleasant ind sch dist 902,mount pleasant,4831760,44522500900000,5327.00000, mount pleasant independent school district 
TX,MOUNT VERNON ISD,mt vernon ind sch district 901,mount vernon,4831770,44508000200000,1578.00000, mount vernon independent school district 
TX,NEW CANEY ISD,new caney ind sch 908,new caney,4832400,44517000600000,16110.00000, new caney independent school district 
TX,O'DONNELL ISD,o donnell ind sch dist 903,odonnell,4833390,44515300300000,303.00000, odonnell independent school district 
TX,PANTHER CREEK CISD,panther creek cons isd 905,panther creek,4800007,44504240100000,156.00000, panther creek consolidated independent school district 
TX,PETROLIA CISD,petrolia ind sch dist 903,petrolia,4834710,44503900500000,450.00000,NA
TX,PHARR-SAN JUAN-ALAMO ISD,pharr san juan-alamo ind sch dist 909,pharr san juan alamo,4834860,44510801300000,32412.00000,NA
TX,PLEASANT GROVE ISD,pleasant grv ind sch dist 912,pleasant grove,4835130,44501901300000,2218.00000, pleasant grove independent school district 
TX,POINT ISABEL ISD,port isabel ind sch dist 909,point isabel,4835250,44503101200000,2175.00000, point isabel independent school district 
