acfrs_original_name,census_id,id,year,category,total_liabilities,bonds_outstanding,current_liabilities,leases,loans_outstanding,notes_outstanding,net_pension_liability,net_pension_assets,net_opeb_liability,net_opeb_assets,compensated_absences,charges_for_services,operating_grants,capital_grants,general_revenue,change_in_net_position,expenses,total_operating_revenues,non_operating_revenues,capital_contributions,revenues,has_unconfirmed,name,ratio,ratio_group,state,nces_original_name,student
Alsip Hazelgreen and Oak Lawn School District 126,NA,46399,2020,School District,0,0,0,0,0,0,1013595,1451141,10986760,0,0,111034,1936654,0,27354394,6823524,22578558,0,0,0,29402082,FALSE,alsip hazelgreen and oak lawn sd 126,0, Below 1%,Illinois,NA,NA
Aurora East School District 131,NA,33018,2020,School District,248230157,146764778,0,0,0,0,13841089,0,87624290,0,0,507539,102853479,250000,179181284,30834124,251958178,0,0,0,282792302,FALSE,aurora east sd 131,0.8777825819318095, Below 1%,Illinois,NA,NA
B-M-P Tri-County Special Education Cooperative,NA,47478,2020,School District,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4126358,-83123,4209481,0,0,0,4126358,FALSE,b-m-p tri-county spec educ coop,0, Below 1%,Illinois,NA,NA
Batavia Public School District 101,NA,33016,2020,School District,109232265,47705695,9995282,588596,0,0,6217285,0,44483611,0,241796,3415587,41332716,0,87078517,9508895,122317925,0,0,0,131826820,FALSE,batavia sd 101,0.8286042627744491, Below 1%,Illinois,NA,NA
Bensenville Elementary School District No.2,NA,41763,2020,School District,38119233,38119233,0,0,0,0,0,0,0,0,0,289504,16288168,0,33924710,945673,49556709,0,0,0,50502382,FALSE,bensenville esd 2,0.7548006943514071, Below 1%,Illinois,NA,NA
Berwyn North School District 98,NA,42496,2020,School District,23948175,0,32678,0,0,0,3416675,0,20531500,0,0,3343,22520820,0,36119487,2633167,56010483,0,0,0,58643650,FALSE,berwyn th sd 98,0.40836774314013535, Below 1%,Illinois,NA,NA
Bi-County Special Education Cooperative,NA,33153,2020,School District,6933,0,6933,0,0,0,0,0,0,0,0,0,0,0,8480492,-120855,8601347,0,0,0,8480492,FALSE,bi-county spec educ coop,8.175233229392823e-4, Below 1%,Illinois,NA,NA
Black Hawk Area Special Education District Joint Agreement No. 865,NA,61524,2020,School District,2603824,0,2603824,0,0,0,0,0,0,0,0,0,0,0,22682065,1207186,21474879,0,0,0,22682065,FALSE,black hawk area special education district joint agreement 865,0.11479660251392455, Below 1%,Illinois,NA,NA
Board of Education of the City of Peoria District No. 150,NA,169382,2020,School District,322592032,85445434,21224970,83851794,0,0,11821637,0,117300408,0,1155121,6300363,92679503,0,156438937,13996669,241422134,0,0,0,255418803,FALSE,board of education of the city of peoria district 150,1.2629924978545921,1 - 5%,Illinois,NA,NA
Bourbonnais Elementary Scool District No. 53,NA,167429,2020,School District,14076446,9790000,3961354,325092,0,0,0,0,0,0,0,526846,11241910,0,22959897,1071854,33656799,0,0,0,34728653,FALSE,bourbonnais elementary scool district 53,0.4053265757240858, Below 1%,Illinois,NA,NA
Bradley Elementary School District 61,NA,33026,2020,School District,2255459,2005000,-1408,251867,0,0,1975405,0,0,0,0,389380,9130445,50000,16081242,1976807,23674260,0,0,0,25651067,FALSE,bradley esd 61,0.08792846706922562, Below 1%,Illinois,NA,NA
Brookfield-Lagrange Park School District 95,NA,167431,2020,School District,48536763,38318406,1249816,61737,0,0,1637962,0,7268842,0,0,751179,6635620,0,16459891,1359632,22487058,0,0,0,23846690,FALSE,brookfield-lagrange park sd 95,2.0353668790092043,1 - 5%,Illinois,NA,NA
Burbank School District Number 111,NA,32953,2020,School District,65486572,65486572,0,0,0,0,5231590,0,20799178,0,0,184350,4129816,0,52884493,8687607,48511052,0,0,0,57198659,FALSE,burbank sd number 111,1.14489698088901,1 - 5%,Illinois,NA,NA
"Bureau, Henry, and Stark Counties Regional Office of Education No. 28",NA,47467,2020,School District,652887,0,191573,0,0,0,19961,3868,369500,0,71853,29466,3131594,0,778790,45217,3894633,0,0,0,3939850,FALSE,"bureau, henry, and stark counties roe 28",0.1657136693021308, Below 1%,Illinois,NA,NA
