state,acfrs_original_name
AK, Alaska Gateway School District 
AK, Annette Islands School District 
AK, Bering Strait School District 
AK, Chatham School District 
AK, Chugach School District 
AK, City and Borough of Juneau School District 
AK, City of Saint Marys School District 
AK, Copper River School District 
AK, Delta-Greely School District 
AK, Fairbanks North Star Borough School District 
AK, Iditarod Area School District 
AK, Kuspuk School District 
AK, Lake and Peninsula School District 
AK, Lower Kuskokwim School District 
AK, Lower Kuskokwin School District 
AK, Lower Yukon School District 
AK, Pribilof School District 
AK, Sitka School District 
AK, Southeast Island School District 
AK, Yukon Flats School District 
AK, Yukon Koyukuk School District 
AL, Chickasaw Board of Education 
AL, Cullman County on Education 
AL, Etowah County Board of Education 
AL, Lawrence County Board of Education 
AL, Lowndes County Board of Education 
AL, Mobile County Board of School Commissioners 
AL, Mountain Brook City Board of Education 
AL, Pelham City Board of Education 
AL, Saraland Board of Education 
AR, Alma School District No. 30 
AR, Arkadelphia School District No.1 
AR, Arkansas River Educational Service Cooperative 
AR, Armorel School District No. 9 
AR, Atkins School District No. 18 
AR, Barton-Lexa School District No.4 
AR, Batesville School District No.1 
AR, Bay School District No. 21 
AR, Bearden School District 
AR, Berryville School District No. 27 
AR, Bismarck School District No. 25 
AR, Blevins School District No. 2 
AR, Booneville School District No. 65 
AR, Boston Mountain Educational Cooperative 
AR, Brinkley School District No.B 
AR, Brookland School District No. 14 
AR, Buffalo Island Central School District 
AR, Buffalo Island Central School District No. 40 
AR, Calico Rock School District No. 50 
AR, Camden Fairview School District No. 16 
AR, Carlisle School District No. 3 
AR, Cave City School District No. 2a 
AR, Centerpoint School District No. 43 
AR, Charleston School District No. 9 
AR, Cleveland County School District 
AR, Conway School District No.1 
AR, Cross County School District No.7 
AR, Crossett School District No. 52 
AR, Crowleys Ridge Education Service Cooperative 
AR, Cutter-Morning Star School District 
AR, Danville School District No. 36 
AR, Dawson Educational Cooperative 
AR, De Queen School District No. 17 
AR, Deer-Mt Judea School District 
AR, Dequeen-Mena Educational Service Cooperative 
AR, Dermott Special School District 
AR, Dierks School District No. 2 
AR, Dumas School District No.6 
AR, Earle School District No.1 
AR, East Poinsett County School District No. 14 
AR, Emerson-Taylor-Bradley School District 
AR, England School District No.2 
AR, Eureka Springs School District No. 21 
AR, Flippin School District No. 26 
AR, Foreman School District No. 25 
AR, Fort Smith School District 100 
AR, Fountain Hill School District 
AR, Genoa Central School District No. 1 
AR, Glen Rose School District No.3 
AR, Great Rivers Educational Service Cooperative 
AR, Green Forest School District No. 32 
AR, Greenbrier School District No. 47 
AR, Greene County Technical School District No.1 
AR, Greenwood School District No. 25 
AR, Gurdon School District No. 60 
AR, Guy Fenter Education Service Cooperative 
AR, Guy-Perkins School District No. 34 
AR, Hackett School District No. 17 
AR, Hamburg School District No. 51 
AR, Hazen School District No. 2 
AR, Highland School District No. 42 
AR, Hillcrest School District No. 22 
AR, Hope School District No.1-A 
AR, Izard County Consolidated School District 
AR, Jackson County School District No. 5 
AR, Jasper School District No.1 
AR, Jessieville School District No.1 
AR, Jonesboro School District No.1 
AR, KIPP Delta Public Schools 
AR, Lakeside School District (Garland County) 
AR, Lavaca School District No.3 
AR, Lee County School District No. 1 
AR, Lincoln School District 
AR, Little Rock School District 
AR, Lonoke School District No.1 
AR, Magnolia School District No. 14 
AR, Mansfield School District No. 76 
AR, Marion School District No.3 
AR, Marmaduke School District No.S-2 
AR, Mayflower School District No. 78 
