"","name","government_ID","category","total_liabilities","bonds_outstanding","current_liabilities","leases","loans_outstanding","notes_outstanding","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","compensated_absences","charges_for_services","operating_grants","capital_grants","general_revenue","change_in_net_position","expenses","total_operating_revenues","non_operating_revenues","capital_contributions","revenues","has_unconfirmed","geo_id","city_town","state.name","population","state.abb","original_name","CITY","COUNTY_AREA_NAME"
"1","New York","33203100100000","General Purpose",305300557000,99455082000,30607669000,1547326000,0,0,46376874000,0,109456918000,0,5693120000,5734400000,25835690000,698894000,63652715000,-3984761000,99906460000,21447000,30000,0,95921699000,FALSE,"1600000US3651000","New York city","New York",8804190,"NY","CITY OF NEW YORK","NEW YORK","NEW YORK CITY"
"2","Chicago","14201601600000","General Purpose",69251891000,19517837000,4835603000,0,7254252000,1648820000,32958251000,0,1963340000,0,0,3483684000,1166768000,292265000,6272658000,1037609000,10177766000,0,0,0,11215375000,FALSE,"1600000US1714000","Chicago city","Illinois",2746388,"IL","CITY OF CHICAGO","CHICAGO","COOK"
"3","Houston","44210100800000","General Purpose",25651079000,13051137000,637330000,0,12422419000,559227000,4944343000,0,2233624000,0,522645000,2151299000,617294000,243887000,2495081000,-13570000,5521131000,0,0,0,5507561000,FALSE,"1600000US4835000","Houston city","Texas",2304580,"TX","CITY OF HOUSTON","HOUSTON","HARRIS"
"4","Philadelphia","39205100100000","General Purpose",19141711000,8953168000,1937322000,0,0,220009000,6095885000,0,1935327000,0,0,1542631000,2337887000,79201000,4717976000,-34593000,8712288000,0,0,0,8677695000,FALSE,"1600000US4260000","Philadelphia city","Pennsylvania",1603797,"PA","CITY OF PHILADELPHIA","PHILADELPHIA","PHILADELPHIA CITY"
"5","San Antonio","44201501000000","General Purpose",6535995000,3585735000,443951000,7093000,0,7341000,993046000,0,1170748000,0,245737000,557124000,268731000,80328000,1664123000,-10258000,2580564000,0,0,0,2570306000,FALSE,"1600000US4865000","San Antonio city","Texas",1434625,"TX","CITY OF SAN ANTONIO","SAN ANTONIO","BEXAR"
"6","Dallas","44205700700000","General Purpose",12969622000,5960897000,520329000,586522000,0,241884000,4693271000,0,530989000,0,140853000,1209619000,233854000,70352000,1668152000,462995000,2718982000,0,0,0,3181977000,FALSE,"1600000US4819000","Dallas city","Texas",1304379,"TX","CITY OF DALLAS","DALLAS","DALLAS"
"7","Austin","44222700100000","General Purpose",15202009000,6967251000,536339000,27022000,0,366480000,3003314000,0,3504494000,0,180250000,2646659000,214917000,208269000,1176219000,-333681000,4579745000,0,0,0,4246064000,FALSE,"1600000US4805000","Austin city","Texas",961855,"TX","CITY OF AUSTIN","AUSTIN","TRAVIS"
"8","Jacksonville","10201600300000","General Purpose",6319925000,2317159000,199668000,0,79526000,75170000,2985785000,0,261160000,0,145220000,267416000,280509000,41783000,1533763000,-40535000,2164006000,81845000,3622000,0,2123471000,FALSE,"1600000US1235000","Jacksonville city","Florida",949611,"FL","CITY OF JACKSONVILLE","JACKSONVILLE","DUVAL"
"9","Fort Worth","44222001100000","General Purpose",6248476000,2116025000,379448000,1473000,243824000,56890000,2259058000,0,970878000,0,160866000,681717000,662064000,283756000,962521000,2075307000,514751000,0,0,0,2590058000,FALSE,"1600000US4827000","Fort Worth city","Texas",918915,"TX","CITY OF FORT WORTH","FORT WORTH","TARRANT"
"10","Columbus","36202500300000","General Purpose",7128521000,4753916000,239192000,0,0,44334000,1466875000,0,471418000,0,116703000,785156000,330695000,104070000,1248105000,271881000,2196145000,0,0,0,2468026000,FALSE,"1600000US3918000","Columbus city","Ohio",905748,"OH","CITY OF COLUMBUS","COLUMBUS","FRANKLIN"
"11","Indianapolis","15204900800000","General Purpose",2742963000,1264678000,155357000,28473000,0,119772000,867115000,0,259666000,0,43268000,111523000,343609000,42026000,759827000,239334000,1017651000,0,0,0,1256985000,FALSE,"1600000US1836003","Indianapolis city (balance)","Indiana",887642,"IN","CITY OF INDIANAPOLIS","INDIANAPOLIS","MARION"
"12","Charlotte","34206000100000","General Purpose",6759442000,3320636000,575342000,0,274074000,346539000,618604000,0,531962000,0,87508000,959272000,107838000,223111000,994777000,258473000,2026525000,0,0,0,2284998000,FALSE,"1600000US3712000","Charlotte city","North Carolina",874579,"NC","CITY OF CHARLOTTE","CHARLOTTE","MECKLENBURG"
"13","Seattle","48201702100000","General Purpose",0,0,0,0,0,0,1471420000,0,673086000,0,0,0,0,0,0,64030000,0,0,0,0,64030000,TRUE,"1600000US5363000","Seattle city","Washington",737015,"WA","CITY OF SEATTLE","SEATTLE","KING"
"14","Oklahoma City","37205501500000","General Purpose",2204253000,1079235000,125893000,11000,0,16803000,288492000,11458000,425090000,0,92640000,187223000,103849000,53927000,732291000,67477000,1009813000,0,0,0,1077290000,FALSE,"1600000US4055000","Oklahoma City city","Oklahoma",681054,"OK","CITY OF OKLAHOMA CITY","OKLAHOMA CITY","OKLAHOMA"
