state,name,year,category,total_liabilities,bonds_outstanding,current_liabilities,leases,loans_outstanding,notes_outstanding,net_pension_liability,net_pension_assets,net_opeb_liability,net_opeb_assets,compensated_absences,charges_for_services,operating_grants,capital_grants,general_revenue,change_in_net_position,expenses,total_operating_revenues,non_operating_revenues,capital_contributions,revenues,State District ID,county,City,Students*
TX,katy isd,2020,School District,2787669152,2104407890,108378177,7455000,0,0,223796599,0,281189550,0,33037942,18618039,144751022,0,926599772,17082743,1072886090,0,0,0,1089968833,TX-101914,Fort Bend County,KATY,83423.00000
TX,fort worth isd,2020,School District,2010513068,1101918135,234239862,0,0,0,305150969,0,352419124,0,8385936,8517711,260696876,0,849338803,43584125,1074969265,0,0,0,1118553390,TX-220905,Tarrant County,FORT WORTH,82891.00000
TX,austin isd,2020,School District,2497995416,1259752262,804135841,0,1752489,0,118517031,0,302775488,0,0,12359383,194268580,0,1551262282,84932679,1672957566,90599189,637157,0,1757890245,TX-227901,Travis County,AUSTIN,80911.00000
TX,fort bend isd,2020,School District,1939809685,1241447450,215688777,0,0,0,206732032,0,270110960,0,3783094,32229778,173804959,0,765027201,-92545242,1063607180,10362075,0,0,971061938,TX-079907,Fort Bend County,SUGAR LAND,77756.00000
CA,long beach unified,2020,School District,3148525800,1604403010,182972369,0,0,0,922386344,0,425718817,0,13045260,11155221,241290427,8333227,875230225,12432101,1123576999,0,0,0,1136009100,CA-1964725,Los Angeles County,Long Beach,71712.00000
CA,fresno unified,2020,School District,3034261964,787415362,204081966,0,52959,0,942203000,0,1019190619,0,4534280,2480798,278345288,10632553,875250785,-67104085,1233813509,0,0,0,1166709424,CA-1062166,Fresno County,Fresno,71265.00000
TX,aldine isd,2020,School District,1730907415,1153879398,114330645,0,0,0,206674704,0,244402754,0,8142914,8122635,160538767,0,682017604,12428861,838250145,0,0,0,850679006,TX-101902,Harris County,HOUSTON,67259.00000
TX,conroe isd,2020,School District,1873250052,1424833695,72430287,0,0,0,169824823,0,205866828,0,294419,8489531,104132379,0,629684560,11725074,730581396,0,0,0,742306470,TX-170902,Montgomery County,CONROE,64799.00000
TX,north east isd,2020,School District,2132074073,1536119240,113954179,16080,0,0,184611924,0,237167621,0,5217375,25019262,120893482,0,657944666,-33005038,836862448,8476991,0,0,803857410,TX-015910,Bexar County,SAN ANTONIO,64539.00000
CA,elk grove unified,2020,School District,1218599815,280030239,0,14050237,0,0,749359000,0,11770913,0,16169700,22785700,171805100,11285395,635769515,-46093336,887739046,0,0,0,841645710,CA-3467314,Sacramento County,Elk Grove,63660.00000
