state,acfrs_original_name,nces_original_name,gov_unit_original_name,name,ncesid,censusid,county_nces,city_nces,student
AK, Aleutians East Borough School District ,Aleutians East Borough School District,aleutians east borough school district,aleutians east borough,0200007,02102402430100,Aleutians East Borough,Sand Point,234.00000
AK, Anchorage School District ,Anchorage School District,anchorage school district,anchorage,0200180,02200200130100,Anchorage Municipality,Anchorage,46143.00000
AK, Bristol Bay Borough School District ,Bristol Bay Borough School District,bristol bay borough school district,bristol bay borough,0200030,02100400130100,Bristol Bay Borough,Naknek,113.00000
AK, Denali Borough School District ,Denali Borough School District,denali borough school district,denali borough,0200770,02102602630100,Denali Borough,Healy,993.00000
AK, Kashunamiut School District ,Kashunamiut School District,kashunamiut school district,kashunamiut,0200005,02000000031300,Kusilvak Census Area,Chevak,313.00000
AK, Kenai Peninsula Borough School District ,Kenai Peninsula Borough School District,kenai peninsula borough school district,kenai peninsula borough,0200390,02100900430100,Kenai Peninsula Borough,Soldotna,8774.00000
AK, Ketchikan Gateway Borough School District ,Ketchikan Gateway Borough School District,ketchikan-gateway borough school district,ketchikan gateway borough,0200150,02101000530100,Ketchikan Gateway Borough,Ketchikan,2291.00000
AK, Kodiak Island Borough School District ,Kodiak Island Borough School District,kodiak island borough school district,kodiak island borough,0200480,02101200630100,Kodiak Island Borough,Kodiak,2308.00000
AK, Matanuska Susitna Borough School District ,Matanuska-Susitna Borough School District,matanuska susitna borough school district,matanuska susitna borough,0200510,02101300730100,Matanuska-Susitna Borough,Palmer,19502.00000
AK, Southwest Region Schools ,Southwest Region School District,southwest region schools,southwest region schools,0200710,02000000030400,Dillingham Census Area,Dillingham,636.00000
AL, Alabaster City Board of Education ,Alabaster City,alabaster city school district,alabaster city,0100190,01505900300000,Shelby County,Alabaster,6293.00000
AL, Albertville City Board of Education ,Albertville City,albertville city school district,albertville city,0100005,01504840100000,Marshall County,Albertville,5824.00000
AL, Alexander City Board of Education ,Alexander City,alexander city school district,alexander city,0100030,01506200200000,Tallapoosa County,Alexander City,3036.00000
AL, Andalusia City Board of Education ,Andalusia City,andalusia city school district,andalusia city,0100060,01502000100000,Covington County,Andalusia,1839.00000
AL, Anniston City Board of Education ,Anniston City,anniston city school district,anniston city,0100090,01500800200000,Calhoun County,Anniston,1887.00000
AL, Arab City Board of Education ,Arab City,arab city school district,arab city,0100100,01504880100000,Marshall County,Arab,2696.00000
AL, Athens City Board of Education ,Athens City,athens city school district,athens city,0100120,01504200100000,Limestone County,Athens,4505.00000
AL, Attalla City Board of Education ,Attalla City,attalla city school district,attalla city,0100180,01502800100000,Etowah County,Attalla,1490.00000
AL, Auburn City Board of Education ,Auburn City,auburn city school district,auburn city,0100210,01504170100000,Lee County,Auburn,8930.00000
AL, Bessemer City Board of Education ,Bessemer City,bessemer city school district,bessemer city,0100330,01503700100000,Jefferson County,Bessemer,3524.00000
AL, Birmingham City Board of Education ,Birmingham City,birmingham city school district,birmingham city,0100390,01503700200000,Jefferson County,Birmingham,22726.00000
AL, Boaz City Board of Education ,Boaz City,boaz city school district,boaz city,0100012,01504810100000,Marshall County,Boaz,2440.00000
AL, Brewton City Board of Education ,Brewton City,brewton city school district,brewton city,0100450,01502700200000,Escambia County,Brewton,1163.00000
AL, Cullman City Board of Education ,Cullman City,cullman city school district,cullman city,0100990,01502200100000,Cullman County,Cullman,3157.00000
AL, Daleville City Board of Education ,Daleville City,daleville city school district,daleville city,0101080,01502370100000,Dale County,Daleville,1142.00000
AL, Decatur City Board of Education ,Decatur City,decatur city school district,decatur city,0101170,01505200100000,Morgan County,Decatur,8842.00000
AL, Demopolis City Board of Education ,Demopolis City,demopolis city school district,demopolis city,0101200,01504600100000,Marengo County,Demopolis,2236.00000
AL, Dothan City Board of Education ,Dothan City,dothan city school district,dothan city,0101230,01503500100000,Houston County,DOTHAN,8701.00000
AL, Elba City Board of Education ,Elba City,elba city school district,elba city,0101260,01501600200000,Coffee County,Elba,624.00000
AL, Enterprise City Board of Education ,Enterprise City,enterprise city school district,enterprise city,0101320,01501600300000,Coffee County,Enterprise,6839.00000
AL, Eufaula City Board of Education ,Eufaula City,eufaula city school district,eufaula city,0101410,01500300200000,Barbour County,Eufaula,5700.00000
AL, Fairfield City Board of Education ,Fairfield City,fairfield city school district,fairfield city,0101440,01503700300000,Jefferson County,Fairfield,1639.00000
AL, Florence City Board of Education ,Florence City,florence city school district,florence city,0101530,01503900100000,Lauderdale County,Florence,4484.00000
AL, Fort Payne City Board of Education ,Fort Payne City,fort payne city school district,fort payne city,0101560,01502500200000,DeKalb County,Fort Payne,3385.00000
AL, Gadsden City Board of Education ,Gadsden City,gadsden city school district,gadsden city,0101620,01502800300000,Etowah County,Gadsden,5098.00000
AL, Geneva City Board of Education ,Geneva City,geneva city school district,geneva city,0101640,01503180100000,Geneva County,Geneva,1268.00000
AL, Guntersville City Board of Education ,Guntersville City,guntersville city school district,guntersville city,0101690,01504880200000,Marshall County,Guntersville,1853.00000
AL, Haleyville City Board of Education ,Haleyville City,haleyville city school district,haleyville city,0101720,01506780100000,Winston County,Haleyville,1614.00000
AL, Hartselle City Board of Education ,Hartselle City,hartselle city school district,hartselle city,0101730,01505290100000,Morgan County,Hartselle,3519.00000
AL, Homewood City Board of Education ,Homewood City,homewood city school district,homewood city,0101760,01503780100000,Jefferson County,Homewood,4217.00000
AL, Hoover City Board of Education ,Hoover City,hoover city school district,hoover city,0100007,01503740100000,Jefferson County,Birmingham,14061.00000
AL, Huntsville City Board of Education ,Huntsville City,huntsville city school district,huntsville city,0101800,01504500100000,Madison County,Huntsville,23882.00000
AL, Jacksonville City Board of Education ,Jacksonville City,jacksonville city school district,jacksonville city,0101860,01500800400000,Calhoun County,Jacksonville,1639.00000
AL, Jasper City Board of Education ,Jasper City,jasper city school district,jasper city,0101890,01506400200000,Walker County,Jasper,2734.00000
AL, Lanett City Board of Education ,Lanett City,lanett city school district,lanett city,0101980,01500900200000,Chambers County,Lanett,953.00000
AL, Linden City Board of Education ,Linden City,linden city school district,linden city,0102130,01504670100000,Marengo County,Linden,486.00000
AL, Lowndes County School District ,Lowndes County,lowndes county school district,lowndes,0102160,01504300100000,Lowndes County,Hayneville,1281.00000
AL, Madison City Board of Education ,Madison City,madison city school district,madison city,0100008,01504530100000,Madison County,Madison,11695.00000
AL, Midfield City Board of Education ,Midfield City,midfield city school district,midfield city,0102350,01503780200000,Jefferson County,Midfield,1025.00000
AL, Muscle Shoals City Board of Education ,Muscle Shoals City,muscle shoals city school district,muscle shoals city,0102520,01501750100000,Colbert County,Muscle Shoals,2828.00000
AL, Oneonta City Board of Education ,Oneonta City,oneonta city school district,oneonta city,0102550,01500500200000,Blount County,Oneonta,1488.00000
AL, Opp City Board of Education ,Opp City,opp city school district,opp city,0102610,01502000400000,Covington County,Opp,1308.00000
AL, Oxford City Board of Education ,Oxford City,oxford city school district,oxford city,0102635,01500880100000,Calhoun County,Oxford,4265.00000
AL, Ozark City Board of Education ,Ozark City,ozark city school district,ozark city,0102640,01502300200000,Dale County,Ozark,2089.00000
AL, Pell City Board of Education ,Pell City,pell city school district,pell city,0102650,01505860100000,St. Clair County,Pell City,4148.00000
AL, Phenix City Board of Education ,Phenix City,phenix city school district,phenix city,0102700,01505700100000,Russell County,Phenix City,7449.00000
AL, Piedmont City Board of Education ,Piedmont City,piedmont city school district,piedmont city,0102760,01500800500000,Calhoun County,Piedmont,1116.00000
AL, Pike Road Board of Education ,Pike Road City,pike road school district,pike road,0100195,01505100200000,Montgomery County,Pike Road,2228.00000
AL, Roanoke City Board of Education ,Roanoke City,roanoke city school district,roanoke city,0102850,01505600200000,Randolph County,Roanoke,1501.00000
AL, Satsuma City Board of Education ,Satsuma City,satsuma city school district,satsuma city,0100189,01504910300000,Mobile County,Satsuma,1592.00000
AL, Scottsboro City Board of Education ,Scottsboro City,scottsboro city school district,scottsboro city,0102940,01503600200000,Jackson County,Scottsboro,2463.00000
AL, Selma City Board of Education ,Selma City,selma city school district,selma city,0102970,01502400200000,Dallas County,Selma,2852.00000
AL, Sheffield City Board of Education ,Sheffield City,sheffield city school district,sheffield city,0103000,01501700200000,Colbert County,Sheffield,1037.00000
AL, Sylacauga City Board of Education ,Sylacauga City,sylacauga city school district,sylacauga city,0103120,01506100100000,Talladega County,Sylacauga,2113.00000
AL, Talladega City Board of Education ,Talladega City,talladega city school district,talladega city,0103150,01506100200000,Talladega County,Talladega,1889.00000
AL, Tallassee City Board of Education ,Tallassee City,tallassee city school district,tallassee city,0103240,01502600200000,Elmore County,Tallassee,1678.00000
AL, Tarrant City Board of Education ,Tarrant City,tarrant city school district,tarrant city,0103270,01503700500000,Jefferson County,Tarrant,1285.00000
AL, Troy City Board of Education ,Troy City,troy city school district,troy city,0103330,01505500200000,Pike County,Troy,1776.00000
AL, Trussville City Board of Education ,Trussville City,trussville city school district,trussville city,0100013,01503710200000,Jefferson County,Trussville,4823.00000
AL, Tuscaloosa City Board of Education ,Tuscaloosa City,tuscaloosa city school district,tuscaloosa city,0103360,01506300100000,Tuscaloosa County,Tuscaloosa,10910.00000
AL, Tuscumbia City Board of Education ,Tuscumbia City,tuscumbia city school district,tuscumbia city,0103420,01501700300000,Colbert County,Tuscumbia,1477.00000
AL, Winfield City Board of Education ,Winfield City,winfield city school district,winfield city,0103540,01504700200000,Marion County,Winfield,1272.00000
AR, Alma School District 30 ,ALMA SCHOOL DISTRICT,alma sch dist 30,alma 30,0502250,04501700100000,Crawford County,ALMA,3297.00000
AR, Alma School District No. 30 ,ALMA SCHOOL DISTRICT,alma sch dist 30,alma 30,0502250,04501700100000,Crawford County,ALMA,3297.00000
AR, Alpena School District No.5 ,ALPENA SCHOOL DISTRICT,alpena sch dist 5,alpena 5,0502280,04500500100000,Boone County,ALPENA,514.00000
AR, Ashdown School District No. 31 ,ASHDOWN SCHOOL DISTRICT,ashdown sch dist 31,ashdown 31,0502580,04504100100000,Little River County,ASHDOWN,1406.00000
AR, Augusta School District No. 10 ,AUGUSTA SCHOOL DISTRICT,augusta sch dist 10,augusta 10,0502670,04507400100000,Woodruff County,AUGUSTA,358.00000
AR, Bald Knob School District ,BALD KNOB SCHOOL DISTRICT,bald knob sch dist,bald knob,0502700,04507300100000,White County,BALD KNOB,1212.00000
AR, Bauxite School District No. 14 ,BAUXITE SCHOOL DISTRICT,bauxite sch dist 14,bauxite 14,0502790,04506300100000,Saline County,BAUXITE,1680.00000
AR, Beebe School District ,BEEBE SCHOOL DISTRICT,beebe sch dist,beebe,0502880,04507300200000,White County,BEEBE,3356.00000
AR, Benton School District No.8 ,BENTON SCHOOL DISTRICT,benton sch dist 8,benton 8,0502960,04506300200000,Saline County,BENTON,5648.00000
AR, Bentonville School District 6 ,BENTONVILLE SCHOOL DISTRICT,bentonville sch dist 6,bentonville 6,0503060,04500400200000,Benton County,BENTONVILLE,17848.00000
AR, Bergman School District No.3 ,BERGMAN SCHOOL DISTRICT,bergman sch dist 3,bergman 3,0503090,04500500200000,Boone County,BERGMAN,1176.00000
AR, Bradford School District ,BRADFORD SCHOOL DISTRICT,bradford sch dist,bradford,0503480,04507300300000,White County,BRADFORD,494.00000
