acfrs_original_name,census_id,id,year,category,total_liabilities,bonds_outstanding,current_liabilities,leases,loans_outstanding,notes_outstanding,net_pension_liability,net_pension_assets,net_opeb_liability,net_opeb_assets,compensated_absences,charges_for_services,operating_grants,capital_grants,general_revenue,change_in_net_position,expenses,total_operating_revenues,non_operating_revenues,capital_contributions,revenues,has_unconfirmed,name,ratio,ratio_group,state
Independent School District 2142,NA,34898,2020,School District,91996912,55847604,6201141,1087568,0,0,17389470,0,2063383,0,98713,1231251,7950568,0,29831508,220936,38792391,0,0,0,39013327,FALSE,Independent School District 2142,2.358089378022028,1 - 5%,Minnesota
Independent School District 2164,NA,34822,2020,School District,64288677,48652787,2822253,0,0,0,11625939,0,1187698,0,0,735316,3060284,0,16660382,-2142158,22598140,0,0,0,20455982,FALSE,Independent School District 2164,3.142781265646401,1 - 5%,Minnesota
Independent School District 2198,NA,169423,2020,School District,11382022,5586560,826273,0,0,0,4529907,0,418323,0,0,1223624,1535328,77683,6958936,48350,9747221,0,0,0,9795571,FALSE,Independent School District 2198,1.161955949275443,1 - 5%,Minnesota
Independent School District 256,NA,167815,2020,School District,45962695,21187079,4082285,267495,0,0,19169831,0,0,3495044,0,1955102,8833635,295649,34504157,-605944,46194487,0,0,0,45588543,FALSE,Independent School District 256,1.0082071497656768,1 - 5%,Minnesota
Independent School District 282,NA,49490,2020,School District,46118869,28680000,3445998,264558,0,0,13662980,0,0,164514,0,1747093,5238963,0,21210267,-247582,28443905,0,0,0,28196323,FALSE,Independent School District 282,1.6356341569785535,1 - 5%,Minnesota
Independent School District 345,NA,167816,2020,School District,35573281,22464599,2305188,686937,0,0,9746947,0,0,79084,369610,1611465,4102415,232562,16565528,-871828,23383798,0,0,0,22511970,FALSE,Independent School District 345,1.5801940478776402,1 - 5%,Minnesota
Independent School District 38,NA,34808,2020,School District,151311763,0,5630171,0,122858279,0,19391675,0,1141867,0,222990,334220,13172944,1320684,26587685,-3601830,45017363,0,0,0,41415533,FALSE,Independent School District 38,3.653502732899755,1 - 5%,Minnesota
Independent School District 480,NA,34866,2020,School District,18378957,8695201,1680613,104748,1000000,0,6189467,0,358928,0,0,72046,5174529,80365,7817645,-125237,13269822,0,0,0,13144585,FALSE,Independent School District 480,1.3982150824845363,1 - 5%,Minnesota
Independent School District 534,NA,53941,2020,School District,45784682,25673578,2901646,0,193400,0,12652725,0,3842951,0,67346,1656136,4676059,416172,20587277,504166,26831478,0,0,0,27335644,FALSE,Independent School District 534,1.674907750481386,1 - 5%,Minnesota
Independent School District 701,NA,34894,2020,School District,70024791,9405725,2593781,0,0,0,16767932,0,39142691,0,345972,733022,5762215,830394,27399374,-3469794,38194799,0,0,0,34725005,FALSE,Independent School District 701,2.016552366227161,1 - 5%,Minnesota
