"","id","county","state.name","population","state.abb","entity_type_county"
"1","0500000US01083","Limestone County","Alabama",103570,"AL","County"
"2","0500000US01125","Tuscaloosa County","Alabama",227036,"AL","County"
"3","0500000US05045","Faulkner County","Arkansas",123498,"AR","County"
"4","0500000US06025","Imperial County","California",179702,"CA","County"
"5","0500000US06075","San Francisco County","California",873965,"CA","County"
"6","0500000US08013","Boulder County","Colorado",330758,"CO","County"
"7","0500000US08031","Denver County","Colorado",715522,"CO","County"
"8","0500000US08101","Pueblo County","Colorado",168162,"CO","County"
"9","0500000US09003","Hartford County","Connecticut",899498,"CT","County"
"10","0500000US09005","Litchfield County","Connecticut",185186,"CT","County"
"11","0500000US09009","New Haven County","Connecticut",864835,"CT","County"
"12","0500000US09011","New London County","Connecticut",268555,"CT","County"
"13","0500000US09013","Tolland County","Connecticut",149788,"CT","County"
"14","0500000US09015","Windham County","Connecticut",116418,"CT","County"
"15","0500000US13021","Bibb County","Georgia",157346,"GA","County"
"16","0500000US13089","DeKalb County","Georgia",764382,"GA","County"
"17","0500000US13215","Muscogee County","Georgia",206922,"GA","County"
"18","0500000US15003","Honolulu County","Hawaii",1016508,"HI","County"
"19","0500000US17037","DeKalb County","Illinois",100420,"IL","County"
"20","0500000US17043","DuPage County","Illinois",932877,"IL","County"
"21","0500000US17099","LaSalle County","Illinois",109658,"IL","County"
"22","0500000US17113","McLean County","Illinois",170954,"IL","County"
"23","0500000US17197","Will County","Illinois",696355,"IL","County"
"24","0500000US18039","Elkhart County","Indiana",207047,"IN","County"
"25","0500000US18063","Hendricks County","Indiana",174788,"IN","County"
"26","0500000US18091","LaPorte County","Indiana",112417,"IN","County"
"27","0500000US18127","Porter County","Indiana",173215,"IN","County"
"28","0500000US18157","Tippecanoe County","Indiana",186251,"IN","County"
"29","0500000US18167","Vigo County","Indiana",106153,"IN","County"
"30","0500000US20209","Wyandotte County","Kansas",169245,"KS","County"
"31","0500000US23001","Androscoggin County","Maine",111139,"ME","County"
"32","0500000US23011","Kennebec County","Maine",123642,"ME","County"
"33","0500000US23019","Penobscot County","Maine",152199,"ME","County"
"34","0500000US24005","Baltimore County","Maryland",854535,"MD","County"
"35","0500000US25003","Berkshire County","Massachusetts",129026,"MA","County"
"36","0500000US25005","Bristol County","Massachusetts",579200,"MA","County"
"37","0500000US25013","Hampden County","Massachusetts",465825,"MA","County"
"38","0500000US25015","Hampshire County","Massachusetts",162308,"MA","County"
"39","0500000US25021","Norfolk County","Massachusetts",725981,"MA","County"
"40","0500000US28033","DeSoto County","Mississippi",185314,"MS","County"
"41","0500000US28049","Hinds County","Mississippi",227742,"MS","County"
"42","0500000US29183","St. Charles County","Missouri",405262,"MO","County"
"43","0500000US30031","Gallatin County","Montana",118960,"MT","County"
"44","0500000US34005","Burlington County","New Jersey",461860,"NJ","County"
"45","0500000US35013","Doña Ana County","New Mexico",219561,"NM","County"
"46","0500000US36005","Bronx County","New York",1472654,"NY","County"
"47","0500000US36061","New York County","New York",1694251,"NY","County"
"48","0500000US36081","Queens County","New York",2405464,"NY","County"
"49","0500000US36087","Rockland County","New York",338329,"NY","County"
"50","0500000US36119","Westchester County","New York",1004457,"NY","County"
"51","0500000US39035","Cuyahoga County","Ohio",1264817,"OH","County"
"52","0500000US40017","Canadian County","Oklahoma",154405,"OK","County"
"53","0500000US40109","Oklahoma County","Oklahoma",796292,"OK","County"
"54","0500000US42003","Allegheny County","Pennsylvania",1250578,"PA","County"
"55","0500000US42011","Berks County","Pennsylvania",428849,"PA","County"
"56","0500000US42017","Bucks County","Pennsylvania",646538,"PA","County"
"57","0500000US42027","Centre County","Pennsylvania",158172,"PA","County"
"58","0500000US42075","Lebanon County","Pennsylvania",143257,"PA","County"
"59","0500000US42079","Luzerne County","Pennsylvania",325594,"PA","County"
"60","0500000US42081","Lycoming County","Pennsylvania",114188,"PA","County"
"61","0500000US42101","Philadelphia County","Pennsylvania",1603797,"PA","County"
"62","0500000US44007","Providence County","Rhode Island",660741,"RI","County"
"63","0500000US48121","Denton County","Texas",906422,"TX","County"
"64","0500000US48135","Ector County","Texas",165171,"TX","County"
"65","0500000US48187","Guadalupe County","Texas",172706,"TX","County"
"66","0500000US48309","McLennan County","Texas",260579,"TX","County"
"67","0500000US48485","Wichita County","Texas",129350,"TX","County"
"68","0500000US50007","Chittenden County","Vermont",168323,"VT","County"
"69","0500000US53033","King County","Washington",2269675,"WA","County"
"70","0500000US53035","Kitsap County","Washington",275611,"WA","County"
"71","0500000US53061","Snohomish County","Washington",827957,"WA","County"
"72","0500000US54061","Monongalia County","West Virginia",105822,"WV","County"
"73","0500000US55039","Fond du Lac County","Wisconsin",104154,"WI","County"
"74","0500000US55073","Marathon County","Wisconsin",138013,"WI","County"
"75","1600000US1303440","Athens-Clarke County unified government (balance)","Georgia",127315,"GA","County"
"76","1600000US1304204","Augusta-Richmond County consolidated government (balance)","Georgia",202081,"GA","County"
"77","1600000US2148006","Louisville/Jefferson County metro government (balance)","Kentucky",386884,"KY","County"
