"","id","county","state.name","population","state.abb"
"1","0500000US25017","Middlesex County","Massachusetts",1632002,"MA"
"2","0500000US42101","Philadelphia County","Pennsylvania",1603797,"PA"
"3","0500000US39035","Cuyahoga County","Ohio",1264817,"OH"
"4","0500000US15003","Honolulu County","Hawaii",1016508,"HI"
"5","0500000US17043","DuPage County","Illinois",932877,"IL"
"6","0500000US06075","San Francisco County","California",873965,"CA"
"7","0500000US48215","Hidalgo County","Texas",870781,"TX"
"8","0500000US25027","Worcester County","Massachusetts",862111,"MA"
"9","0500000US42091","Montgomery County","Pennsylvania",856553,"PA"
"10","0500000US24005","Baltimore County","Maryland",854535,"MD"
"11","0500000US53061","Snohomish County","Washington",827957,"WA"
"12","0500000US25009","Essex County","Massachusetts",809829,"MA"
"13","0500000US25025","Suffolk County","Massachusetts",797936,"MA"
"14","0500000US40109","Oklahoma County","Oklahoma",796292,"OK"
"15","0500000US13089","DeKalb County","Georgia",764382,"GA"
"16","0500000US25021","Norfolk County","Massachusetts",725981,"MA"
"17","0500000US08031","Denver County","Colorado",715522,"CO"
"18","0500000US44007","Providence County","Rhode Island",660741,"RI"
"19","0500000US42017","Bucks County","Pennsylvania",646538,"PA"
"20","0500000US25005","Bristol County","Massachusetts",579200,"MA"
"21","0500000US34039","Union County","New Jersey",575345,"NJ"
"22","0500000US25023","Plymouth County","Massachusetts",530819,"MA"
"23","0500000US34007","Camden County","New Jersey",523485,"NJ"
"24","0500000US18089","Lake County","Indiana",498700,"IN"
"25","0500000US25013","Hampden County","Massachusetts",465825,"MA"
"26","0500000US34005","Burlington County","New Jersey",461860,"NJ"
"27","0500000US22033","East Baton Rouge Parish","Louisiana",456781,"LA"
"28","0500000US42011","Berks County","Pennsylvania",428849,"PA"
"29","0500000US29183","St. Charles County","Missouri",405262,"MO"
"30","0500000US01089","Madison County","Alabama",388153,"AL"
"31","0500000US34021","Mercer County","New Jersey",387340,"NJ"
"32","1600000US2148006","Louisville/Jefferson County metro government (balance)","Kentucky",386884,"KY"
"33","0500000US22071","Orleans Parish","Louisiana",383997,"LA"
"34","0500000US39151","Stark County","Ohio",374853,"OH"
"35","0500000US34035","Somerset County","New Jersey",345361,"NJ"
"36","0500000US36087","Rockland County","New York",338329,"NY"
"37","0500000US08013","Boulder County","Colorado",330758,"CO"
"38","0500000US42079","Luzerne County","Pennsylvania",325594,"PA"
"39","0500000US21067","Fayette County","Kentucky",322570,"KY"
"40","0500000US36001","Albany County","New York",314848,"NY"
"41","0500000US33015","Rockingham County","New Hampshire",314176,"NH"
"42","0500000US42095","Northampton County","Pennsylvania",312951,"PA"
"43","0500000US40027","Cleveland County","Oklahoma",295528,"OK"
"44","0500000US05007","Benton County","Arkansas",284333,"AR"
"45","0500000US18141","St. Joseph County","Indiana",272912,"IN"
"46","0500000US48309","McLennan County","Texas",260579,"TX"
"47","0500000US22055","Lafayette Parish","Louisiana",241753,"LA"
"48","0500000US22017","Caddo Parish","Louisiana",237848,"LA"
"49","0500000US39085","Lake County","Ohio",232603,"OH"
"50","0500000US01003","Baldwin County","Alabama",231767,"AL"
"51","0500000US01101","Montgomery County","Alabama",228954,"AL"
"52","0500000US28049","Hinds County","Mississippi",227742,"MS"
"53","0500000US01125","Tuscaloosa County","Alabama",227036,"AL"
"54","0500000US29099","Jefferson County","Missouri",226739,"MO"
"55","0500000US35013","Doña Ana County","New Mexico",219561,"NM"
"56","0500000US23031","York County","Maine",211972,"ME"
