"","id","county","state.name","population","state.abb"
"1","0500000US53033","King County","Washington",2269675,"WA"
"2","0500000US25017","Middlesex County","Massachusetts",1632002,"MA"
"3","0500000US42101","Philadelphia County","Pennsylvania",1603797,"PA"
"4","0500000US39035","Cuyahoga County","Ohio",1264817,"OH"
"5","0500000US42003","Allegheny County","Pennsylvania",1250578,"PA"
"6","0500000US15003","Honolulu County","Hawaii",1016508,"HI"
"7","0500000US36119","Westchester County","New York",1004457,"NY"
"8","0500000US29189","St. Louis County","Missouri",1004125,"MO"
"9","0500000US17043","DuPage County","Illinois",932877,"IL"
"10","0500000US48121","Denton County","Texas",906422,"TX"
"11","0500000US06075","San Francisco County","California",873965,"CA"
"12","0500000US48215","Hidalgo County","Texas",870781,"TX"
"13","0500000US34023","Middlesex County","New Jersey",863162,"NJ"
"14","0500000US25027","Worcester County","Massachusetts",862111,"MA"
"15","0500000US42091","Montgomery County","Pennsylvania",856553,"PA"
"16","0500000US24005","Baltimore County","Maryland",854535,"MD"
"17","0500000US53061","Snohomish County","Washington",827957,"WA"
"18","0500000US25009","Essex County","Massachusetts",809829,"MA"
"19","0500000US25025","Suffolk County","Massachusetts",797936,"MA"
"20","0500000US40109","Oklahoma County","Oklahoma",796292,"OK"
"21","0500000US13089","DeKalb County","Georgia",764382,"GA"
"22","0500000US36055","Monroe County","New York",759443,"NY"
"23","0500000US25021","Norfolk County","Massachusetts",725981,"MA"
"24","0500000US08031","Denver County","Colorado",715522,"CO"
"25","0500000US17197","Will County","Illinois",696355,"IL"
"26","0500000US44007","Providence County","Rhode Island",660741,"RI"
"27","0500000US42017","Bucks County","Pennsylvania",646538,"PA"
"28","0500000US25005","Bristol County","Massachusetts",579200,"MA"
"29","0500000US42045","Delaware County","Pennsylvania",576830,"PA"
"30","0500000US34039","Union County","New Jersey",575345,"NJ"
"31","0500000US25023","Plymouth County","Massachusetts",530819,"MA"
"32","0500000US34007","Camden County","New Jersey",523485,"NJ"
"33","0500000US18089","Lake County","Indiana",498700,"IN"
"34","0500000US47093","Knox County","Tennessee",478971,"TN"
"35","0500000US25013","Hampden County","Massachusetts",465825,"MA"
"36","0500000US34005","Burlington County","New Jersey",461860,"NJ"
"37","0500000US22033","East Baton Rouge Parish","Louisiana",456781,"LA"
"38","0500000US42133","York County","Pennsylvania",456438,"PA"
"39","0500000US42011","Berks County","Pennsylvania",428849,"PA"
"40","0500000US33011","Hillsborough County","New Hampshire",422937,"NH"
"41","0500000US29183","St. Charles County","Missouri",405262,"MO"
"42","0500000US36071","Orange County","New York",401310,"NY"
"43","0500000US05119","Pulaski County","Arkansas",399125,"AR"
"44","0500000US01089","Madison County","Alabama",388153,"AL"
"45","0500000US34021","Mercer County","New Jersey",387340,"NJ"
"46","1600000US2148006","Louisville/Jefferson County metro government (balance)","Kentucky",386884,"KY"
"47","0500000US22071","Orleans Parish","Louisiana",383997,"LA"
"48","0500000US39151","Stark County","Ohio",374853,"OH"
"49","0500000US34035","Somerset County","New Jersey",345361,"NJ"
"50","0500000US36087","Rockland County","New York",338329,"NY"
"51","0500000US08013","Boulder County","Colorado",330758,"CO"
"52","0500000US42079","Luzerne County","Pennsylvania",325594,"PA"
"53","0500000US21067","Fayette County","Kentucky",322570,"KY"
"54","0500000US36001","Albany County","New York",314848,"NY"
"55","0500000US33015","Rockingham County","New Hampshire",314176,"NH"
"56","0500000US42095","Northampton County","Pennsylvania",312951,"PA"
"57","0500000US40027","Cleveland County","Oklahoma",295528,"OK"
"58","0500000US05007","Benton County","Arkansas",284333,"AR"
"59","0500000US53035","Kitsap County","Washington",275611,"WA"
"60","0500000US18141","St. Joseph County","Indiana",272912,"IN"
"61","0500000US48309","McLennan County","Texas",260579,"TX"
"62","0500000US05143","Washington County","Arkansas",245871,"AR"
"63","0500000US22055","Lafayette Parish","Louisiana",241753,"LA"
"64","0500000US22017","Caddo Parish","Louisiana",237848,"LA"
"65","0500000US39085","Lake County","Ohio",232603,"OH"
"66","0500000US01003","Baldwin County","Alabama",231767,"AL"
"67","0500000US01101","Montgomery County","Alabama",228954,"AL"
"68","0500000US28049","Hinds County","Mississippi",227742,"MS"
"69","0500000US01125","Tuscaloosa County","Alabama",227036,"AL"
"70","0500000US29099","Jefferson County","Missouri",226739,"MO"
"71","0500000US35013","Doña Ana County","New Mexico",219561,"NM"
"72","0500000US23031","York County","Maine",211972,"ME"
"73","0500000US28047","Harrison County","Mississippi",208621,"MS"
"74","0500000US18039","Elkhart County","Indiana",207047,"IN"
"75","0500000US13215","Muscogee County","Georgia",206922,"GA"
"76","0500000US53005","Benton County","Washington",206873,"WA"
"77","0500000US13245","Richmond County","Georgia",206607,"GA"
"78","0500000US17019","Champaign County","Illinois",205865,"IL"
"79","1600000US1304204","Augusta-Richmond County consolidated government (balance)","Georgia",202081,"GA"
"80","0500000US18157","Tippecanoe County","Indiana",186251,"IN"
"81","0500000US28033","DeSoto County","Mississippi",185314,"MS"
"82","0500000US06025","Imperial County","California",179702,"CA"
"83","0500000US18063","Hendricks County","Indiana",174788,"IN"
"84","0500000US01081","Lee County","Alabama",174241,"AL"
"85","0500000US18127","Porter County","Indiana",173215,"IN"
"86","0500000US48187","Guadalupe County","Texas",172706,"TX"
"87","0500000US17113","McLean County","Illinois",170954,"IL"
"88","0500000US44003","Kent County","Rhode Island",170363,"RI"
"89","0500000US20209","Wyandotte County","Kansas",169245,"KS"
"90","0500000US42089","Monroe County","Pennsylvania",168327,"PA"
"91","0500000US50007","Chittenden County","Vermont",168323,"VT"
"92","0500000US08101","Pueblo County","Colorado",168162,"CO"
"93","0500000US48135","Ector County","Texas",165171,"TX"
"94","0500000US55105","Rock County","Wisconsin",163687,"WI"
"95","0500000US25015","Hampshire County","Massachusetts",162308,"MA"
"96","0500000US18081","Johnson County","Indiana",161765,"IN"
"97","0500000US42027","Centre County","Pennsylvania",158172,"PA"
"98","0500000US13021","Bibb County","Georgia",157346,"GA"
"99","0500000US40017","Canadian County","Oklahoma",154405,"OK"
"100","0500000US23019","Penobscot County","Maine",152199,"ME"
"101","0500000US42075","Lebanon County","Pennsylvania",143257,"PA"
"102","0500000US28059","Jackson County","Mississippi",143252,"MS"
"103","0500000US18105","Monroe County","Indiana",139718,"IN"
"104","0500000US55073","Marathon County","Wisconsin",138013,"WI"
"105","0500000US06023","Humboldt County","California",136463,"CA"
"106","0500000US21015","Boone County","Kentucky",135968,"KY"
"107","0500000US47009","Blount County","Tennessee",135280,"TN"
"108","0500000US18095","Madison County","Indiana",130129,"IN"
"109","0500000US44009","Washington County","Rhode Island",129839,"RI"
"110","0500000US48485","Wichita County","Texas",129350,"TX"
"111","0500000US25003","Berkshire County","Massachusetts",129026,"MA"
"112","0500000US13059","Clarke County","Georgia",128671,"GA"
"113","1600000US1303440","Athens-Clarke County unified government (balance)","Georgia",127315,"GA"
"114","0500000US23011","Kennebec County","Maine",123642,"ME"
"115","0500000US05045","Faulkner County","Arkansas",123498,"AR"
"116","0500000US01103","Morgan County","Alabama",123421,"AL"
"117","0500000US05125","Saline County","Arkansas",123416,"AR"
"118","0500000US18019","Clark County","Indiana",121093,"IN"
"119","0500000US30031","Gallatin County","Montana",118960,"MT"
"120","0500000US20045","Douglas County","Kansas",118785,"KS"
"121","0500000US42081","Lycoming County","Pennsylvania",114188,"PA"
"122","0500000US18091","LaPorte County","Indiana",112417,"IN"
"123","0500000US18035","Delaware County","Indiana",111903,"IN"
"124","0500000US23001","Androscoggin County","Maine",111139,"ME"
"125","0500000US21093","Hardin County","Kentucky",110702,"KY"
"126","0500000US17099","LaSalle County","Illinois",109658,"IL"
"127","0500000US28089","Madison County","Mississippi",109145,"MS"
"128","0500000US01069","Houston County","Alabama",107202,"AL"
"129","0500000US18167","Vigo County","Indiana",106153,"IN"
"130","0500000US54061","Monongalia County","West Virginia",105822,"WV"
"131","0500000US29071","Franklin County","Missouri",104682,"MO"
"132","0500000US55039","Fond du Lac County","Wisconsin",104154,"WI"
"133","0500000US42001","Adams County","Pennsylvania",103852,"PA"
"134","0500000US01083","Limestone County","Alabama",103570,"AL"
"135","0500000US17037","DeKalb County","Illinois",100420,"IL"
"136","0500000US06101","Sutter County","California",99633,"CA"
"137","0500000US53025","Grant County","Washington",99123,"WA"
"138","0500000US36079","Putnam County","New York",97668,"NY"
"139","0500000US01095","Marshall County","Alabama",97612,"AL"
"140","0500000US53021","Franklin County","Washington",96749,"WA"
"141","0500000US40131","Rogers County","Oklahoma",95240,"OK"
"142","0500000US54011","Cabell County","West Virginia",94350,"WV"
"143","0500000US01077","Lauderdale County","Alabama",93564,"AL"
"144","0500000US21037","Campbell County","Kentucky",93076,"KY"
"145","0500000US42097","Northumberland County","Pennsylvania",91647,"PA"
"146","0500000US01115","St. Clair County","Alabama",91103,"AL"
"147","0500000US55027","Dodge County","Wisconsin",89396,"WI"
"148","0500000US01051","Elmore County","Alabama",87977,"AL"
"149","0500000US01043","Cullman County","Alabama",87866,"AL"
"150","0500000US16005","Bannock County","Idaho",87018,"ID"
"151","0500000US53029","Island County","Washington",86857,"WA"
"152","0500000US39119","Muskingum County","Ohio",86410,"OH"
"153","0500000US44005","Newport County","Rhode Island",85643,"RI"
"154","0500000US42039","Crawford County","Pennsylvania",83938,"PA"
"155","0500000US18067","Howard County","Indiana",83658,"IN"
"156","0500000US28081","Lee County","Mississippi",83343,"MS"
"157","0500000US48099","Coryell County","Texas",83093,"TX"
"158","0500000US22097","St. Landry Parish","Louisiana",82540,"LA"
"159","0500000US21029","Bullitt County","Kentucky",82217,"KY"
"160","0500000US18005","Bartholomew County","Indiana",82208,"IN"
"161","0500000US55071","Manitowoc County","Wisconsin",81359,"WI"
"162","0500000US40145","Wagoner County","Oklahoma",80981,"OK"
"163","0500000US18043","Floyd County","Indiana",80484,"IN"
"164","0500000US18059","Hancock County","Indiana",79840,"IN"
"165","0500000US53007","Chelan County","Washington",79074,"WA"
"166","0500000US53027","Grays Harbor County","Washington",75636,"WA"
"167","0500000US54081","Raleigh County","West Virginia",74591,"WV"
"168","0500000US55141","Wood County","Wisconsin",74207,"WI"
"169","0500000US08014","Broomfield County","Colorado",74112,"CO"
"170","0500000US15007","Kauai County","Hawaii",73298,"HI"
"171","0500000US28075","Lauderdale County","Mississippi",72984,"MS"
"172","0500000US35031","McKinley County","New Mexico",72902,"NM"
"173","0500000US40125","Pottawatomie County","Oklahoma",72454,"OK"
"174","0500000US18109","Morgan County","Indiana",71780,"IN"
"175","0500000US01049","DeKalb County","Alabama",71608,"AL"
"176","0500000US25011","Franklin County","Massachusetts",71029,"MA"
"177","0500000US18011","Boone County","Indiana",70812,"IN"
"178","0500000US21145","McCracken County","Kentucky",67875,"KY"
"179","0500000US05069","Jefferson County","Arkansas",67260,"AR"
"180","0500000US28067","Jones County","Mississippi",67246,"MS"
"181","0500000US17199","Williamson County","Illinois",67153,"IL"
"182","0500000US23003","Aroostook County","Maine",67105,"ME"
"183","0500000US18177","Wayne County","Indiana",66553,"IN"
"184","0500000US40101","Muskogee County","Oklahoma",66339,"OK"
"185","0500000US04001","Apache County","Arizona",66021,"AZ"
"186","0500000US54033","Harrison County","West Virginia",65921,"WV"
"187","0500000US48427","Starr County","Texas",65920,"TX"
"188","0500000US53045","Mason County","Washington",65726,"WA"
"189","0500000US01127","Walker County","Alabama",65342,"AL"
"190","0500000US27027","Clay County","Minnesota",65318,"MN"
"191","0500000US46083","Lincoln County","South Dakota",65161,"SD"
"192","0500000US35005","Chaves County","New Mexico",65157,"NM"
"193","0500000US21199","Pulaski County","Kentucky",65034,"KY"
"194","0500000US34033","Salem County","New Jersey",64837,"NJ"
"195","0500000US42025","Carbon County","Pennsylvania",64749,"PA"
"196","0500000US42037","Columbia County","Pennsylvania",64727,"PA"
"197","0500000US28073","Lamar County","Mississippi",64222,"MS"
"198","0500000US18173","Warrick County","Indiana",63898,"IN"
"199","0500000US33001","Belknap County","New Hampshire",63705,"NH"
"200","0500000US05115","Pope County","Arkansas",63381,"AR"
"201","0500000US40047","Garfield County","Oklahoma",62846,"OK"
"202","0500000US21125","Laurel County","Kentucky",62613,"KY"
"203","0500000US36021","Columbia County","New York",61570,"NY"
"204","0500000US50021","Rutland County","Vermont",60572,"VT"
"205","0500000US42015","Bradford County","Pennsylvania",59967,"PA"
"206","0500000US50023","Washington County","Vermont",59807,"VT"
"207","0500000US29113","Lincoln County","Missouri",59574,"MO"
"208","0500000US01113","Russell County","Alabama",59183,"AL"
"209","0500000US42103","Pike County","Pennsylvania",58535,"PA"
"210","0500000US36077","Otsego County","New York",58524,"NY"
"211","0500000US39087","Lawrence County","Ohio",58240,"OH"
"212","0500000US50027","Windsor County","Vermont",57753,"VT"
"213","0500000US01033","Colbert County","Alabama",57227,"AL"
"214","0500000US21209","Scott County","Kentucky",57155,"KY"
"215","0500000US48199","Hardin County","Texas",56231,"TX"
"216","0500000US45021","Cherokee County","South Carolina",56216,"SC"
"217","0500000US28109","Pearl River County","Mississippi",56145,"MS"
"218","0500000US28071","Lafayette County","Mississippi",55813,"MS"
"219","0500000US06109","Tuolumne County","California",55620,"CA"
"220","0500000US40051","Grady County","Oklahoma",54795,"OK"
"221","0500000US29169","Pulaski County","Missouri",53955,"MO"
"222","0500000US01031","Coffee County","Alabama",53465,"AL"
"223","0500000US47107","McMinn County","Tennessee",53276,"TN"
"224","0500000US21113","Jessamine County","Kentucky",52991,"KY"
"225","0500000US16065","Madison County","Idaho",52913,"ID"
"226","0500000US01071","Jackson County","Alabama",52579,"AL"
"227","0500000US22089","St. Charles Parish","Louisiana",52549,"LA"
"228","0500000US40147","Washington County","Oklahoma",52455,"OK"
"229","0500000US39005","Ashland County","Ohio",52447,"OH"
"230","0500000US28105","Oktibbeha County","Mississippi",51788,"MS"
"231","0500000US22099","St. Martin Parish","Louisiana",51767,"LA"
"232","1600000US1273163","University CDP (Hillsborough County)","Florida",50893,"FL"
"233","0500000US44001","Bristol County","Rhode Island",50793,"RI"
"234","0500000US18029","Dearborn County","Indiana",50679,"IN"
"235","0500000US23025","Somerset County","Maine",50477,"ME"
"236","0500000US48073","Cherokee County","Texas",50412,"TX"
"237","0500000US50011","Franklin County","Vermont",49946,"VT"
"238","0500000US40083","Logan County","Oklahoma",49555,"OK"
"239","0500000US36057","Montgomery County","New York",49532,"NY"
"240","0500000US22101","St. Mary Parish","Louisiana",49406,"LA"
"241","0500000US01045","Dale County","Alabama",49326,"AL"
"242","0500000US18065","Henry County","Indiana",48914,"IN"
"243","0500000US37065","Edgecombe County","North Carolina",48900,"NC"
"244","0500000US35009","Curry County","New Mexico",48430,"NM"
"245","0500000US22061","Lincoln Parish","Louisiana",48396,"LA"
"246","0500000US21019","Boyd County","Kentucky",48261,"KY"
"247","0500000US05035","Crittenden County","Arkansas",48163,"AR"
"248","0500000US40079","Le Flore County","Oklahoma",48129,"OK"
"249","0500000US21211","Shelby County","Kentucky",48065,"KY"
"250","0500000US53075","Whitman County","Washington",47973,"WA"
"251","0500000US36039","Greene County","New York",47931,"NY"
"252","0500000US42009","Bedford County","Pennsylvania",47577,"PA"
"253","0500000US36003","Allegany County","New York",46456,"NY"
"254","0500000US53065","Stevens County","Washington",46445,"WA"
"255","0500000US39091","Logan County","Ohio",46150,"OH"
"256","0500000US18099","Marshall County","Indiana",46095,"IN"
"257","0500000US40013","Bryan County","Oklahoma",46067,"OK"
"258","0500000US28045","Hancock County","Mississippi",46053,"MS"
"259","0500000US50025","Windham County","Vermont",45905,"VT"
"260","0500000US42099","Perry County","Pennsylvania",45842,"PA"
"261","0500000US40113","Osage County","Oklahoma",45818,"OK"
"262","0500000US05055","Greene County","Arkansas",45736,"AR"
"263","0500000US55033","Dunn County","Wisconsin",45440,"WI"
"264","0500000US21107","Hopkins County","Kentucky",45423,"KY"
"265","1600000US1273172","University CDP (Orange County)","Florida",45284,"FL"
"266","0500000US18145","Shelby County","Indiana",45055,"IN"
"267","0500000US01021","Chilton County","Alabama",45014,"AL"
"268","0500000US18093","Lawrence County","Indiana",45011,"IN"
"269","0500000US28151","Washington County","Mississippi",44922,"MS"
"270","0500000US28149","Warren County","Mississippi",44722,"MS"
"271","0500000US29161","Phelps County","Missouri",44638,"MO"
"272","0500000US37111","McDowell County","North Carolina",44578,"NC"
"273","0500000US42065","Jefferson County","Pennsylvania",44492,"PA"
"274","0500000US21009","Barren County","Kentucky",44485,"KY"
"275","0500000US53037","Kittitas County","Washington",44337,"WA"
"276","0500000US55031","Douglas County","Wisconsin",44295,"WI"
"277","0500000US30081","Ravalli County","Montana",44174,"MT"
"278","0500000US40071","Kay County","Oklahoma",43700,"OK"
"279","0500000US18037","Dubois County","Indiana",43637,"IN"
"280","0500000US45025","Chesterfield County","South Carolina",43273,"SC"
"281","0500000US18033","DeKalb County","Indiana",43265,"IN"
"282","0500000US13069","Coffee County","Georgia",43092,"GA"
"283","0500000US29159","Pettis County","Missouri",42980,"MO"
"284","0500000US53017","Douglas County","Washington",42938,"WA"
"285","0500000US29029","Camden County","Missouri",42745,"MO"
"286","0500000US05091","Miller County","Arkansas",42600,"AR"
"287","0500000US48143","Erath County","Texas",42545,"TX"
"288","0500000US39107","Mercer County","Ohio",42528,"OH"
"289","0500000US22095","St. John the Baptist Parish","Louisiana",42477,"LA"
"290","0500000US29023","Butler County","Missouri",42130,"MO"
"291","0500000US53047","Okanogan County","Washington",42104,"WA"
"292","0500000US39027","Clinton County","Ohio",42018,"OH"
"293","0500000US40087","McClain County","Oklahoma",41662,"OK"
"294","0500000US38105","Williams County","North Dakota",40950,"ND"
"295","0500000US05093","Mississippi County","Arkansas",40685,"AR"
"296","1600000US1523150","Kailua CDP (Honolulu County)","Hawaii",40514,"HI"
"297","0500000US18087","LaGrange County","Indiana",40446,"IN"
"298","0500000US42083","McKean County","Pennsylvania",40432,"PA"
"299","0500000US40041","Delaware County","Oklahoma",40397,"OK"
"300","0500000US36073","Orleans County","New York",40343,"NY"
"301","0500000US28113","Pike County","Mississippi",40324,"MS"
"302","1600000US2486475","Woodlawn CDP (Baltimore County)","Maryland",39986,"MD"
"303","0500000US29091","Howell County","Missouri",39750,"MO"
"304","0500000US18061","Harrison County","Indiana",39654,"IN"
"305","0500000US23027","Waldo County","Maine",39607,"ME"
"306","0500000US40135","Sequoyah County","Oklahoma",39281,"OK"
"307","0500000US29225","Webster County","Missouri",39085,"MO"
"308","0500000US05139","Union County","Arkansas",39054,"AR"
"309","0500000US40097","Mayes County","Oklahoma",39046,"OK"
"310","0500000US20037","Crawford County","Kansas",38972,"KS"
"311","0500000US42123","Warren County","Pennsylvania",38587,"PA"
"312","0500000US01047","Dallas County","Alabama",38462,"AL"
"313","0500000US39059","Guernsey County","Ohio",38438,"OH"
"314","0500000US46013","Brown County","South Dakota",38301,"SD"
"315","0500000US39039","Defiance County","Ohio",38286,"OH"
"316","0500000US29201","Scott County","Missouri",38059,"MO"
"317","0500000US29109","Lawrence County","Missouri",38001,"MO"
"318","0500000US18107","Montgomery County","Indiana",37936,"IN"
"319","0500000US18017","Cass County","Indiana",37870,"IN"
"320","0500000US17121","Marion County","Illinois",37729,"IL"
"321","0500000US45071","Newberry County","South Carolina",37719,"SC"
"322","0500000US01039","Covington County","Alabama",37570,"AL"
"323","0500000US22069","Natchitoches Parish","Louisiana",37515,"LA"
"324","0500000US05009","Boone County","Arkansas",37373,"AR"
"325","0500000US50001","Addison County","Vermont",37363,"VT"
"326","0500000US50003","Bennington County","Vermont",37347,"VT"
