"","geo_id","city_town","state.name","population","state.abb"
"1","1600000US4752006","Nashville-Davidson metropolitan government (balance)","Tennessee",689447,"TN"
"2","1600000US2148006","Louisville/Jefferson County metro government (balance)","Kentucky",386884,"KY"
"3","1600000US2255000","New Orleans city","Louisiana",383997,"LA"
"4","1600000US1571550","Urban Honolulu CDP","Hawaii",350964,"HI"
"5","1600000US3451000","Newark city","New Jersey",311549,"NJ"
"6","1600000US2758000","St. Paul city","Minnesota",311527,"MN"
"7","1600000US3611000","Buffalo city","New York",278349,"NY"
"8","1600000US5548000","Madison city","Wisconsin",269840,"WI"
"9","1600000US2148000","Louisville city","Kentucky",246161,"KY"
"10","1600000US5103000","Arlington CDP","Virginia",238643,"VA"
"11","1600000US2205000","Baton Rouge city","Louisiana",227470,"LA"
"12","1600000US3223770","Enterprise CDP","Nevada",221831,"NV"
"13","1600000US3268585","Spring Valley CDP","Nevada",215597,"NV"
"14","1600000US3663000","Rochester city","New York",211328,"NY"
"15","1600000US3271400","Sunrise Manor CDP","Nevada",205618,"NV"
"16","1600000US3254600","Paradise CDP","Nevada",191238,"NV"
"17","1600000US3457000","Paterson city","New Jersey",159732,"NJ"
"18","1600000US2836000","Jackson city","Mississippi",153701,"MS"
"19","1600000US2250115","Metairie CDP","Louisiana",143507,"LA"
"20","1600000US4876000","Waco city","Texas",138486,"TX"
"21","1600000US5335415","Kent city","Washington",136588,"WA"
"22","1600000US1303440","Athens-Clarke County unified government (balance)","Georgia",127315,"GA"
"23","1600000US0620802","East Los Angeles CDP","California",118786,"CA"
"24","1600000US1822000","Evansville city","Indiana",117298,"IN"
"25","1600000US1208150","Brandon CDP","Florida",114626,"FL"
"26","1600000US4872656","The Woodlands CDP","Texas",114436,"TX"
"27","1600000US1239925","Lehigh Acres CDP","Florida",114287,"FL"
"28","1600000US1268350","Spring Hill CDP","Florida",113568,"FL"
"29","1600000US5322640","Everett city","Washington",110629,"WA"
"30","1600000US1260950","Riverview CDP","Florida",107396,"FL"
"31","1600000US5531000","Green Bay city","Wisconsin",107395,"WI"
"32","1600000US2419125","Columbia CDP","Maryland",104681,"MD"
"33","1600000US0836410","Highlands Ranch CDP","Colorado",103444,"CO"
