"","state.abb","county","census_id","id.x","year","category","total_liabilities","bonds_outstanding","current_liabilities","leases","loans_outstanding","notes_outstanding","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","compensated_absences","charges_for_services","operating_grants","capital_grants","general_revenue","change_in_net_position","expenses","total_operating_revenues","non_operating_revenues","capital_contributions","revenues","has_unconfirmed","id.y","state.name","population"
"1","CA","Los Angeles County","5101901900000",31687,2020,"General Purpose",52768946000,2737062000,5617736000,148918000,0,384066000,11560668000,0,25921499000,0,2072486000,8065147000,12174881000,60658000,9153396000,1055567000,28398515000,1281573000,1285000,19356000,29454082000,FALSE,"0500000US06037","California",10014009
"2","IL","Cook County","14101601600000",163748,2020,"General Purpose",21176754633,2823221430,708751691,0,570036750,7521000,13580982590,0,1900989370,0,122331764,3118370000,738219342,138850239,2065761372,405671632,5655529321,2862471563,257597178,44788567,6061200953,FALSE,"0500000US17031","Illinois",5275541
"3","TX","Harris County","44110110100000",38630,2020,"General Purpose",8947139580,4440922478,660408855,0,33287159,554942000,470596852,134778,2733774269,0,48806862,1153495162,278082673,401554423,2304193903,537805272,3599520889,0,0,0,4137326161,FALSE,"0500000US48201","Texas",4731145
"4","AZ","Maricopa County","3100700700000",31617,2020,"General Purpose",2834203888,0,553067960,20783850,31410428,0,1876917812,0,3209316,16637315,0,294561793,392453978,41902995,1770899097,273182882,2226634981,0,0,0,2499817863,FALSE,"0500000US04013","Arizona",4420568
"5","CA","San Diego County","5103703700000",31710,2020,"General Purpose",6570540000,1018893000,945099000,39300000,3201000,0,3790434000,0,106033000,0,128010000,646844000,3066604000,29828000,1562782000,129064000,5176994000,0,0,0,5306058000,FALSE,"0500000US06073","California",3298634
"6","CA","Orange County","5103003000000",31700,2020,"General Purpose",7044193000,620161000,890891000,31702000,387644000,34661000,4125372000,0,328412000,0,184050000,920286000,2505653000,141118000,1234935000,317280000,4484712000,120977000,25629000,0,4801992000,FALSE,"0500000US06059","California",3186989
"7","FL","Miami-Dade County","10101301300000",69702,2020,"General Purpose",27654208000,17236196000,1937708000,431062000,599543000,391345000,4414212000,0,692290000,0,823163000,4294642000,1324932000,445910000,3388422000,-605491000,10059397000,0,0,0,9453906000,FALSE,"0500000US12086","Florida",2701767
"8","TX","Dallas County","44105705700000",38622,2020,"General Purpose",942867000,148618000,285802000,78424000,0,0,156475000,0,228011000,0,40641000,158892000,271858000,0,631682000,43764000,1018668000,0,0,0,1062432000,FALSE,"0500000US48113","Texas",2613539
"9","CA","Riverside County",NA,149444,2020,"General Purpose",8461146000,2205402000,1486004000,371389000,0,84342000,3517404000,0,60350000,143000,279952000,1663165000,2291206000,32808000,1103865000,-854891000,5945935000,631853000,553000,355000,5091044000,FALSE,"0500000US06065","California",2418185
"10","WA","King County","48101701700000",42969,2020,"General Purpose",7102405000,4638440000,890960000,9887000,247287000,0,451611000,76450000,106619000,0,208868000,1862611000,838012000,45614000,2269964000,752995000,4263206000,0,0,0,5016201000,FALSE,"0500000US53033","Washington",2269675
"11","NV","Clark County","29100200200000",82176,2020,"General Purpose",11263235204,5995657382,925452056,2385548,0,5400000,2971365931,0,683532382,0,303849498,1939388464,495664818,324744954,2386433924,375693990,4770538170,0,0,0,5146232160,FALSE,"0500000US32003","Nevada",2265461
"12","CA","San Bernardino County","5103603600000",31709,2020,"General Purpose",4697075000,418164000,855666000,2646000,0,29126000,2236518000,0,8506000,0,244389000,1036006000,2633539000,25018000,1317168000,383389000,4628342000,0,0,0,5011731000,FALSE,"0500000US06071","California",2181654
"13","TX","Tarrant County","44122022000000",38644,2020,"General Purpose",908700000,250717000,186900000,71000,0,0,227323000,0,184230000,0,50367000,145642000,188415000,711000,481689000,99076000,717381000,3249000,28000,0,816457000,FALSE,"0500000US48439","Texas",2110640
"14","TX","Bexar County","44101501500000",38615,2020,"General Purpose",3027051150,1673669329,121104482,0,0,0,117083764,0,216578397,0,50666275,89067688,102280291,94758101,583862696,-4727944,874696720,0,0,0,869968776,FALSE,"0500000US48029","Texas",2009324
"15","FL","Broward County","10100600600000",68695,2020,"General Purpose",7728588000,4337017000,587100000,5348000,346895000,0,1835950000,0,315136000,0,140153000,1227079000,464132000,157655000,1811426000,619609000,3040683000,0,0,0,3660292000,FALSE,"0500000US12011","Florida",1944375
"16","CA","Santa Clara County","5104304200000",31546,2020,"General Purpose",10454942000,2620844000,1698043000,0,0,0,4369993000,1030950000,1193745000,4066000,336638000,2903732000,2145002000,12885000,1990509000,188339000,6863789000,0,0,0,7052128000,FALSE,"0500000US06085","California",1936259
"17","MI","Wayne County","23108208200000",40867,2020,"General Purpose",1812948420,628294866,331168554,0,0,184930000,547323476,0,91675340,0,22332762,198890166,419509926,26214724,440122978,308655710,776082084,0,0,0,1084737794,FALSE,"0500000US26163","Michigan",1793561
"18","CA","Alameda County",NA,149446,2020,"General Purpose",4327169000,1310807000,748101000,1466000,24201000,0,1785396000,0,173413000,0,84391000,654830000,1869783000,8170000,937270000,218092000,3251961000,0,0,0,3470053000,FALSE,"0500000US06001","California",1682353
"19","CA","Sacramento County","5103403400000",31706,2020,"General Purpose",67797303,0,7840107,0,0,0,56085569,0,1320422,0,2551205,0,109425803,0,43278,-6424568,115893649,0,0,0,109469081,FALSE,"0500000US06067","California",1585055
"20","NY","Suffolk County","33105204700000",36008,2020,"General Purpose",12322349989,1674099719,614044114,0,0,717506197,1104493609,0,6901030000,0,511243404,370958588,836537895,62736643,2319472582,10691055,3579014653,0,0,0,3589705708,FALSE,"0500000US36103","New York",1525920
"21","FL","Palm Beach County","10105005000000",32253,2020,"General Purpose",4197746860,863515389,398776095,223293,0,83415643,1867489307,0,447740399,0,210094621,686026585,251373232,55878784,1738472686,-37116294,2768867581,0,0,0,2731751287,FALSE,"0500000US12099","Florida",1492191
"22","FL","Hillsborough County","10102902900000",32237,2020,"General Purpose",3229923000,1094461000,478744000,0,0,128963000,1266841000,0,116670000,0,60996000,661108000,180756000,107509000,1594531000,219427000,2324477000,283150000,20691000,47093000,2543904000,FALSE,"0500000US12057","Florida",1459762
"23","FL","Orange County","10104804800000",32251,2020,"General Purpose",3034626323,1100980207,272763331,2068986,95610751,4275000,1287393180,0,42748723,171947,96177525,558927874,432065880,242654932,1496611587,185147739,2545112534,0,0,0,2730260273,FALSE,"0500000US12095","Florida",1429908
"24","NY","Nassau County","33103002800000",43010,2020,"General Purpose",14455591000,3634275000,831739000,76143000,0,166425000,918259000,0,6311284000,0,465132000,346130000,554990000,175968000,2354108000,-373209000,3804405000,0,0,0,3431196000,FALSE,"0500000US36059","New York",1395774
"25","OH","Franklin County",NA,196354,2020,"General Purpose",1539152000,486677000,119288000,17328000,28307000,4727000,485833000,0,330467000,1265000,64635000,141542000,410845000,18474000,836565000,49388000,1358038000,9253000,8000,4007000,1407426000,FALSE,"0500000US39049","Ohio",1323807
"26","TX","Travis County","44122722700000",38645,2020,"General Purpose",2724331272,1185905970,145211872,32779157,0,0,172394620,0,1125420726,0,42497620,107042374,57490490,26159427,799870344,52793904,937768731,0,0,0,990562635,FALSE,"0500000US48453","Texas",1290188
"27","MN","Hennepin County","24102702700000",34722,2020,"General Purpose",3494379106,1857740095,473163198,0,0,2790460,839268166,0,145819803,0,154141727,1415149958,745244593,56341420,1149648018,-107539260,3473923249,1351533319,157249007,29870414,3366383989,FALSE,"0500000US27053","Minnesota",1281565
