"state","name","category","total_liabilities","bonds_outstanding","compensated_absences","leases","loans_outstanding","net_pension_liability","net_opeb_liability"
"ME","Saint Francis","General Purpose",1124,0,0,0,0,0,0
"CA","Chabot-Las Positas Community College District","Community College District",1165194399,689295509,2832246,0,0,142702000,251576551
"MI","Sterling Heights","General Purpose",502855953,105781838,5146913,0,18860521,195363810,97175962
"GA","Grady County","General Purpose",23374683,20073716,179724,577823,10,1107631,0
"MI","North Muskegon","General Purpose",7910722,2700000,94764,0,0,2088848,1766711
"MN","Battle Lake","General Purpose",6702350,3204692,55524,0,0,626158,0
"CA","Los Rios Community College District","Community College District",1003217971,486120296,22923005,0,0,380682982,0
"AZ","Graham County Community College District","Community College District",31473743,0,2598382,0,0,26295408,0
"AZ","Maricopa County Community College District","Community College District",955043057,337655590,34995626,0,0,485934650,0
"MO","Piedmont","General Purpose",3630121,3475000,11278,0,0,0,0
"MI","Harbor Beach","General Purpose",10003599,5476513,188906,0,0,2966263,1263935
"ME","Lincolnville","General Purpose",2811940,2259380,0,0,0,65466,44231
"OK","Laverne","General Purpose",4040155,0,0,419593,0,0,0
"CA","Palomar Community College District","Community College District",1109025930,839726412,4075277,0,705454,150845469,82327332
"IA","Mitchellville","General Purpose",3492667,2287668,0,0,0,249999,0
"MI","Rollin Township (Lenawee County)","General Purpose",602587,557260,0,0,0,0,0
"PA","Spring Cove School District","School District",55911990,13235000,702597,0,0,34619000,3500000
"FL","St. Lucie County","General Purpose",538311690,143055405,20070076,15969827,0,205203057,59665228
"WA","Toppenish","General Purpose",0,0,0,0,14200446,626850,1685566
"PA","Elk County","General Purpose",5212940,2304269,0,0,0,1982596,0
"LA","Dequincy","General Purpose",6888312,2356973,127820,53636,0,2433742,0
"FL","Margate","General Purpose",180144996,31991015,14058535,396320,0,99518985,19152742
"OK","Osage County Rural Water District No. 5","Special District",297838,0,0,0,0,0,0
"CA","Sierra Joint Community College District","Community College District",322822532,154590292,2178394,1487354,0,98886000,30987145
"MI","Coe Township","General Purpose",203958,0,0,0,0,0,0
"MO","St. Francois County","General Purpose",0,0,0,0,0,23359,0
"IL","Mount Carroll","General Purpose",5491375,0,29862,0,0,78912,0
"MT","Carbon County","General Purpose",5770051,0,542986,0,0,4595671,0
"MI","Oakland Community College","Community College District",277024159,0,3109146,0,0,206528014,43948736
"MI","Kalkaska County","General Purpose",9678979,0,211655,0,0,6711113,882594
"MN","New Brighton","General Purpose",70880039,31777730,1233836,0,0,8316290,964373
"MN","Pelican Rapids","General Purpose",14862770,4069771,46964,493834,0,938300,0
"MO","Sullivan","General Purpose",6534058,3673000,0,0,0,0,0
"MO","Pleasant Hill","General Purpose",8782773,5561723,128803,134851,0,201012,80899
"MA","Brockton","General Purpose",1357046389,165943231,15094113,0,3382997,262884960,847436964
"CO","School District No. 1 in the   City and County of Denver and State of Colorado","School District",3548501249,1758455749,18795396,3259407,0,658844000,54122079
"MN","Clarkfield","General Purpose",7922396,5017298,8017,0,0,293777,0
"FL","Port St. Lucie","General Purpose",847402277,755870213,15291897,528981,0,22989528,11426579
"MO","Troy","General Purpose",8414,0,0,0,0,0,0
"MO","Versailles","General Purpose",717,5291504,15922,2094939,0,0,0
"TN","Brighton","General Purpose",1426751,488662,0,30746,582008,0,0
"MO","Moberly Area Community College","Community College District",20619014,0,0,0,0,16147399,1407302
"MO","Mineral Area College","Community College District",29625990,6859415,595475,5740557,0,12694217,2719920
"MN","Northome","General Purpose",0,0,0,0,44000,107918,0
"MS","Hattiesburg","General Purpose",250268054,127778157,2272702,6859214,0,88433126,11872905
"MN","Monticello","General Purpose",37370589,29686567,401807,0,0,3405420,141276
"MN","White Bear Township","General Purpose",10203428,7738609,170320,0,0,1259046,0
"NJ","County College of Morris","Community College District",32424556,0,1664335,107939,0,20846863,0
"OH","Zane State College","Community College District",24469671,5090000,715358,0,0,13732780,2182332
