state,name,category,total_liabilities,bonds_outstanding,compensated_absences,leases,loans_outstanding,notes_outstanding,pension_debt,opeb_debt,total_revenues,charges_for_services,operating_grants,capital_grants,general_revenue,total_operating_revenues,non_operating_revenues,capital_contributions
FL,Tampa-Hillsborough County Expressway Authority,Special District,919992827,675738483,0,0,0,0,4312517,0,97617385,0,0,0,0,87896561,7911645,1809179
CA,Metropolitan Transportation Commission,Special District,10365512470,9140323768,0,0,0,0,34187728,-2826578,1031829694,688687936,468256919,7328320,-132443481,0,0,0
CT,State of Connecticut Clean Water Fund - Water Pollution Control Authority,Special District,173274342,173274342,0,0,0,0,0,0,14423297,0,0,0,0,3989814,4469758,5963725
CA,Alameda Corridor Transportation Authority,Special District,2225312612,2203738506,0,0,0,0,2116034,-490343,117379321,0,0,0,0,108667797,8711524,0
ME,Maine Municipal Bond Bank,Special District,1831251898,1678316128,0,0,20548164,0,597603,926907,107064116,0,0,0,0,107064116,0,0
MA,Massachusetts Clean Water Trust,Special District,2842574000,2724344000,0,0,0,0,0,0,305190000,0,0,0,0,170049000,135141000,0
IN,Indiana Finance Authority,Special District,5391505866,4110320646,0,0,0,303175074,1618159,0,475808451,375592248,84276719,0,15939484,0,0,0
NC,North Carolina State Education Assistance Authority,Special District,3598146550,879362371,0,0,0,0,1357035,4735285,316428098,0,0,0,0,63148989,253279109,0
CT,West Shore Fire District,Special District,125695793,0,972244,0,0,0,79733392,44607973,10133181,318545,0,0,9814636,0,0,0
OK,Autumn Ridge,Special District,1289521,0,0,0,0,0,0,0,60244,0,0,0,60244,0,0,0
ND,North Dakota Housing Finance Agency,Special District,1394031000,1331980000,320000,0,0,0,2760000,189000,72051000,0,0,0,0,58106000,13945000,0
NM,New Mexico Finance Authority,Special District,1859528603,1438941647,526988,0,410366407,0,0,0,149928097,0,0,0,0,68219692,81708405,0
NM,State of New Mexico Taxation and Revenue Department,Special District,1146009025,0,2456590,0,0,0,0,0,105416214,0,1127212,0,104289002,0,0,0
OH,Ohio Housing Finance Agency,Special District,1808572045,0,0,0,0,0,10786314,7757548,161920499,0,0,0,0,161920499,0,0
LA,City of Gonzales Industrial Development Board,Special District,73191107,49614679,0,0,0,0,0,0,1699927,0,0,0,1699927,0,0,0
CT,Great Pond Improvement District,Special District,9131867,8730654,0,0,0,0,0,0,132164,0,0,0,132164,0,0,0
CT,Harbor Point Infrastructure Improvement District,Special District,158806693,155305420,0,0,0,0,0,0,9524707,0,0,0,9524707,0,0,0
