"abbreviation","name","category","population"
"GA","Grady County","General Purpose",24819
"MI","Harbor Beach","General Purpose",1604
"ME","Lincolnville","General Purpose",2233
"IA","Mitchellville","General Purpose",2303
"MI","Rollin Township (Lenawee County)","General Purpose",3264
"MN","Clarkfield","General Purpose",803
"FL","Port St. Lucie","General Purpose",189344
"MS","Hattiesburg","General Purpose",46377
"MN","Monticello","General Purpose",13599
"MN","White Bear Township","General Purpose",11690
"MI","Otsego Township (Allegan County)","General Purpose",5784
"MN","Benson","General Purpose",3091
"MN","Dayton","General Purpose",5791
"MO","Lake Saint Louis","General Purpose",15936
"MN","Marshall","General Purpose",13710
"MA","Billerica","General Purpose",43962
"MN","Paynesville","General Purpose",2494
"MO","and Country","General Purpose",11115
"MO","Christian County","General Purpose",85432
"MO","Mansfield","General Purpose",1255
"MO","Mosby","General Purpose",198
"MO","Jackson","General Purpose",14932
"MI","Kalamazoo","General Purpose",75807
"MN","Moorhead","General Purpose",43122
"IL","Lockport Township","General Purpose",60158
"MN","Deerwood","General Purpose",521
"IL","McHenry County","General Purpose",309122
"LA","Lake Charles","General Purpose",77117
"MN","Northome","General Purpose",192
"MN","Ada","General Purpose",1620
"MI","Sterling Heights","General Purpose",132631
"MN","Elizabeth Township","General Purpose",822
"MI","North Muskegon","General Purpose",3795
"MN","Battle Lake","General Purpose",918
"OH","Buckskin Township","General Purpose",2092
"OH","Silver Lake","General Purpose",2499
"MO","Piedmont","General Purpose",1951
"OK","Laverne","General Purpose",1380
"FL","St. Lucie County","General Purpose",313506
"PA","Elk County","General Purpose",30197
"LA","Dequincy","General Purpose",3114
"WA","Toppenish","General Purpose",8906
"FL","Margate","General Purpose",58430
"MI","Kalkaska County","General Purpose",17634
"MN","New Brighton","General Purpose",22787
"MN","Pelican Rapids","General Purpose",2466
"MO","Sullivan","General Purpose",7147
"MN","Parkers Prairie Township","General Purpose",349
"MO","Pleasant Hill","General Purpose",8545
"MA","Brockton","General Purpose",95672
"AR","Montgomery County","General Purpose",8919
"AR","Marked Tree","General Purpose",2501
"AR","Star City","General Purpose",2119
"IN","Wabash Township","General Purpose",66680
"MO","St. Francois County","General Purpose",66705
"IL","Mount Carroll","General Purpose",1604
"AR","Trumann","General Purpose",7097
"MT","Carbon County","General Purpose",10696
"MO","Troy","General Purpose",12015
"MO","Versailles","General Purpose",2432
"TN","Brighton","General Purpose",2903
"NJ","Evesham Township","General Purpose",45381
"WI","Green Bay","General Purpose",2129
"NC","Brunswick","General Purpose",981
"MT","Lewis and Clark County","General Purpose",67773
"IL","Wabash County","General Purpose",11489
"MI","Adams Township","General Purpose",2524
"NC","Dobson","General Purpose",1556
"NC","Saratoga","General Purpose",406
"MT","Madison County","General Purpose",8175
"NC","Wilson","General Purpose",49348
"NE","Beaver","General Purpose",577
"NE","Bellevue","General Purpose",53424
"ND","New Town","General Purpose",2528
"NE","Beemer","General Purpose",662
"NE","Brown County","General Purpose",3014
"NE","Cozad","General Purpose",3815
"NC","New Hanover County","General Purpose",227198
"NY","Essex County","General Purpose",37956
"NY","Geneseo","General Purpose",10732
"NH","Bristol","General Purpose",3047
"NM","Dona Ana County","General Purpose",215579
"NY","Watson","General Purpose",1820
"NV","West Wendover","General Purpose",4305
"NY","Cortland County","General Purpose",47786
"NY","Oyster Bay","General Purpose",300385
"PA","Chester County","General Purpose",519293
"NY","Hancock","General Purpose",3026
"NE","Cherry County","General Purpose",5818
"NM","Bernalillo","General Purpose",9638
"TN","Copperhill","General Purpose",318
"OH","Archbold","General Purpose",4305
"CT","Kent","General Purpose",2800
"AR","Blytheville","General Purpose",14051
"KS","Salina","General Purpose",46994
"OH","Clear Creek Township","General Purpose",32849
"OH","Brunswick","General Purpose",34867
"OH","Dover","General Purpose",12766
"OH","Grandview Heights","General Purpose",7778
"MO","Newton County","General Purpose",58290
"OH","Enoch Township","General Purpose",432
"OH","Montgomery","General Purpose",10746
"MI","Bangor Township","General Purpose",2099
"OH","Vinton County","General Purpose",13092
"OH","Manchester","General Purpose",1969
"MN","Golden Valley","General Purpose",21520
"OH","Riley Township","General Purpose",1186
"OH","South Bloomfield Township","General Purpose",1777
"OH","St. Louisville","General Purpose",380
"OH","Hiram Township","General Purpose",2395
"OK","Antlers","General Purpose",2318
"OK","Madill","General Purpose",3931
"OK","Council Hill","General Purpose",151
"OH","Green Township","General Purpose",12052
"OH","Crawford Township","General Purpose",4655
"MI","Wolverine","General Purpose",235
"NJ","Long Branch","General Purpose",30762
"NH","New Castle","General Purpose",979
"NV","North Las Vegas","General Purpose",242975
"OH","Middleburg Heights","General Purpose",15587
"OH","Southington Township","General Purpose",3554
"NY","Saratoga Springs","General Purpose",28027
"OK","Adair","General Purpose",815
"MN","North Township","General Purpose",705
"MI","Bark River Township","General Purpose",1533
"TN","Ramer","General Purpose",317
"OK","Collinsville","General Purpose",6897
"OK","Creek County","General Purpose",71704
"OK","West Siloam Springs","General Purpose",864
"OK","Purcell","General Purpose",6436
"PA","Westmoreland County","General Purpose",352627
"SD","Lemmon","General Purpose",1213
"OK","Tahlequah","General Purpose",16736
"OK","Watts","General Purpose",310
"OR","Cascade Locks","General Purpose",1166
"OR","Myrtle Creek","General Purpose",3475
"OR","Nyssa","General Purpose",3179
"OR","Forest Grove","General Purpose",24141
"OK","Mill Creek","General Purpose",320
"OK","Tushka","General Purpose",305
"CO","Limon","General Purpose",1930
"SC","Greenwood","General Purpose",23262
"SC","Lancaster County","General Purpose",92550
"PA","Chambersburg Borough","General Purpose",20878
"PA","Upper Southampton Township","General Purpose",15052
"PA","Altoona","General Purpose",44098
"SD","Brandon","General Purpose",9957
"SD","Custer","General Purpose",1932
"TN","Lebanon","General Purpose",32226
"TN","Waverly","General Purpose",4090
"SC","Colleton County","General Purpose",37611
"PA","Lower Merion Township","General Purpose",59089
"TX","Cedar Park","General Purpose",75704
"TN","Collierville","General Purpose",50286
"SC","Clarendon County","General Purpose",34057
"FL","Lake Park","General Purpose",8645
"TX","Elmendorf","General Purpose",1945
"IL","Western Springs","General Purpose",13479
"TX","Burleson","General Purpose",46145
"TX","Converse","General Purpose",23375
"TX","Copperas Cove","General Purpose",32706
"TX","Haltom","General Purpose",44417
"TX","Katy","General Purpose",18282
"TX","Keller","General Purpose",47266
"TX","League City","General Purpose",104903
"TX","Lee County","General Purpose",17183
"TX","Missouri City","General Purpose",74497
"TX","Odessa","General Purpose",116861
"TX","Fairview","General Purpose",8950
"TX","Frisco","General Purpose",177286
"TX","Weslaco","General Purpose",40358
"UT","Harrisville","General Purpose",6535
"UT","Bluffdale","General Purpose",13484
"UT","Washington County","General Purpose",165662
"UT","Washington Terrace","General Purpose",9152
