"","state","nces_original_name","gov_unit_original_name","ncesid","censusid","county_nces","student","acfrs_original_name"
"1","IL","A E R O Spec Educ Coop","a e r o special education cooperative","1700024","14501640300000","Cook County","213.00000"," a.e.r.o special education cooperative "
"2","IL","A-C Central CUSD 262","ashland-chandlerville community unit school district 262","1700105","14500920100000","Cass County","395.00000",NA
"3","MN","A.C.G.C. Public School District","a.c.g.c. school district","2700106","24504730100000","Meeker County","865.00000",NA
"4","LA","A.E. Phillips Laboratory School","a.e. phillips laboratory school","2200056","19622000560000","Lincoln Parish","410.00000",NA
"5","SC","Abbeville 60","abbeville county school district","4500690","41500100100000","Abbeville County","2965.00000"," abbeville county school district "
"6","WI","Abbotsford School District","abbotsford school district","5500030","50501050100000","Clark County","747.00000"," abbotsford school district "
"7","TX","ABBOTT ISD","abbott ind sch dist 901","4807380","44510900100000","Hill County","288.00000"," abbott independent school district "
"8","CA","ABC Unified","abc unif school dist","0601620","05501970200000","Los Angeles County","20269.00000"," abc unified school district "
"9","ID","ABERDEEN DISTRICT","aberdeen school district 58","1600030","13500600100000","Bingham County","705.00000"," aberdeen school district 58 "
"10","MS","ABERDEEN SCHOOL DIST","aberdeen school district","2800360","25504800200000","Monroe County","1114.00000"," aberdeen school district "
"11","WA","Aberdeen School District","aberdeen school district 5","5300030","48501400100000","Grays Harbor County","3500.00000"," aberdeen school district no.5 "
"12","SD","Aberdeen School District 06-1","aberdeen school district 6-1","4602070","42500700300000","Brown County","4495.00000"," aberdeen school district 6-1 "
"13","TX","ABERNATHY ISD","abernathy ind sch dist 901","4807410","44509500100000","Hale County","818.00000"," abernathy independent school district "
"14","KS","Abilene","abilene unified school district 435","2003180","17502100100000","Dickinson County","1532.00000"," abilene unified school district no. 435 "
"15","TX","ABILENE ISD","abilene ind sch dist 901","4807440","44522101100000","Taylor County","16612.00000"," abilene independent school district "
"16","IL","Abingdon-Avon CUSD 276","abingdon - avon cusd 276","1701413","14504810100000","Knox County","964.00000",NA
"17","MA","Abington","abington town schs","2501650","22301200130100","Plymouth County","2143.00000",NA
"18","PA","Abington Heights SD","abington hts sch dist","4202010","39503500100000","Lackawanna County","3425.00000","abington heights school district"
"19","PA","Abington SD","abington sch dist","4202040","39504600100000","Montgomery County","8534.00000"," abington school district "
"20","MT","Absarokee Elem","absarokee elem sch dist 52-c","3001710","27504840130100","Stillwater County","127.00000",NA
"21","MT","Absarokee H S","absarokee h s dist 52","3001740","27504840130200","Stillwater County","80.00000",NA
"22","NJ","Absecon Public Schools District","absecon school district","3400660","31500160100000","Atlantic County","908.00000"," absecon board of education "
"23","TX","ACADEMY ISD","academy ind sch dist 901","4807470","44501400100000","Bell County","1723.00000"," academy independent school district "
"24","CO","Academy School District No. 20 in the county of El Paso an","academy school dist 20","0801920","06502102100000","El Paso County","26603.00000",NA
"25","LA","Acadia Parish","acadia parish school district","2200030","19500100100000","Acadia Parish","9739.00000","acadia parish school board"
"26","CA","Acalanes Union High","acalanes union high school dist","0601650","05500700100000","Contra Costa County","5635.00000"," acalanes union high school district "
"27","VA","ACCOMACK CO PBLC SCHS","accomack county school","5100060","47100100130100","Accomack County","5161.00000",NA
"28","TN","Achievement School District","achievement school district","4700147","43000000030100","Davidson County","11169.00000",NA
"29","OK","ACHILLE","achille sch dist 3","4002370","37500700100000","Bryan County","339.00000"," achille school district i-003 "
"30","ME","Acton Public Schools","acton school department","2302220","20301600130100","York County","233.00000",NA
"31","CA","Acton-Agua Dulce Unified","acton-agua dulce unified school district","0600001","05501909400000","Los Angeles County","1042.00000"," acton-agua dulce unified school district "
"32","MA","Acton-Boxborough","acton-boxborough reg sch dist","2501710","22500950100000","Middlesex County","5411.00000",NA
"33","MA","Acushnet","acushnet town schs","2501740","22300300130100","Bristol County","1010.00000",NA
"34","OK","ADA","ada sch dist 19","4002430","37506200100000","Pontotoc County","2564.00000"," ada public schools i- 19 "
"35","OK","ADA","ada sch dist 19","4002430","37506200100000","Pontotoc County","2564.00000"," ada school district no.1-19 "
"36","OH","Ada Exempted Village","ada exempted sch dist","3904518","36503300100000","Hardin County","863.00000"," ada exempted village school district "
"37","MN","ADA-BORUP PUBLIC SCHOOL DISTRICT","ada-borup school district 2854","2700126","24505400100000","Norman County","673.00000",NA
"38","OK","ADAIR","adair sch dist 2","4002460","37504900100000","Mayes County","1069.00000"," adair school district i-2 "
"39","OK","ADAIR","adair sch dist 2","4002460","37504900100000","Mayes County","1069.00000"," adair school district no. i-2 "
"40","MO","ADAIR CO. R-I","adair county school district r 1","2922980","26500103500000","Adair County","225.00000",NA
"41","MO","ADAIR CO. R-II","adair county school district r-2","2905790","26500100300000","Adair County","144.00000",NA
"42","KY","Adair County","adair co sch dist","2100030","18500100100000","Adair County","2763.00000"," adair county school district "
"43","IA","Adair-Casey Comm School District","adair-casey community school district","1903090","16503970100000","Guthrie County","259.00000",NA
"44","IL","Adam/Brwn/Cass/Morgn/Pik/Sctt ROE","adam/brwn/cass/morgn/pik/sctt roe","1700162","14617001620000","Adams County","139.00000",NA
"45","CO","Adams 12 Five Star Schools","adams 12 five star schools district","0806900","06500170100000","Adams County","38707.00000"," adams 12 five star schools "
"46","IN","Adams Central Community Schools","adams central community school district","1800060","15500100100000","Adams County","1304.00000"," adams central community schools "
"47","NE","ADAMS CENTRAL PUBLIC SCHOOLS","adams central sch dist 090","3102770","28500180100000","Adams County","970.00000"," adams central public schools "
"48","NE","ADAMS CENTRAL PUBLIC SCHOOLS","adams central sch dist 090","3102770","28500180100000","Adams County","970.00000"," adams central school district no. 90 "
"49","OH","Adams County Ohio Valley Local","adams county/ohio valley local sch dist","3906190","36500180100000","Adams County","3752.00000"," adams county-ohio valley local school district "
"50","MI","Adams Township School District","adams twp sch dist","2601890","23503100100000","Houghton County","486.00000"," adams schools "
"51","MI","Adams Township School District","adams twp sch dist","2601890","23503100100000","Houghton County","486.00000"," adams township school district "
"52","WI","Adams-Friendship Area School District","adams-friendship school district","5500060","50500100200000","Adams County","1435.00000",NA
"53","NY","ADDISON CENTRAL SCHOOL DISTRICT","addison central sch dist","3602370","33505100100000","Steuben County","1090.00000"," addison central school district "
"54","VT","Addison Central Unified School District","addison central supervisory district","5000402","46500180200000","Addison County","1808.00000",NA
"55","MI","Addison Community Schools","addison comm sch dist","2601920","23504600100000","Lenawee County","806.00000"," addison community schools "
"56","VT","Addison Northwest Unified School District","addison northwest school district","5000398","46500180300000","Addison County","953.00000"," addison northwest school district "
"57","IL","Addison SD 4","addison school district 4","1703150","14502200100000","DuPage County","3843.00000"," addison school district no.4 "
"58","IA","Adel DeSoto Minburn Comm School District","adel-desoto-midburn community school district","1903150","16502500100000","Dallas County","2046.00000",NA
"59","OR","Adel SD 21","adel sch dist 21","4100990","38501900100000","Lake County","12.00000",NA
"60","CA","Adelanto Elementary","adelanto elem sch dist","0601710","05503600100000","San Bernardino County","8208.00000"," adelanto elementary school district "
"61","OH","Adena Local","adena local sch dist","3904949","36507100600000","Ross County","1244.00000"," adena local school district "
"62","NY","ADIRONDACK CENTRAL SCHOOL DISTRICT","adirondack central sch dist","3605040","33503301600000","Oneida County","1212.00000"," adirondack central school district "
"63","IL","Adlai E Stevenson HSD 125","adlai e stevenson district 125","1732580","14504970100000","Lake County","4271.00000"," adlai e.stevenson high school district no. 125 "
"64","WA","Adna School District","adna school district 226","5300060","48502100100000","Lewis County","642.00000"," adna school district no 226 "
"65","TX","ADRIAN ISD","adrian sch dist 903","4807500","44518000100000","Oldham County","128.00000"," adrian independent school district "
"66","MN","ADRIAN PUBLIC SCHOOL DISTRICT","adrian sch dist 511","2702730","24505302300000","Nobles County","568.00000",NA
"67","MI","Adrian Public Schools","adrian city sch dist","2601950","23504600200000","Lenawee County","2863.00000"," adrian public schools "
"68","MO","ADRIAN R-III","adrian sch dist r 3","2902850","26500700100000","Bates County","719.00000",NA
"69","OR","Adrian SD 61","adrian sch dist 61","4101020","38502300100000","Malheur County","292.00000"," adrian school district no.61 "
"70","MO","ADVANCE R-IV","advance sch dist r 4","2902880","26510400100000","Stoddard County","468.00000",NA
