state,nces_original_name,gov_unit_original_name,ncesid,censusid,acfrs_original_name
IL,A E R O Spec Educ Coop,a e r o special education cooperative,1700024,14501640300000, A.E.R.O Special Education Cooperative 
IL,A-C Central CUSD 262,ashland-chandlerville community unit school district 262,1700105,14500920100000,NA
MN,A.C.G.C. Public School District,a.c.g.c. school district,2700106,24504730100000,NA
LA,A.E. Phillips Laboratory School,a.e. phillips laboratory school,2200056,19622000560000,NA
SC,Abbeville 60,abbeville county school district,4500690,41500100100000, Abbeville County School District 
WI,Abbotsford School District,abbotsford school district,5500030,50501050100000, Abbotsford School District 
TX,ABBOTT ISD,abbott ind sch dist 901,4807380,44510900100000, Abbott Independent School District 
CA,ABC Unified,abc unif school dist,0601620,05501970200000, ABC Unified School District 
ID,ABERDEEN DISTRICT,aberdeen school district 58,1600030,13500600100000, Aberdeen School District 58 
MS,ABERDEEN SCHOOL DIST,aberdeen school district,2800360,25504800200000, Aberdeen School District 
WA,Aberdeen School District,aberdeen school district 5,5300030,48501400100000, Aberdeen School District No.5 
SD,Aberdeen School District 06-1,aberdeen school district 6-1,4602070,42500700300000, Aberdeen School District 6-1 
TX,ABERNATHY ISD,abernathy ind sch dist 901,4807410,44509500100000, Abernathy Independent School District 
KS,Abilene,abilene unified school district 435,2003180,17502100100000, Abilene Unified School District No. 435 
TX,ABILENE ISD,abilene ind sch dist 901,4807440,44522101100000, Abilene Independent School District 
IL,Abingdon-Avon CUSD 276,abingdon - avon cusd 276,1701413,14504810100000,NA
MA,Abington,abington town schs,2501650,22301200130100,NA
PA,Abington Heights SD,abington hts sch dist,4202010,39503500100000,NA
PA,Abington SD,abington sch dist,4202040,39504600100000, Abington School District 
MT,Absarokee Elem,absarokee elem sch dist 52-c,3001710,27504840130100,NA
MT,Absarokee H S,absarokee h s dist 52,3001740,27504840130200,NA
NJ,Absecon Public Schools District,absecon school district,3400660,31500160100000, Absecon Board of Education 
TX,ACADEMY ISD,academy ind sch dist 901,4807470,44501400100000, Academy Independent School District 
CO,Academy School District No. 20 in the county of El Paso an,academy school dist 20,0801920,06502102100000,NA
LA,Acadia Parish,acadia parish school district,2200030,19500100100000,NA
CA,Acalanes Union High,acalanes union high school dist,0601650,05500700100000, Acalanes Union High School District 
VA,ACCOMACK CO PBLC SCHS,accomack county school,5100060,47100100130100,NA
TN,Achievement School District,achievement school district,4700147,43000000030100,NA
OK,ACHILLE,achille sch dist 3,4002370,37500700100000, Achille School District I-003 
ME,Acton Public Schools,acton school department,2302220,20301600130100,NA
CA,Acton-Agua Dulce Unified,acton-agua dulce unified school district,0600001,05501909400000, Acton-Agua Dulce Unified School District 
MA,Acton-Boxborough,acton-boxborough reg sch dist,2501710,22500950100000,NA
MA,Acushnet,acushnet town schs,2501740,22300300130100,NA
OK,ADA,ada sch dist 19,4002430,37506200100000, Ada Public Schools I- 19 
OH,Ada Exempted Village,ada exempted sch dist,3904518,36503300100000, Ada Exempted Village School District 
MN,ADA-BORUP PUBLIC SCHOOL DISTRICT,ada-borup school district 2854,2700126,24505400100000,NA
OK,ADAIR,adair sch dist 2,4002460,37504900100000, Adair School District I-2 
MO,ADAIR CO. R-I,adair county school district r 1,2922980,26500103500000,NA
MO,ADAIR CO. R-II,adair county school district r-2,2905790,26500100300000,NA
KY,Adair County,adair co sch dist,2100030,18500100100000, Adair County School District 
IA,Adair-Casey Comm School District,adair-casey community school district,1903090,16503970100000,NA
IL,Adam/Brwn/Cass/Morgn/Pik/Sctt ROE,adam/brwn/cass/morgn/pik/sctt roe,1700162,14617001620000,NA
CO,Adams 12 Five Star Schools,adams 12 five star schools district,0806900,06500170100000, Adams 12 Five Star Schools 
IN,Adams Central Community Schools,adams central community school district,1800060,15500100100000, Adams Central Community Schools 
NE,ADAMS CENTRAL PUBLIC SCHOOLS,adams central sch dist 090,3102770,28500180100000, Adams Central Public Schools 
OH,Adams County Ohio Valley Local,adams county/ohio valley local sch dist,3906190,36500180100000, Adams County-Ohio Valley Local School District 
MI,Adams Township School District,adams twp sch dist,2601890,23503100100000, Adams Schools 
WI,Adams-Friendship Area School District,adams-friendship school district,5500060,50500100200000,NA
NY,ADDISON CENTRAL SCHOOL DISTRICT,addison central sch dist,3602370,33505100100000, Addison Central School District 
VT,Addison Central Unified School District,addison central supervisory district,5000402,46500180200000,NA
MI,Addison Community Schools,addison comm sch dist,2601920,23504600100000, Addison Community Schools 
VT,Addison Northwest Unified School District,addison northwest school district,5000398,46500180300000, Addison Northwest School District 
IL,Addison SD 4,addison school district 4,1703150,14502200100000, Addison School District No.4 
IA,Adel DeSoto Minburn Comm School District,adel-desoto-midburn community school district,1903150,16502500100000,NA
OR,Adel SD 21,adel sch dist 21,4100990,38501900100000,NA
CA,Adelanto Elementary,adelanto elem sch dist,0601710,05503600100000, Adelanto Elementary School District 
OH,Adena Local,adena local sch dist,3904949,36507100600000, Adena Local School District 
NY,ADIRONDACK CENTRAL SCHOOL DISTRICT,adirondack central sch dist,3605040,33503301600000, Adirondack Central School District 
IL,Adlai E Stevenson HSD 125,adlai e stevenson district 125,1732580,14504970100000, Adlai E.Stevenson High School District No. 125 
WA,Adna School District,adna school district 226,5300060,48502100100000, Adna School District No 226 
TX,ADRIAN ISD,adrian sch dist 903,4807500,44518000100000, Adrian Independent School District 
MN,ADRIAN PUBLIC SCHOOL DISTRICT,adrian sch dist 511,2702730,24505302300000,NA
MI,Adrian Public Schools,adrian city sch dist,2601950,23504600200000, Adrian Public Schools 
MO,ADRIAN R-III,adrian sch dist r 3,2902850,26500700100000,NA
OR,Adrian SD 61,adrian sch dist 61,4101020,38502300100000, Adrian School District No.61 
MO,ADVANCE R-IV,advance sch dist r 4,2902880,26510400100000,NA
