state,acfrs_original_name,name
IN, admas central community schools - ecas ,admas central
IN, alexandria community school corporation - ecas ,alexandria
IN, anderson community school corporation - ecas ,anderson
IN, argos community schools - eca ,argos
IN, attica consolidate school corporation - ecas ,attica consolidate
IN, avon community school corporation - ecas ,avon
IN, bartholomew consol school corporation - eca ,bartholomew
IN, baugo community schools - ecas ,baugo
IN, bloomfield school district - ecas ,bloomfield
IN, bremen public schools - ecas ,bremen
IN, brownsburg community school corporation - ecas ,brownsburg
IN, brownstown central comm school corporation-ecas ,brownstown central
IN, carroll consolidated school corporation - ecas ,carroll consolidated
IN, caston school corporation - ecas ,caston
IN, centerville-abington com school corporation ,centerville abington
IN, central noble community schools ,central noble
IN, charles a. beard memorial school corporation ,charles a beard memorial
IN, chas a beard memorial school corporation - ecas ,chas a beard memorial
IN, chas a beard memorial school corporation ,chas a beard memorial
IN, clark-pleasant comm school corporation - ecas ,clark pleasant
IN, clarksville community school corporation - ecas ,clarksville
IN, clay community schools - ecas ,clay
IN, clinton-prairie school corporation ecas ,clinton prairie
IN, community school corporation of southern hancock county ,southern hancock county
IN, concord community schools - ecas ,concord
IN, covington community school corporation - ecas ,covington
IN, cowan community school corporation - ecas ,cowan
IN, crawford county community school corporation-ecas ,crawford county
IN, crawfordsville community school corporation ,crawfordsville
IN, crawfordsville community schools - ecas ,crawfordsville
IN, daleville community schools - ecas ,daleville
IN, danville community school corporation - ecas ,danville
IN, decatur county community schools - ecas ,decatur county
IN, dekalb county central unit school dist - eca ,dekalb county central unit school dist eca
IN, dekalb county east comm school dist - ecas ,dekalb county east comm school dist
IN, delaware community school corporation - ecas ,delaware
IN, dugger union community school corporation ,dugger union
IN, duneland school corporation - ecas ,duneland
IN, east gibson school corporation - ecas ,east gibson
IN, east noble school corporation - ecas ,east noble
IN, east washington school corporation - ecas ,east washington
IN, eastbrook community school corporation - ecas ,eastbrook
IN, eastern hancock county comm school corporation ecas ,eastern hancock county
IN, elwood community school corporation - ecas ,elwood
IN, fairfield community schools - ecas ,fairfield
IN, flat rock-haw creek school corporation ,flat rock haw creek
IN, franklin community school corporation - ecas ,franklin
IN, franklin county community school corporation - ecas ,franklin county
IN, franklin township community school corporation - eca ,franklin township eca
IN, fremont community schools - ecas ,fremont
IN, frontier school corporaton - ecas ,frontier school corporaton
IN, gary community school corporation - ecas ,gary
IN, greensburg community schools - ecas ,greensburg
IN, greenwood community school corporation - ecas ,greenwood
IN, hamilton community schools - ecas ,hamilton
IN, hanover community school corporation - ecas ,hanover
IN, huntington county community school corporation ecas ,huntington county
IN, irvington community school ,irvington community school
IN, jac-cen-del community school corporation - ecas ,jac cen del
IN, jay school corporation - ecas ,jay
IN, jay school corporation ,jay
IN, kankakee valley school corporation - eca ,kankakee valley eca
IN, kankakee valley school corporation ,kankakee valley
IN, kokomo school corporation - ecas ,kokomo
IN, lake central school corporation - ecas ,lake central
IN, lake station community schools - ecas ,lake station
IN, laporte community school corporation - ecas ,laporte
IN, laporte community school corporation ,laporte
