state,nces_original_name,gov_unit_original_name,name,ncesid,censusid
IN,Batesville Community School Corp,batesville community school corporation,batesville,1800390,15506900200000
IN,Benton Community School Corp,benton community school corporation,benton,1800480,15500470100000
IN,Blue River Valley Schools,blue river valley schools,blue river valley schools,1800660,15503300100000
IN,MSD BOONE TOWNSHIP,boone township schools metropolitan school district,boone township schools,1800750,15506400200000
IN,Burris Laboratory School,burris laboratory school,burris laboratory school,1800038,15618000380000
IN,C A Beard Memorial School Corp,c a beard memorial school corporation,c a beard memorial,1801060,15503370100000
IN,Cannelton City Schools,cannelton city schools,cannelton city schools,1801170,15506200200000
IN,Center Grove Community School Corp,center grove community school corporation,center grove,1801440,15504170100000
IN,Clinton Central School Corporation,clinton central school corporation,clinton central,1802130,15501250100000
IN,Cloverdale Community Schools,cloverdale community schools,cloverdale,1802220,15506700200000
IN,Crothersville Community Schools,crothersville community schools,crothersville,1812060,15503601000000
IN,Crown Point Community School Corp,crown point community school corporation,crown point,1802490,15504500400000
IN,Culver Community Schools Corp,culver community school corporation,culver,1802520,15505070100000
IN,MSD DECATUR TOWNSHIP,decatur township metropolitan school district,decatur township,1802640,15504900300000
IN,Delphi Community School Corp,delphi community school corporation,delphi,1802700,15500800500000
IN,East Porter County School Corp,east porter county school corporation,east porter,1809000,15506400800000
IN,Eastern Pulaski Community Sch Corp,eastern pulaski community school corporation,eastern pulaski,1807110,15506650100000
IN,Edinburgh Community School Corp,edinburgh community school corporation,edinburgh,1803240,15504100300000
IN,Elkhart Community Schools,elkhart community schools,elkhart,1803270,15502000600000
IN,Eminence Community School Corp,eminence consolidated school corporation,eminence,1803330,15505500100000
IN,Fayette County School Corporation,fayette county consolidated school corporation,fayette,1803510,15502170100000
IN,Community Schools of Frankfort,community schools of frankfort,frankfort,1803660,15501200300000
IN,Greater Clark County Schools,greater clark county school district,greater clark,1803940,15501000600000
IN,Greater Jasper Consolidated Schs,greater jasper consolidated schools,greater jasper,1803960,15501900900000
IN,Greencastle Community School Corp,greencastle community schools,greencastle,1803990,15506700500000
IN,Greenfield-Central Com Schools,greenfield-central community schools,greenfield central,1804050,15503000500000
IN,Griffith Public Schools,griffith public schools,griffith,1804170,15504500900000
IN,School City of Hammond,hammond city schools,hammond city schools,1804320,15504501000000
IN,School Town of Highland,highland school town,highland school town,1804560,15504501200000
IN,School City of Hobart,hobart schools,hobart schools,1804590,15504501300000
IN,IN Sch for the Blind & Vis Imprd,in sch for the blind & vis imprd,in sch for the blind vis imprd,1800023,15618000230000
IN,Indiana Academy for Sci Math Hmn,indiana academy for sci math hmn,indiana academy for sci math hmn,1800041,15618000410000
IN,Indiana Department of Correction,indiana department of correction,indiana department of correction,1800006,15618000060000
IN,Indiana School For The Deaf,indiana school for the deaf,indiana school for the deaf,1800024,15618000240000
IN,Jennings County School Corporation,jennings county school corporatn,jennings school corporatn,1805190,15504070100000
IN,John Glenn School Corporation,john glenn school corporation,john glenn,1809120,15507180100000
IN,Kankakee Valley School Corp,kankakee valeey school corporatn,kankakee valeey school corporatn,1805280,15503700600000
IN,LaPorte Community School Corp,la porte community school corporation,la porte,1805580,15504601200000
IN,Lafayette School Corporation,lafayette school corporation,lafayette,1805400,15507900200000
