state,county,year,category,total_liabilities,bonds_outstanding,current_liabilities,leases,loans_outstanding,notes_outstanding,net_pension_liability,net_pension_assets,net_opeb_liability,net_opeb_assets,compensated_absences,charges_for_services,operating_grants,capital_grants,general_revenue,change_in_net_position,expenses,total_operating_revenues,non_operating_revenues,capital_contributions,revenues,student
CA,Los Angeles County,2020,General Purpose,52768946000,2737062000,5617736000,148918000,0,384066000,11560668000,0,25921499000,0,2072486000,8065147000,12174881000,60658000,9153396000,1055567000,28398515000,1281573000,1285000,19356000,29454082000,1025446
TX,Harris County,2020,General Purpose,8947139580,4440922478,660408855,0,33287159,554942000,470596852,134778,2733774269,0,48806862,1153495162,278082673,401554423,2304193903,537805272,3599520889,0,0,0,4137326161,790935
CA,Orange County,2020,General Purpose,7044193000,620161000,890891000,31702000,387644000,34661000,4125372000,0,328412000,0,184050000,920286000,2505653000,141118000,1234935000,317280000,4484712000,120977000,25629000,0,4801992000,612604
FL,Orange County,2020,General Purpose,3034626323,1100980207,272763331,2068986,95610751,4275000,1287393180,0,42748723,171947,96177525,558927874,432065880,242654932,1496611587,185147739,2545112534,0,0,0,2730260273,612604
NC,Orange County,2020,General Purpose,521956039,141452563,20987117,0,813074,183306576,25520248,0,137190344,0,5550246,29177473,28718495,1256036,206861903,-53735079,319748986,0,0,0,266013907,612604
AZ,Maricopa County,2020,General Purpose,2834203888,0,553067960,20783850,31410428,0,1876917812,0,3209316,16637315,0,294561793,392453978,41902995,1770899097,273182882,2226634981,0,0,0,2499817863,480523
IA,Dallas County,2020,General Purpose,41463401,0,5221357,0,0,25455000,7475146,0,1688633,0,1530254,5300519,7241181,628208,35136561,7508695,40797774,0,0,0,48306469,454047
TX,Dallas County,2020,General Purpose,942867000,148618000,285802000,78424000,0,0,156475000,0,228011000,0,40641000,158892000,271858000,0,631682000,43764000,1018668000,0,0,0,1062432000,454047
IL,Cook County,2020,General Purpose,21176754633,2823221430,708751691,0,570036750,7521000,13580982590,0,1900989370,0,122331764,3118370000,738219342,138850239,2065761372,405671632,5655529321,2862471563,257597178,44788567,6061200953,409324
WA,Clark County,2020,General Purpose,217443583,64728814,41922062,4296328,13541052,0,34594809,9542131,25493325,0,15874101,107729232,110457476,33381791,209908352,125012081,336464770,7482984,558520,5903328,461476851,400876
NV,Clark County,2020,General Purpose,11263235204,5995657382,925452056,2385548,0,5400000,2971365931,0,683532382,0,303849498,1939388464,495664818,324744954,2386433924,375693990,4770538170,0,0,0,5146232160,400876
CA,Riverside County,2020,General Purpose,8461146000,2205402000,1486004000,371389000,0,84342000,3517404000,0,60350000,143000,279952000,1663165000,2291206000,32808000,1103865000,-854891000,5945935000,631853000,553000,355000,5091044000,387664
TN,Montgomery County,2020,General Purpose,351787448,285204759,6581156,13668505,7857894,7500000,0,4503133,21607460,0,4011096,78389329,9034081,6104352,143889802,30364629,207052935,0,0,0,237417564,359460
VA,Montgomery County,2020,General Purpose,218721352,172159920,24144928,0,500000,0,13083603,0,4227912,0,3488758,2944149,14789956,0,121110826,15299922,123545009,0,0,0,138844931,359460
OH,Montgomery County,2020,General Purpose,707900209,9722733,54779689,56667975,2715165,0,275674018,3069266,192563183,0,29766231,236852454,251124322,20289089,310255033,46064773,772456125,15826786,872431,0,818520898,359460
MD,Montgomery County,2020,General Purpose,6415638072,3588542269,808532471,2820000,0,604379284,106518934,0,825636740,0,92651456,739082234,259057362,71022023,4013545791,241377004,4841330406,0,0,0,5082707410,359460
TX,Montgomery County,2020,General Purpose,1112577123,648766931,150264813,10674041,0,0,24066035,0,253594793,0,15389794,143370975,81513686,65784276,265488545,12055257,544102225,0,0,0,556157482,359460
FL,Miami-Dade County,2020,General Purpose,27654208000,17236196000,1937708000,431062000,599543000,391345000,4414212000,0,692290000,0,823163000,4294642000,1324932000,445910000,3388422000,-605491000,10059397000,0,0,0,9453906000,347307
CA,San Diego County,2020,General Purpose,6570540000,1018893000,945099000,39300000,3201000,0,3790434000,0,106033000,0,128010000,646844000,3066604000,29828000,1562782000,129064000,5176994000,0,0,0,5306058000,343619
TX,Tarrant County,2020,General Purpose,908700000,250717000,186900000,71000,0,0,227323000,0,184230000,0,50367000,145642000,188415000,711000,481689000,99076000,717381000,3249000,28000,0,816457000,312005
CA,San Bernardino County,2020,General Purpose,4697075000,418164000,855666000,2646000,0,29126000,2236518000,0,8506000,0,244389000,1036006000,2633539000,25018000,1317168000,383389000,4628342000,0,0,0,5011731000,307409
CO,Jefferson County,2020,General Purpose,131834800,19169482,31926606,3236541,1839231,0,0,0,0,0,24568367,50010865,169323635,2488613,298411949,66208342,454026720,0,0,0,520235062,287060
AL,Jefferson County,2020,General Purpose,2965742000,0,191938000,8537000,0,2518608000,0,142088000,119964000,0,22339000,260979000,96682000,21483000,410070000,-14643000,803857000,0,0,0,789214000,287060
TX,Jefferson County,2020,General Purpose,382571796,38472633,13439960,0,0,0,52224482,0,262909828,0,12000201,29135440,19897011,1643237,124392527,-4055864,179124079,0,0,0,175068215,287060
TX,Bexar County,2020,General Purpose,3027051150,1673669329,121104482,0,0,0,117083764,0,216578397,0,50666275,89067688,102280291,94758101,583862696,-4727944,874696720,0,0,0,869968776,282244
FL,Broward County,2020,General Purpose,7728588000,4337017000,587100000,5348000,346895000,0,1835950000,0,315136000,0,140153000,1227079000,464132000,157655000,1811426000,619609000,3040683000,0,0,0,3660292000,269172
FL,Hillsborough County,2020,General Purpose,3229923000,1094461000,478744000,0,0,128963000,1266841000,0,116670000,0,60996000,661108000,180756000,107509000,1594531000,219427000,2324477000,283150000,20691000,47093000,2543904000,247642
TX,El Paso County,2020,General Purpose,422205749,165054091,51725969,0,4041146,0,108703516,0,48906739,0,36103511,57505746,39098782,699560,285012985,-1000356,383317429,0,0,0,382317073,242554
CO,El Paso County,2020,General Purpose,802181693,0,36876174,2986553,0,0,485244387,0,138991599,0,18442054,42054543,222571602,62341385,216814711,14710704,529071537,0,0,0,543782241,242554
CA,Sacramento County,2020,General Purpose,67797303,0,7840107,0,0,0,56085569,0,1320422,0,2551205,0,109425803,0,43278,-6424568,115893649,0,0,0,109469081,205341
IN,Marion County,2020,General Purpose,873586220,0,23965076,705790781,0,1973352,114023647,0,15112759,0,9518978,58636318,47732009,0,242586009,2852747,346101589,0,0,0,348954336,205217
OR,Marion County,2020,General Purpose,256802975,0,16820757,0,0,349654,142395975,0,21345426,0,5452942,73397298,84731068,10726228,86821495,-6206510,261882599,0,0,0,255676089,205217
FL,Marion County,2020,General Purpose,551034261,88445232,49187160,0,0,19346501,317040864,0,20909282,0,22261063,142771183,46730120,32948891,268451792,59263938,431638048,0,0,0,490901986,205217
TX,Fort Bend County,2020,General Purpose,1449434641,620942114,155833372,439067,0,2259978,47941506,0,597396893,0,16744995,57318426,96213885,258608324,347722213,155803954,604058894,0,0,0,759862848,196335
TX,Collin County,2020,General Purpose,665516189,537131000,116609392,0,0,0,0,32523900,0,0,9374000,52572536,119249345,6652043,273398852,71754044,380118732,0,0,0,451872776,195922
FL,Palm Beach County,2020,General Purpose,4197746860,863515389,398776095,223293,0,83415643,1867489307,0,447740399,0,210094621,686026585,251373232,55878784,1738472686,-37116294,2768867581,0,0,0,2731751287,194675
NE,Douglas County,2020,General Purpose,487154430,71179614,166713502,0,0,0,180046767,0,47804755,0,13580702,105448620,81550951,10337445,186144569,59093202,324388383,0,0,0,383481585,193613
CO,Douglas County,2020,General Purpose,75415483,5855000,60394586,0,0,0,0,0,0,0,9165897,61814471,83469719,25369065,264724793,31849455,403528593,0,0,0,435378048,193613
GA,Douglas County,2020,General Purpose,213077017,20887352,6902518,0,0,0,57415331,0,111884828,0,7231800,18358676,14758273,5043915,131145572,29304006,140002430,0,0,0,169306436,193613
VA,Fairfax County,2020,General Purpose,7213251402,3890750316,602285356,7525762,0,439073057,1838029525,0,136090113,0,153611412,917274574,346819376,43324953,4177009292,-48831469,5533259664,0,0,0,5484428195,188887
MD,Washington County,2020,General Purpose,374142656,188747069,34726598,384783,10165696,0,118758533,0,0,10931012,4148204,31316383,12531550,19062245,248282090,11908774,299283494,0,0,0,311192268,186542
MN,Washington County,2020,General Purpose,398150946,132138789,26196678,0,995401,0,74377089,0,152802376,0,11640613,32994235,99074060,6637810,172262377,56905371,254063111,0,0,0,310968482,186542
OR,Washington County,2020,General Purpose,741441000,70630000,192488000,0,141710000,5162000,278895000,0,6484000,2660000,12489000,111253000,205850000,16564000,270749000,-3555000,607971000,0,0,0,604416000,186542
UT,Washington County,2020,General Purpose,35868151,13715537,5847593,4190727,0,0,10307124,0,0,0,1807170,21803717,28838987,4432016,57841396,23366972,89549144,0,0,0,112916116,186542
UT,Salt Lake County,2020,General Purpose,958229946,504958525,163875936,4745498,0,70682811,75995899,0,95202533,0,28954974,226374240,304283063,2987822,799342870,104083513,1228904482,0,0,0,1332987995,181745
GA,Gwinnett County,2020,General Purpose,1455596,701609,201771,150123,0,31352,213317,0,39204,0,37518,512892,186765,131845,865861,371828,1325535,0,0,0,1697363,180589
NC,Wake County,2020,General Purpose,3533852433,2384388875,289701442,32305,0,275320595,115220710,1917781,415753783,0,16515621,115235949,130757498,0,1443608747,-22507974,1712110168,0,0,0,1689602194,163404
NC,Mecklenburg County,2020,General Purpose,2678783023,1500448673,237829916,3151120,207024045,0,137831581,1320744,514883109,0,36921453,171632573,160843787,866417,1536148056,5871750,1863619083,0,0,0,1869490833,149845
FL,Polk County,2020,General Purpose,1366570778,240683017,167107092,0,0,82482000,519641860,0,198094593,0,19968755,316787091,104462284,32880703,518042395,19269411,952903062,0,0,0,972172473,148748
IA,Polk County,2020,General Purpose,389072123,248620730,21765263,1056235,0,23131000,49746611,0,14647000,0,19007684,83970538,22171974,8304284,207649048,21382861,300712983,0,0,0,322095844,148748
GA,Fulton County,2020,General Purpose,3257955000,1019637000,98554000,50536000,0,0,333578000,0,1675472000,0,47787000,228532000,165492000,6001000,734472000,27481000,1107016000,0,0,0,1134497000,146313
TX,Williamson County,2020,General Purpose,1352794743,1139091150,92763816,0,0,0,55619549,0,59226881,0,6093347,53133045,64303593,49873724,339921021,117889430,389341953,0,0,0,507231383,145881
TN,Williamson County,2020,General Purpose,905617619,806434456,10341815,252214,0,0,0,244375,75435511,0,4376482,100597294,37733596,1794407,178312715,-26856614,345294626,0,0,0,318438012,145881
CA,Alameda County,2020,General Purpose,4327169000,1310807000,748101000,1466000,24201000,0,1785396000,0,173413000,0,84391000,654830000,1869783000,8170000,937270000,218092000,3251961000,0,0,0,3470053000,143609
CA,Fresno County,2020,General Purpose,2161228000,356601000,257422000,2805000,278550000,0,1054510000,0,0,0,53630000,122215000,961220000,0,673796000,69499000,1687732000,0,0,0,1757231000,143401
CA,Santa Clara County,2020,General Purpose,10454942000,2620844000,1698043000,0,0,0,4369993000,1030950000,1193745000,4066000,336638000,2903732000,2145002000,12885000,1990509000,188339000,6863789000,0,0,0,7052128000,138115
