acfrs_original_name,id,year,total_liabilities,bonds_outstanding,current_liabilities,leases,loans_outstanding,notes_outstanding,net_pension_liability,net_pension_assets,net_opeb_liability,net_opeb_assets,compensated_absences,charges_for_services,operating_grants,capital_grants,general_revenue,change_in_net_position,expenses,total_operating_revenues,non_operating_revenues,capital_contributions,revenues,name,ratio,ratio_group,state,NCES District ID,nces_original_name,county,student
Los Angeles Unified School District,146329,2020,29653109000,11408196000,1251049000,186000,80000,0,7446273000,0,8578152000,0,90595000,152432000,1958995000,78582000,6934791000,-195267000,9320067000,0,0,0,9124800000,los angeles unified,3.249727007715238,1 - 5%,California,0622710,Los Angeles Unified,Los Angeles County,483234
Chicago Board of Education,198265,2020,27536280000,8828829000,1138117000,525000,0,500000000,14127342000,0,2554892000,0,0,2260000,1612177000,18307000,5320734000,-1080796000,8034274000,0,0,0,6953478000,chicago board of education,3.960072930409789,1 - 5%,Illinois,1709930,City of Chicago SD 299,Cook County,347484
The School Board of Miami-Dade County,32380,2020,6325737000,935644000,332872000,40357000,0,0,1948945000,0,201343000,0,328950000,36131000,951699000,74392000,3057788000,-194360000,4314370000,0,0,0,4120010000,miami-dade,1.5353693316278358,1 - 5%,Florida,1200390,MIAMI-DADE,Miami-Dade County,347307
Clark County School District,35528,2020,7278369954,3227434770,464414104,0,0,0,3186524832,0,281606000,0,69731754,72448329,798165000,1644531,2875822590,215787419,3532293031,6455531,127176168,296346,3748080450,clark,1.9418926704201347,1 - 5%,Nevada,3200060,CLARK COUNTY SCHOOL DISTRICT,Clark County,328991
Puerto Rico Department of Education,87610,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2202553572,-18765544,2221319116,0,0,0,2202553572,puerto rico department of education,0, Below 1%,NA,7200030,PUERTO RICO DEPARTMENT OF EDUCATION,San Juan Municipio,292518
The School Board of Broward County,93794,2020,4251168000,527029000,387059000,89593000,0,0,1419517000,0,216322000,0,188261000,41665000,682503000,53091000,2263791000,-91343000,3132393000,0,0,0,3041050000,broward,1.3979276894493677,1 - 5%,Florida,1200180,BROWARD,Broward County,269172
The School District of Hillsborough County,32396,2020,2502458869,147500176,130855672,0,0,0,1166977434,0,208572211,0,197641637,40662832,95815218,8532487,2306365149,-15240452,2466616138,0,0,0,2451375686,hillsborough,1.0208385778205031,1 - 5%,Florida,1200870,HILLSBOROUGH,Hillsborough County,223305
Houston Independent School District,38988,2020,4918438580,2866660263,441644690,52603995,0,178925000,594268532,0,716497750,0,50540164,7801272,656933298,0,2216415982,173814549,2707336003,0,0,0,2881150552,houston,1.7071091882323823,1 - 5%,Texas,4823640,HOUSTON ISD,Harris County,210061
Orange County District School Board,102323,2020,2680621894,572000,200205542,1101976781,0,0,1128084763,0,58851299,0,130124266,19241818,97139093,74155618,2486382757,157979125,2518940161,0,0,0,2676919286,orange,1.001383160119681,1 - 5%,Florida,1201440,ORANGE,Orange County,208875
The School District of Palm Beach County,32416,2020,3401701000,6498000,193035000,0,26832000,115000000,1151170000,0,199429000,0,212428000,42101000,556919000,23005000,1929736000,-17184000,2568945000,300255000,3603000,0,2551761000,palm beach,1.3330797829420544,1 - 5%,Florida,1201500,PALM BEACH,Palm Beach County,194675
