"","state","acfrs_original_name","id","NCES District ID","nces_original_name","student"
"1","CA","Los Angeles Unified School District",146329,"0622710","Los Angeles Unified",483234
"2","FL","The School Board of Miami-Dade County",32380,"1200390","MIAMI-DADE",347307
"3","NV","Clark County School District",35528,"3200060","CLARK COUNTY SCHOOL DISTRICT",328991
"4","PR","Puerto Rico Department of Education",87610,"7200030","PUERTO RICO DEPARTMENT OF EDUCATION",292518
"5","FL","The School Board of Broward County",93794,"1200180","BROWARD",269172
"6","FL","The School District of Hillsborough County",32396,"1200870","HILLSBOROUGH",223305
"7","TX","Houston Independent School District",38988,"4823640","HOUSTON ISD",210061
"8","FL","Orange County District School Board",102323,"1201440","ORANGE",208875
"9","FL","The School District of Palm Beach County",32416,"1201500","PALM BEACH",194675
"10","FL","Palm Beach District School Board",93789,"1201500","PALM BEACH",194675
"11","VA","Fairfax County Public Schools",88704,"5101260","FAIRFAX CO PBLC SCHS",188887
"12","HI","Hawaii Department of Education",71050,"1500030","Hawaii Department of Education",181088
"13","GA","Gwinnett County Board of Education",70981,"1302550","Gwinnett County",180589
"14","MD","Montgomery County Public Schools",33968,"2400480","Montgomery County Public Schools",165267
"15","NC","Wake County Board of Education",36675,"3704720","Wake County Schools",163404
"16","TX","Dallas Independent School District",38892,"4816230","DALLAS ISD",153861
"17","NC","Charlotte-Mecklenburg Board of Education",36608,"3702970","Charlotte-Mecklenburg Schools",149845
"18","MD","Prince George’s County Public Schools",189873,"2400510","Prince George's County Public Schools",135952
"19","PA","School District of Philadelphia",87525,"4218990","Philadelphia City SD",130617
"20","FL","Duval County Public Schools",148093,"1200480","DUVAL",130279
"21","TX","Cypress-Fairbanks Independent School District",38984,"4816110","CYPRESS-FAIRBANKS ISD",117446
"22","MD","Board of Education of Baltimore County-Public Schools",171323,"2400120","Baltimore County Public Schools",115038
"23","TN","Board of Education of Shelby County",91458,"4700148","Shelby County",113198
"24","GA","Cobb County School District",70971,"1301290","Cobb County",112097
"25","TX","Northside Independent School District",38820,"4833120","NORTHSIDE ISD",107817
"26","FL","School District of Polk County",98989,"1201590","POLK",102952
"27","CA","San Diego Unified School District",146593,"0634320","San Diego Unified",102270
"28","KY","Jefferson County Board of Education",33679,"2102990","Jefferson County",100348
"29","FL","District School Board of Pinellas County",69989,"1201560","PINELLAS",99772
"30","GA","Dekalb County Board of Education",105280,"1301740","DeKalb County",98800
"31","FL","The School District of Lee County",32402,"1201080","LEE",95613
"32","GA","Fulton County Board of Education",70979,"1302280","Fulton County",93897
"33","VA","Prince William County Public Schools",197665,"5103130","PRINCE WILLIAM CO PBLC SCHS",92237
"34","NM","Albuquerque Municipal School District No. 12",35931,"3500060","ALBUQUERQUE PUBLIC SCHOOLS",88312
"35","MD","Anne Arundel County Board of Education",41282,"2400060","Anne Arundel County Public Schools",84984
"36","CO","Jefferson County School District No R-1",32057,"0804800","Jefferson County School District No. R-1",84078
"37","VA","Loudoun County Public Schools",197654,"5102250","LOUDOUN CO PBLC SCHS",83606
"38","UT","Alpine School District",39330,"4900030","Alpine District",83540
"39","TX","Katy Independent School District",38990,"4825170","KATY ISD",83423
"40","TX","Fort Worth Independent School District",39194,"4819700","FORT WORTH ISD",82891
"41","TX","Austin Independent School District",39211,"4808940","AUSTIN ISD",80911
"42","MD","Baltimore City Public School System",44313,"2400090","Baltimore City Public Schools",79187
"43","TX","Fort Bend Independent School District",38940,"4819650","FORT BEND ISD",77756
"44","SC","The School District of Greenville County",38341,"4502310","Greenville 01",77302
"45","FL","Pasco County District School Board",148148,"1201530","PASCO",76661
"46","UT","Davis School District",39313,"4900210","Davis District",74773
"47","WI","Milwaukee Public Schools",40012,"5509600","Milwaukee School District",74683
"48","FL","Brevard District School Board County",93779,"1200150","BREVARD",73962
"49","NC","Guilford County Board of Education",36571,"3701920","Guilford County Schools",72682
"50","CA","Long Beach Unified School District",146325,"0622500","Long Beach Unified",71712
"51","CA","Fresno Unified School District",146154,"0614550","Fresno Unified",71265
"52","FL","Osceola County District School Board",198253,"1201470","OSCEOLA",69925
"53","FL","District School Board of Seminole County",32425,"1201710","SEMINOLE",68096
"54","NV","Washoe County School District",35535,"3200480","WASHOE COUNTY SCHOOL DISTRICT",67301
"55","TX","Aldine Independent School District",38981,"4807710","ALDINE ISD",67259
"56","UT","Granite School District",39321,"4900360","Granite District",66276
"57","TX","Conroe Independent School District",39105,"4815000","CONROE ISD",64799
"58","TX","North East Independent School District",38819,"4832940","NORTH EAST ISD",64539
"59","CA","Elk Grove Unified School District",146106,"0612330","Elk Grove Unified",63660
"60","FL","Volusia County District School Board",70626,"1201920","VOLUSIA",63009
"61","TX","Frisco Independent School District",38875,"4820010","FRISCO ISD",62705
"62","TX","Arlington Independent School District",39189,"4808700","ARLINGTON ISD",59532
"63","MD","Howard County Board of Education",41713,"2400420","Howard County Public Schools",58868
"64","UT","Jordan School District",39322,"4900420","Jordan District",57771
"65","WA","Seattle School District No.1",39643,"5307710","Seattle School District No. 1",55986
"66","TX","Garland Independent School District",38895,"4820340","GARLAND ISD",55701
"67","TX","El Paso Independent School District",38929,"4818300","EL PASO ISD",55253
"68","TX","Klein Independent School District",38991,"4825740","KLEIN ISD",54096
"69","TX","Pasadena Independent School District",38993,"4834320","PASADENA ISD",52878
"70","CA","San Francisco Unified School District",146595,"0634410","San Francisco Unified",52811
"71","TX","Plano Independent School District",38877,"4835100","PLANO ISD",52629
"72","CA","Corona-Norco Unified School District",146048,"0609850","Corona-Norco Unified",52557
"73","GA","School District Atlanta Public Schools",70961,"1300120","Atlanta Public Schools",52416
"74","TX","Lewisville Independent School District",38905,"4827300","LEWISVILLE ISD",52189
"75","TX","Round Rock Independent School District",39253,"4838080","ROUND ROCK ISD",50953
"76","NC","Cumberland County Board of Education",36539,"3700011","Cumberland County Schools",50750
"77","GA","Forsyth County Board of Education",32567,"1302220","Forsyth County",50544
"78","SC","Charleston County School District",43341,"4501440","Charleston 01",50299
"79","FL","Manatee County District School Board",148130,"1201230","MANATEE",50088
"80","LA","Jefferson Parish Public School System",76062,"2200840","Jefferson Parish",49862
"81","OH","Columbus City School District",37083,"3904380","Columbus City School District",48759
"82","CA","San Bernardino City Unified School District",31398,"0634170","San Bernardino City Unified",48755
"83","TX","San Antonio Independent School District",38823,"4838730","SAN ANTONIO ISD",48532
"84","FL","Collier County District School Board",32378,"1200330","COLLIER",47834
"85","TX","Socorro Independent School District",38923,"4840710","SOCORRO ISD",47575
"86","CA","Capistrano Unified School District",145992,"0607440","Capistrano Unified",46501
"87","AK","Anchorage School District",40425,"0200180","Anchorage School District",46143
"88","CA","Santa Ana Unified School District",146617,"0635310","Santa Ana Unified",45576
"89","TX","Killeen Independent School District",38810,"4825660","KILLEEN ISD",45336
"90","TX","Alief Independent School District",38982,"4807830","ALIEF ISD",45300
"91","TX","Humble Independent School District",44074,"4823910","HUMBLE ISD",45078
"92","FL","Lake County District School Board",69471,"1201050","LAKE",44793
"93","FL","District School Board of Lake County",196471,"1201050","LAKE",44793
"94","MD","Frederick County Public Schools",189882,"2400330","Frederick County Public Schools",43828
"95","CA","Clovis Unified School District",146030,"0609030","Clovis Unified",43654
"96","FL","St. Johns County School District",189129,"1201740","ST. JOHNS",43628
"97","FL","St. Johns County District School Board",196484,"1201740","ST. JOHNS",43628
"98","FL","Sarasota County District School Board",70160,"1201680","SARASOTA",43485
"99","KY","Fayette County Public Schools",33654,"2101860","Fayette County",43342
"100","FL","Marion District School Board County",32408,"1201260","MARION",43230
"101","TX","United Independent School District",39239,"4843650","UNITED ISD",43033
"102","TX","Brownsville Independent School District",38854,"4811680","BROWNSVILLE ISD",43028
"103","GA","Henry County Board of Education",32581,"1302820","Henry County",43009
"104","GA","Cherokee County School District",105267,"1301110","Cherokee County",42766
"105","TX","Clear Creek Independent School District",38948,"4814280","CLEAR CREEK ISD",42388
"106","NE","Lincoln Public Schools",109252,"3172840","LINCOLN PUBLIC SCHOOLS",42258
"107","CA","Sacramento City Unified School District",31371,"0633840","Sacramento City Unified",42232
"108","FL","St. Lucie County District School Board",32422,"1201770","ST. LUCIE",41859
"109","NC","Union County Board of Education",36671,"3704620","Union County Public Schools",41707
"110","CA","Kern High School District",31164,"0619540","Kern High",41451
"111","CA","Garden Grove Unified School District",146160,"0614880","Garden Grove Unified",41423
"112","TX","Leander Independent School District",39252,"4827030","LEANDER ISD",41381
"113","ID","Joint School District No. 171",32721,"1602100","JOINT SCHOOL DISTRICT NO. 2",40600
"114","ID","Joint School District No.2",32700,"1602100","JOINT SCHOOL DISTRICT NO. 2",40600
"115","TX","Ysleta Independent School District",38926,"4846680","YSLETA ISD",40428
"116","CA","Riverside Unified School District",146564,"0633150","Riverside Unified",40204
"117","TX","Mesquite Independent School District",38898,"4830390","MESQUITE ISD",39856
"118","CA","San Juan Unified School District",146599,"0634620","San Juan Unified",39740
"119","FL","District School Board of Escambia County",69024,"1200510","ESCAMBIA",39739
"120","TX","Richardson Independent School District",42203,"4837020","RICHARDSON ISD",39619
"121","FL","Clay County District School Board",148083,"1200300","CLAY",38698
"122","CA","Sweetwater Union High School District",146696,"0638640","Sweetwater Union High",38553
"123","MD","Harford County Public Schools",40479,"2400390","Harford County Public Schools",38429
"124","CA","Stockton Unified School District",146682,"0638010","Stockton Unified",37559
"125","GA","Savannah-Chatham County Public Schools",70970,"1301020","Savannah-Chatham County",37456
"126","NC","Johnston County Board of Education",36591,"3702370","Johnston County Public Schools",37295
"127","IL","School District U-46",33019,"1713710","SD U-46",37266
"128","SC","Berkeley County School District",38325,"4501170","Berkeley 01",37219
"129","OH","Cleveland Municipal School District",37053,"3904378","Cleveland Municipal",37146
"130","TX","Corpus Christi Independent School District",39122,"4815270","CORPUS CHRISTI ISD",36618
"131","CA","Poway Unified School District",146530,"0631530","Poway Unified",36586
"132","AL","Jefferson County Board of Education",30351,"0101920","Jefferson County",36359
"133","CA","Irvine Unified School District",29936,"0684500","Irvine Unified",36177
"134","CA","Fontana Unified School District",146138,"0613920","Fontana Unified",36160
"135","CA","Oakland Unified School District",42905,"0628050","Oakland Unified",36154
"136","UT","Washington County School District",39334,"4901140","Washington District",35920
"137","OK","Tulsa Public Schools",37500,"4030240","TULSA",35675
"138","TX","Mansfield Independent School District",39198,"4828920","MANSFIELD ISD",35669
"139","CA","Fremont Unified School District",146150,"0614400","Fremont Unified",35431
"140","TX","Spring Independent School District",38996,"4841220","SPRING ISD",35336
"141","TX","Keller Independent School District",39196,"4825260","KELLER ISD",35267
"142","TX","Spring Branch Independent School District",38995,"4841100","SPRING BRANCH ISD",35188
"143","UT","Canyons School District",54006,"4900142","Canyons District",35127
"144","UT","Nebo School District",39331,"4900630","Nebo District",34171
"145","FL","Leon County District School Board",32403,"1201110","LEON",33840
"146","TX","Ector County Independent School District",163558,"4818000","ECTOR COUNTY ISD",33822
"147","TX","Ector Independent School District",163559,"4818000","ECTOR COUNTY ISD",33822
"148","NC","Cabarrus County Board of Education",36512,"3700530","Cabarrus County Schools",33658
"149","TX","Irving Independent School District",38896,"4824420","IRVING ISD",33544
"150","NC","Durham Public Schools Board of Education",36553,"3701260","Durham Public Schools",33435
"151","UT","Weber School District",39336,"4901200","Weber District",32910
"152","FL","Okaloosa County District School Board",98987,"1201380","OKALOOSA",32458
"153","TX","Amarillo Independent School District",39144,"4808130","AMARILLO ISD",32436
"154","CA","Moreno Valley Unified School District",146399,"0625800","Moreno Valley Unified",32299
"155","CA","San Ramon Valley Unified School District",146614,"0635130","San Ramon Valley Unified",31911
"156","GA","Muscogee County School District",32611,"1303870","Muscogee County",31733
"157","NC","Gaston County Board of Education",36562,"3701620","Gaston County Schools",31193
"158","CA","Mt Diablo Unified School District",67614,"0626370","Mt. Diablo Unified",31037
"159","TX","Denton Independent School District",38903,"4816740","DENTON ISD",30919
"160","CA","Bakersfield City School District",31158,"0603630","Bakersfield City",30793
"161","GA","Richmond County Board of Education",70953,"1304380","Richmond County",30666
"162","AL","Baldwin County Board of Education",30308,"0100270","Baldwin County",30602
"163","GA","Paulding County Board of Education",105340,"1304020","Paulding County",30496
"164","GA","Houston County Board of Education",105308,"1302880","Houston County",30221
"165","VA","Stafford County Public Schools",88825,"5103660","STAFFORD CO PBLC SCHS",30086
"166","CA","Anaheim Union High School District",145892,"0602630","Anaheim Union High",29832
"167","FL","Alachua District School Board County",98979,"1200030","ALACHUA",29761
"168","CA","Visalia Unified School District",146750,"0641160","Visalia Unified",29375
"169","TX","Grand Prairie Independent School District",47078,"4821420","GRAND PRAIRIE ISD",29266
"170","NJ","Jersey City Public Schools",40212,"3407830","Jersey City Public Schools",29113
"171","FL","Santa Rosa County District School Board",148158,"1201650","SANTA ROSA",29042
"172","CA","San Jose Unified School District",146598,"0634590","San Jose Unified",28830
