acfrs_original_name,census_id,id,year,category,total_liabilities,bonds_outstanding,current_liabilities,leases,loans_outstanding,notes_outstanding,net_pension_liability,net_pension_assets,net_opeb_liability,net_opeb_assets,compensated_absences,charges_for_services,operating_grants,capital_grants,general_revenue,change_in_net_position,expenses,total_operating_revenues,non_operating_revenues,capital_contributions,revenues,has_unconfirmed,name,ratio,ratio_group,state,nces_original_name,student
A.E.R.O Special Education Cooperative,NA,42481,2020,School District,61229,0,61229,0,0,0,2346289,0,10042133,0,0,22833657,7981486,0,368071,2829878,28353336,0,0,0,31183214,FALSE,a e r o spec educ coop,0.0019635243499916332, Below 1%,Illinois,A E R O Spec Educ Coop,213.00000
Addison School District No.4,NA,32980,2020,School District,33266637,2690385,636207,0,135000,0,2533136,272373,27544282,0,0,1128067,27760291,0,46928244,4451943,71364659,0,0,0,75816602,FALSE,addison sd 4,0.43877773630635675, Below 1%,Illinois,Addison SD 4,3843.00000
Adlai E.Stevenson High School District No. 125,NA,169683,2020,School District,41218447,41065000,0,153447,0,0,11810641,0,48057326,0,0,5671993,38537945,0,103530757,-1156796,148897491,0,0,0,147740695,FALSE,adlai e stevenson hsd 125,0.27899183092376817, Below 1%,Illinois,Adlai E Stevenson HSD 125,4271.00000
Alton Community Unit School District 11,NA,33076,2020,School District,69769225,68189519,0,1111568,0,468138,3131790,796666,0,0,0,939137,15859621,0,89924580,7147135,99576203,0,0,0,106723338,FALSE,alton cusd 11,0.653739156846837, Below 1%,Illinois,Alton CUSD 11,6084.00000
Antioch Community Consolidated School District No. 34,NA,49303,2020,School District,18243739,16275000,423087,255652,1290000,0,0,0,0,0,0,0,0,0,52037413,-1586394,53623807,0,0,0,52037413,FALSE,antioch ccsd 34,0.3505888926492176, Below 1%,Illinois,Antioch CCSD 34,2783.00000
Arbor Park School District No. 145,NA,45061,2020,School District,23143412,23750801,22455,169938,0,0,1862245,0,7861039,0,0,0,0,0,33897938,565323,33332615,0,0,0,33897938,FALSE,arbor park sd 145,0.682738047370315, Below 1%,Illinois,Arbor Park SD 145,1250.00000
Argo Community High School District 217,NA,32895,2020,School District,48259485,24196055,677038,381752,0,0,2833262,0,20056796,0,114582,532598,18157814,657477,36511718,-469836,56329443,0,0,0,55859607,FALSE,argo chsd 217,0.8639424369741806, Below 1%,Illinois,Argo CHSD 217,1934.00000
Arlington Heights School District 25,NA,189329,2020,School District,112209052,47039500,12106205,152237,0,0,8008264,0,44654590,0,248256,3493852,38256737,294594,72691018,693624,114042577,0,0,0,114736201,FALSE,arlington heights sd 25,0.9779742663782288, Below 1%,Illinois,Arlington Heights SD 25,5527.00000
Ball Chatham Community Unit School District #5,NA,33131,2020,School District,42079278,41700000,379278,0,0,0,3370226,0,22268270,0,0,0,0,0,60801260,4537405,56263855,0,0,0,60801260,FALSE,ball chatham cusd 5,0.6920790457303023, Below 1%,Illinois,Ball Chatham CUSD 5,4760.00000
Barrington Community Unit School District No. 220,NA,33045,2020,School District,114517284,12198726,2952923,3730599,0,0,13071486,0,81707750,0,855800,5038960,63751762,0,141970990,5587299,205174413,0,0,0,210761712,FALSE,barrington cusd 220,0.5433495624670196, Below 1%,Illinois,Barrington CUSD 220,8557.00000
