ncesid,nces_original_name,county_nces,city_nces,state,student
1700024,A E R O Spec Educ Coop,Cook County,Burbank,IL,213.00000
1700105,A-C Central CUSD 262,Cass County,Ashland,IL,395.00000
2700106,A.C.G.C. Public School District,Meeker County,GROVE CITY,MN,865.00000
2200056,A.E. Phillips Laboratory School,Lincoln Parish,Ruston,LA,410.00000
4500690,Abbeville 60,Abbeville County,Abbeville,SC,2965.00000
5500030,Abbotsford School District,Clark County,Abbotsford,WI,747.00000
4807380,ABBOTT ISD,Hill County,ABBOTT,TX,288.00000
0601620,ABC Unified,Los Angeles County,Cerritos,CA,20269.00000
1600030,ABERDEEN DISTRICT,Bingham County,ABERDEEN,ID,705.00000
2800360,ABERDEEN SCHOOL DIST,Monroe County,Aberdeen,MS,1114.00000
5300030,Aberdeen School District,Grays Harbor County,ABERDEEN,WA,3500.00000
4602070,Aberdeen School District 06-1,Brown County,Aberdeen,SD,4495.00000
4807410,ABERNATHY ISD,Hale County,ABERNATHY,TX,818.00000
2003180,Abilene,Dickinson County,Abilene,KS,1532.00000
4807440,ABILENE ISD,Taylor County,ABILENE,TX,16612.00000
1701413,Abingdon-Avon CUSD 276,Knox County,Abingdon,IL,964.00000
2501650,Abington,Plymouth County,Abington,MA,2143.00000
4202010,Abington Heights SD,Lackawanna County,Clarks Summit,PA,3425.00000
4202040,Abington SD,Montgomery County,Abington,PA,8534.00000
3001710,Absarokee Elem,Stillwater County,Absarokee,MT,127.00000
3001740,Absarokee H S,Stillwater County,Absarokee,MT,80.00000
3400660,Absecon Public Schools District,Atlantic County,Absecon,NJ,908.00000
4807470,ACADEMY ISD,Bell County,LITTLE RIVER,TX,1723.00000
0801920,Academy School District No. 20 in the county of El Paso an,El Paso County,COLORADO SPRINGS,CO,26603.00000
2200030,Acadia Parish,Acadia Parish,Crowley,LA,9739.00000
0601650,Acalanes Union High,Contra Costa County,Lafayette,CA,5635.00000
5100060,ACCOMACK CO PBLC SCHS,Accomack County,Accomac,VA,5161.00000
4700147,Achievement School District,Davidson County,Nashville,TN,11169.00000
4002370,ACHILLE,Bryan County,Achille,OK,339.00000
2302220,Acton Public Schools,York County,Acton,ME,233.00000
0600001,Acton-Agua Dulce Unified,Los Angeles County,Acton,CA,1042.00000
2501710,Acton-Boxborough,Middlesex County,Acton,MA,5411.00000
2501740,Acushnet,Bristol County,Acushnet,MA,1010.00000
4002430,ADA,Pontotoc County,Ada,OK,2564.00000
3904518,Ada Exempted Village,Hardin County,Ada,OH,863.00000
2700126,ADA-BORUP PUBLIC SCHOOL DISTRICT,Norman County,ADA,MN,673.00000
4002460,ADAIR,Mayes County,Adair,OK,1069.00000
2922980,ADAIR CO. R-I,Adair County,NOVINGER,MO,225.00000
2905790,ADAIR CO. R-II,Adair County,BRASHEAR,MO,144.00000
2100030,Adair County,Adair County,Columbia,KY,2763.00000
1903090,Adair-Casey Comm School District,Guthrie County,Adair,IA,259.00000
1700162,Adam/Brwn/Cass/Morgn/Pik/Sctt ROE,Adams County,Quincy,IL,139.00000
0806900,Adams 12 Five Star Schools,Adams County,THORNTON,CO,38707.00000
1800060,Adams Central Community Schools,Adams County,Monroe,IN,1304.00000
3102770,ADAMS CENTRAL PUBLIC SCHOOLS,Adams County,HASTINGS,NE,970.00000
3906190,Adams County Ohio Valley Local,Adams County,West Union,OH,3752.00000
2601890,Adams Township School District,Houghton County,Painesdale,MI,486.00000
5500060,Adams-Friendship Area School District,Adams County,Friendship,WI,1435.00000
3602370,ADDISON CENTRAL SCHOOL DISTRICT,Steuben County,ADDISON,NY,1090.00000
5000402,Addison Central Unified School District,Addison County,Middlebury,VT,1808.00000
2601920,Addison Community Schools,Lenawee County,ADDISON,MI,806.00000
5000398,Addison Northwest Unified School District,Addison County,Vergennes,VT,953.00000
1703150,Addison SD 4,DuPage County,Addison,IL,3843.00000
1903150,Adel DeSoto Minburn Comm School District,Dallas County,Adel,IA,2046.00000
4100990,Adel SD 21,Lake County,Lakeview,OR,12.00000
0601710,Adelanto Elementary,San Bernardino County,Adelanto,CA,8208.00000
3904949,Adena Local,Ross County,Frankfort,OH,1244.00000
3605040,ADIRONDACK CENTRAL SCHOOL DISTRICT,Oneida County,BOONVILLE,NY,1212.00000
1732580,Adlai E Stevenson HSD 125,Lake County,Lincolnshire,IL,4271.00000
5300060,Adna School District,Lewis County,ADNA,WA,642.00000
4807500,ADRIAN ISD,Oldham County,ADRIAN,TX,128.00000
2702730,ADRIAN PUBLIC SCHOOL DISTRICT,Nobles County,ADRIAN,MN,568.00000
2601950,Adrian Public Schools,Lenawee County,ADRIAN,MI,2863.00000
2902850,ADRIAN R-III,Bates County,ADRIAN,MO,719.00000
4101020,Adrian SD 61,Malheur County,Adrian,OR,292.00000
2902880,ADVANCE R-IV,Stoddard County,ADVANCE,MO,468.00000
2902910,AFFTON 101,St. Louis County,ST LOUIS,MO,2605.00000
4002520,AFTON,Ottawa County,Afton,OK,478.00000
3602400,AFTON CENTRAL SCHOOL DISTRICT,Chenango County,AFTON,NY,538.00000
4600042,Agar-Blunt-Onida School District 58-3,Sully County,Onida,SD,268.00000
0801980,Agate School District No. 300,Elbert County,AGATE,CO,44.00000
2501800,Agawam,Hampden County,Feeding Hills,MA,3670.00000
4002550,AGRA,Lincoln County,Agra,OK,296.00000
4807530,AGUA DULCE ISD,Nueces County,AGUA DULCE,TX,385.00000
0400450,Agua Fria Union High School District (4289),Maricopa County,Avondale,AZ,8359.00000
0400480,Aguila Elementary District (4249),Maricopa County,AGUILA,AZ,145.00000
0802010,Aguilar Reorganized School District No. 6,Las Animas County,AGUILAR,CO,121.00000
1903060,AGWSR Comm School District,Hardin County,Ackley,IA,670.00000
5900092,Ahfachkee Day School,Hendry County,Clewiston,FL,166.00000
