State,sum_state_netPensionLiability,sum_state_netOEPAssets,sum_state_netOPEBliability,sum_state_bondOustanding,sum_state_noteOutstanding,sum_state_leases,sum_state_loansOutstanding,sum_state_compensatedAbsences,sum_state_totalLiabilities,sum_state_revenues
AK,7120763700,203130195,279716483,3333326133,246902907,279449705,764074826,311320577,21354096810,15813261438
AL,16177231803,678717,6090222441,12614526350,2857339803,418148966,323039274,644484919,53028721160,55436710502
AR,7063054610,0,3146910502,13094515192,416183347,349909382,14859161,574236238,20847183281,41175357653
AS,138141814,0,0,116950000,0,0,4174490,12052420,356622618,364681212
AZ,27472844931,137113949,3064221283,31468044777,1579381028,828092141,1006559290,1382013736,83469687404,81486208163
CA,193816352003,253076864,86931061010,248006738617,6491530706,6237694392,9285379067,8700670166,641645563223,318897741776
CO,27399290381,0,2325135722,34751232666,686660996,935744542,931279188,1494520027,87887400741,74842878395
CT,45876888223,1904690,31222656124,46056065419,1291874022,176621283,883981855,1210463098,134817705585,55754794131
DC,1199894000,19048000,2334832000,12484192203,569641130,77663374,518383812,618288725,30607245180,20373310507
DE,2335408577,0,7938913509,5466146843,53261191,32757670,270747987,285449055,19834442519,12295429160
FL,57206254981,28683431,23749987850,84728323636,5073928186,3559472530,5270782858,6597449556,253784618864,258751897213
GA,29772422321,274374205,22514563378,33371846552,1707889232,4107851240,405343913,1326946850,116040307777,111626780719
GU,1434486570,0,2274983830,1290349672,0,165254413,27196720,63805141,5989494524,2247572205
HI,13652569924,0,11833357821,20404696706,1111658677,258057842,156582701,758269707,54153462444,27519550226
IA,5296226595,0,1098594245,15995008671,1520775196,149741327,440950835,507711511,28036701723,25879571798
ID,1240446470,73791002,303739913,3093316065,567543270,51630861,75807661,194285539,8552076902,18722776893
IL,224423933453,21615702,80576227379,102864111272,5195094402,1043939862,11081264547,1641146898,472181273946,185244214243
IN,1908335920,55776141,1013771023,15264776844,781737240,2036149427,984393233,318950818,26009947928,23932488621
KS,7299162190,743647,414938945,16158301810,470367904,611235836,396809540,327294688,23259548791,32652628059
KY,33892586418,52525000,6592224777,19145789843,1608901232,628285530,806836197,539991222,70680087561,53167438604
LA,17772616699,0,20713637148,18754937359,213319728,165769382,514605944,762286909,73660355314,59339409020
MA,58013547650,2525198,53175030304,66172232040,3004729044,396605111,385346931,2075431261,200584094788,122244138446
MD,26139923588,22243803,38933463568,43208466874,1245522090,1556531555,237170358,1481500363,128233348224,90685546071
ME,2732975693,0,3082723481,5400744360,585549984,128417421,394230194,153935600,15952985349,17635981407
MI,52512806037,575310234,30816401898,56862899824,4581686437,1854278672,4102468952,1524511628,179517445582,159773228020
MN,13843344789,96917504,3092760354,36716588235,749027763,303579388,438252347,1436651921,72925055509,82380489525
MO,6603778973,2422570,1085249480,18032763342,277776944,908713952,275963757,340267040,24150986101,23994544734
MS,14170088557,0,829338538,7291716290,1561530583,139381733,138858069,197253079,30929626597,31488910403
MT,3814986514,0,291080590,2115205801,167979156,52058069,121186777,264379870,9714305549,11759149074
NC,13591515052,41719188,36458444497,34677310400,2321993168,411627196,2296580732,2579223718,122468698341,127586999042
ND,2547274145,0,69268601,5960786293,1463524592,76072202,337424223,135777119,15076256567,13347887601
NE,4626133923,224416000,1007900084,14478389472,888928198,490489244,155665420,454553943,25189178821,31724142984
NH,3538410264,0,2823344386,3548587275,319274170,69367305,278336950,258252056,13256907053,13510196362
NJ,110033402635,0,79539445311,71543539409,4357792451,1916983002,4306040297,1542779211,306827269043,145236700544
NM,15262672287,0,3732577879,13737642968,340117064,51209745,670514358,525122413,41632949188,42630486380
NV,11125402043,0,2917483350,18536486661,342673834,19985756,43407546,767085275,37123616929,18809668997
NY,68288552873,1204972,299541494587,176876149716,3972060190,2403791182,2492895400,10745172590,744172970522,372763188724
OH,47466428474,1192905770,13740302580,68709928594,1216711864,1011382352,4671752531,3315942985,197819522728,154104314131
OK,4689248785,45330183,1725732164,18801543122,2267883281,3281184862,152234722,611055562,38726736163,50746281043
OR,21137151602,124554672,2382082263,36193165257,1741051981,258830481,1479698757,846163040,76475482229,68150828772
PA,68072193988,6735320,30813844094,63814622753,1976273435,626667089,4047893288,2006699854,216266320346,179978319145
PR,7111831953,0,255423146,6814693981,512298547,13818226,291941291,409109881,21382093858,7878678556
RI,8537760172,9856088,3350083025,6349836235,110569403,228524940,732316296,277706320,22425892336,15230409511
SC,23008308901,459884,16652803147,20777174158,992867958,416720430,866828030,804906529,74437102174,62940802218
SD,0,2529330,78571067,3134416639,303912544,210966618,69264863,158630023,6287484093,9242873770
TN,4076569583,32408898,9586179902,26071300033,2678212254,240785695,1706990949,974582580,55736750923,73674481695
TX,142824947008,3918556,117779736327,265764409409,8528581743,1966491579,15953649058,5294049175,586671663732,354466735205
UT,3127994530,496709,321380615,20856874873,704740149,268851870,116318956,497425358,31641881079,35287954747
VA,19272916619,21513257,5178470281,42234629536,1227441475,3484287710,707480952,1335505906,93376102890,101552337735
VT,2617985992,0,2999007338,2434297446,344054098,26151104,142260773,66001475,10962891769,10711628316
WA,8962914992,2494698,7536462129,50820969525,439906177,264503933,695470871,1401775083,107996107672,119773538334
WI,1882272416,206308499,7655619695,29080697292,2977650956,333048840,577354923,3337523373,60967192443,70978389373
WV,4486771209,100000,1823301481,5065072699,34808865,472718169,42777055,136031595,17939832540,19563099396
WY,2383840031,37360,1097103194,1241058902,150383979,49187610,128268943,191870475,15352982603,9594487090
